Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.0002071857452392578
fr, es, 0.037037037037037035, 9.489059448242188e-05
fr, nl, 0.022900763358778626, 9.822845458984375e-05
fr, ja, 0.0, 8.630752563476562e-05
fr, en, 0.11311053984575835, 0.0005524158477783203
fr, ru, 0.0, 8.559226989746094e-05
fr, union, 0.2772511848341232, 0.0006110668182373047
es, es, 1.0, 4.458427429199219e-05
es, nl, 0.02564102564102564, 3.409385681152344e-05
es, ja, 0.0, 2.47955322265625e-05
es, en, 0.008928571428571428, 0.0004208087921142578
es, ru, 0.0, 2.6941299438476562e-05
es, union, 0.054502369668246446, 0.0005855560302734375
nl, nl, 1.0, 3.4809112548828125e-05
nl, ja, 0.0, 1.9073486328125e-05
nl, en, 0.00909090909090909, 0.00041484832763671875
nl, ru, 0.0, 2.2172927856445312e-05
nl, union, 0.04028436018957346, 0.0005450248718261719
ja, ja, 1.0, 1.1205673217773438e-05
ja, en, 0.0, 0.00041031837463378906
ja, ru, 0.0, 1.049041748046875e-05
ja, union, 0.002369668246445498, 0.0005252361297607422
en, en, 1.0, 0.0008482933044433594
en, ru, 0.0031645569620253164, 0.00040078163146972656
en, union, 0.7488151658767772, 0.0008797645568847656
ru, ru, 1.0, 1.049041748046875e-05
ru, union, 0.002369668246445498, 0.0004372596740722656
union, union, 1.0, 0.0008971691131591797
