Language1, Language2, SimilarityScore, Time
id, id, 1.0, 7.200241088867188e-05
id, fr, 0.9532710280373832, 3.457069396972656e-05
id, mr, 1.0, 8.58306884765625e-06
id, tr, 0.9268292682926829, 1.5974044799804688e-05
id, lv, 1.0, 1.2159347534179688e-05
id, es, 0.9777777777777777, 2.956390380859375e-05
id, pl, 0.9662921348314606, 2.86102294921875e-05
id, vi, 1.0, 7.867813110351562e-06
id, de, 0.8800000000000001, 1.239776611328125e-05
id, ml, 1.0, 7.152557373046875e-06
id, sh, 1.0, 6.9141387939453125e-06
id, nl, 0.9411764705882353, 2.4080276489257812e-05
id, pt, 1.0, 7.3909759521484375e-06
id, ro, 1.0, 2.9087066650390625e-05
id, ja, 1.0, 7.62939453125e-06
id, simple, 0.9135802469135803, 2.6226043701171875e-05
id, it, 0.9767441860465117, 1.6450881958007812e-05
id, he, 1.0, 7.3909759521484375e-06
id, da, 0.9473684210526315, 1.4543533325195312e-05
id, en, 0.9696969696969697, 3.7670135498046875e-05
id, sr, 1.0, 8.106231689453125e-06
id, sv, 0.9830508474576272, 1.9073486328125e-05
id, ckb, 1.0, 7.3909759521484375e-06
id, ru, 1.0, 6.9141387939453125e-06
id, hi, 1.0, 6.67572021484375e-06
id, arz, 1.0, 6.9141387939453125e-06
id, bs, 1.0, 6.67572021484375e-06
id, zh, 1.0, 6.67572021484375e-06
id, mk, 1.0, 6.67572021484375e-06
id, hu, 1.0, 6.198883056640625e-06
id, ko, 1.0, 6.198883056640625e-06
fr, fr, 1.0, 0.0002951622009277344
fr, mr, 1.0, 8.821487426757812e-06
fr, tr, 0.9333333333333333, 2.6226043701171875e-05
fr, lv, 1.0, 1.430511474609375e-05
fr, es, 0.9824561403508772, 3.4809112548828125e-05
fr, pl, 0.8695652173913044, 4.863739013671875e-05
fr, vi, 1.0, 8.344650268554688e-06
fr, de, 0.8496732026143791, 3.8623809814453125e-05
fr, ml, 1.0, 8.106231689453125e-06
fr, sh, 1.0, 7.152557373046875e-06
fr, nl, 0.8780487804878049, 3.981590270996094e-05
fr, pt, 0.8387096774193549, 1.33514404296875e-05
fr, ro, 0.9629629629629629, 3.361701965332031e-05
fr, ja, 1.0, 8.58306884765625e-06
fr, simple, 0.8292682926829269, 2.5510787963867188e-05
fr, it, 0.9606299212598426, 3.695487976074219e-05
fr, he, 1.0, 7.867813110351562e-06
fr, da, 0.9361702127659575, 3.0279159545898438e-05
fr, en, 0.9045643153526972, 5.53131103515625e-05
fr, sr, 1.0, 8.106231689453125e-06
fr, sv, 0.9156626506024097, 4.267692565917969e-05
fr, ckb, 1.0, 8.58306884765625e-06
fr, ru, 1.0, 7.62939453125e-06
fr, hi, 1.0, 6.9141387939453125e-06
fr, arz, 1.0, 6.9141387939453125e-06
fr, bs, 1.0, 6.67572021484375e-06
fr, zh, 1.0, 7.152557373046875e-06
fr, mk, 1.0, 6.9141387939453125e-06
fr, hu, 1.0, 6.67572021484375e-06
fr, ko, 1.0, 7.152557373046875e-06
mr, mr, 1.0, 5.9604644775390625e-06
mr, tr, 1.0, 6.198883056640625e-06
mr, lv, 1.0, 5.9604644775390625e-06
mr, es, 1.0, 6.4373016357421875e-06
mr, pl, 1.0, 6.67572021484375e-06
mr, vi, 1.0, 5.9604644775390625e-06
mr, de, 1.0, 6.4373016357421875e-06
mr, ml, 1.0, 6.198883056640625e-06
mr, sh, 1.0, 6.198883056640625e-06
mr, nl, 1.0, 6.198883056640625e-06
mr, pt, 1.0, 4.291534423828125e-06
mr, ro, 1.0, 6.198883056640625e-06
mr, ja, 1.0, 6.198883056640625e-06
mr, simple, 1.0, 6.4373016357421875e-06
mr, it, 1.0, 6.198883056640625e-06
mr, he, 1.0, 6.198883056640625e-06
mr, da, 1.0, 5.9604644775390625e-06
mr, en, 1.0, 6.9141387939453125e-06
mr, sr, 1.0, 6.198883056640625e-06
mr, sv, 1.0, 6.4373016357421875e-06
mr, ckb, 1.0, 6.198883056640625e-06
mr, ru, 1.0, 6.198883056640625e-06
mr, hi, 1.0, 5.7220458984375e-06
mr, arz, 1.0, 5.9604644775390625e-06
mr, bs, 1.0, 6.198883056640625e-06
mr, zh, 1.0, 5.7220458984375e-06
mr, mk, 1.0, 5.9604644775390625e-06
mr, hu, 1.0, 6.198883056640625e-06
mr, ko, 1.0, 6.198883056640625e-06
tr, tr, 1.0, 5.14984130859375e-05
tr, lv, 1.0, 1.5497207641601562e-05
tr, es, 0.8571428571428571, 1.2159347534179688e-05
tr, pl, 0.8800000000000001, 1.1920928955078125e-05
tr, vi, 1.0, 7.62939453125e-06
tr, de, 0.9411764705882353, 2.384185791015625e-05
tr, ml, 1.0, 7.152557373046875e-06
tr, sh, 1.0, 6.4373016357421875e-06
tr, nl, 0.9387755102040816, 1.6927719116210938e-05
tr, pt, 1.0, 7.152557373046875e-06
tr, ro, 1.0, 1.5735626220703125e-05
tr, ja, 1.0, 7.152557373046875e-06
tr, simple, 0.8679245283018868, 1.71661376953125e-05
tr, it, 0.9538461538461539, 1.9788742065429688e-05
tr, he, 1.0, 7.62939453125e-06
tr, da, 0.96, 1.6450881958007812e-05
