Language1, Language2, SimilarityScore, Kernel, Time
fr, fr, 1.0, 5.027499999999983, 0.030503511428833008
fr, es, 1.0, 1.0, 8.7738037109375e-05
fr, pl, 1.0, 1.0, 7.748603820800781e-05
fr, de, 1.0, 1.0, 8.153915405273438e-05
fr, pt, 1.0, 1.0, 7.534027099609375e-05
fr, ro, 0.9871484285829454, 1.7194350073855285, 0.003050565719604492
fr, ja, 1.0, 1.0, 9.34600830078125e-05
fr, simple, 0.8755395908437883, 1.0400324675324681, 0.00015807151794433594
fr, it, 0.9546819787031797, 1.1780583756345169, 0.00042819976806640625
fr, he, 1.0, 1.0, 8.20159912109375e-05
fr, en, 1.0, 3.3399999999999936, 0.04708290100097656
fr, sr, 1.0, 1.0, 6.0558319091796875e-05
fr, zh, 1.0, 1.0, 4.8160552978515625e-05
fr, ko, 1.0, 1.0, 4.696846008300781e-05
es, es, 1.0, 1.0, 4.506111145019531e-05
es, pl, 1.0, 1.0, 4.458427429199219e-05
es, de, 1.0, 1.0, 4.3392181396484375e-05
es, pt, 1.0, 1.0, 4.410743713378906e-05
es, ro, 1.0, 1.0, 4.363059997558594e-05
es, ja, 1.0, 1.0, 6.079673767089844e-05
es, simple, 1.0, 1.0, 4.410743713378906e-05
es, it, 1.0, 1.0, 4.267692565917969e-05
es, he, 1.0, 1.0, 4.1961669921875e-05
es, en, 1.0, 1.0, 6.985664367675781e-05
es, sr, 1.0, 1.0, 4.291534423828125e-05
es, zh, 1.0, 1.0, 4.2438507080078125e-05
es, ko, 1.0, 1.0, 4.2438507080078125e-05
pl, pl, 1.0, 1.0, 4.267692565917969e-05
pl, de, 1.0, 1.0, 4.1961669921875e-05
pl, pt, 1.0, 1.0, 4.220008850097656e-05
pl, ro, 1.0, 1.0, 4.315376281738281e-05
pl, ja, 1.0, 1.0, 4.2438507080078125e-05
pl, simple, 1.0, 1.0, 4.291534423828125e-05
pl, it, 1.0, 1.0, 4.267692565917969e-05
pl, he, 1.0, 1.0, 4.2438507080078125e-05
pl, en, 1.0, 1.0, 9.775161743164062e-05
pl, sr, 1.0, 1.0, 6.29425048828125e-05
pl, zh, 1.0, 1.0, 6.151199340820312e-05
pl, ko, 1.0, 1.0, 6.0558319091796875e-05
de, de, 1.0, 1.0, 5.9604644775390625e-05
de, pt, 1.0, 1.0, 5.9604644775390625e-05
de, ro, 1.0, 1.0, 6.747245788574219e-05
de, ja, 1.0, 1.0, 6.341934204101562e-05
de, simple, 1.0, 1.0, 6.318092346191406e-05
de, it, 1.0, 1.0, 6.556510925292969e-05
de, he, 1.0, 1.0, 6.270408630371094e-05
de, en, 1.0, 1.0, 0.0001513957977294922
de, sr, 1.0, 1.0, 7.033348083496094e-05
de, zh, 1.0, 1.0, 6.699562072753906e-05
de, ko, 1.0, 1.0, 6.604194641113281e-05
