Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.0003523826599121094
fr, es, 0.5013850415512465, 0.00011777877807617188
fr, pl, 0.5013850415512465, 0.00011467933654785156
fr, de, 0.5013850415512465, 0.00011157989501953125
fr, pt, 0.5013850415512465, 0.00011181831359863281
fr, ro, 0.5712698252348722, 0.0001773834228515625
fr, ja, 0.5013850415512465, 0.00011515617370605469
fr, simple, 0.506826918828156, 0.0001163482666015625
fr, it, 0.5210366642364949, 0.00013566017150878906
fr, he, 0.5013850415512465, 0.00011467933654785156
fr, en, 0.5670115233768598, 0.0010807514190673828
fr, sr, 0.5013850415512465, 0.00012040138244628906
fr, zh, 0.5013850415512465, 0.00011157989501953125
fr, ko, 0.5013850415512465, 0.00011014938354492188
fr, union, 0.6096560880997631, 0.0013096332550048828
es, es, 1.0, 2.0265579223632812e-05
es, pl, 1.0, 1.2874603271484375e-05
es, de, 1.0, 1.1444091796875e-05
es, pt, 1.0, 1.1444091796875e-05
es, ro, 0.5030674846625767, 6.961822509765625e-05
es, ja, 1.0, 1.239776611328125e-05
es, simple, 0.5384615384615384, 1.52587890625e-05
es, it, 0.5079365079365079, 3.337860107421875e-05
es, he, 1.0, 1.1920928955078125e-05
es, en, 0.5005574136008919, 0.0009324550628662109
es, sr, 1.0, 1.4543533325195312e-05
es, zh, 1.0, 1.0251998901367188e-05
es, ko, 1.0, 1.0251998901367188e-05
es, union, 0.5004582951420715, 0.001077413558959961
pl, pl, 1.0, 1.3113021850585938e-05
pl, de, 1.0, 9.775161743164062e-06
pl, pt, 1.0, 9.775161743164062e-06
pl, ro, 0.5030674846625767, 6.318092346191406e-05
pl, ja, 1.0, 1.0728836059570312e-05
pl, simple, 0.5384615384615384, 1.2874603271484375e-05
pl, it, 0.5079365079365079, 2.8848648071289062e-05
pl, he, 1.0, 1.0967254638671875e-05
pl, en, 0.5005574136008919, 0.0008535385131835938
pl, sr, 1.0, 1.3828277587890625e-05
pl, zh, 1.0, 1.0013580322265625e-05
pl, ko, 1.0, 9.775161743164062e-06
pl, union, 0.5004582951420715, 0.0010728836059570312
de, de, 1.0, 1.6450881958007812e-05
de, pt, 1.0, 1.0967254638671875e-05
de, ro, 0.5030674846625767, 6.389617919921875e-05
de, ja, 1.0, 1.1205673217773438e-05
de, simple, 0.5384615384615384, 1.4066696166992188e-05
de, it, 0.5079365079365079, 2.956390380859375e-05
de, he, 1.0, 1.0728836059570312e-05
de, en, 0.5005574136008919, 0.0008721351623535156
de, sr, 1.0, 1.3589859008789062e-05
de, zh, 1.0, 1.0013580322265625e-05
de, ko, 1.0, 1.0728836059570312e-05
de, union, 0.5004582951420715, 0.001077890396118164
pt, pt, 1.0, 1.3113021850585938e-05
pt, ro, 0.5030674846625767, 6.222724914550781e-05
pt, ja, 1.0, 1.1444091796875e-05
pt, simple, 0.5384615384615384, 1.33514404296875e-05
pt, it, 0.5079365079365079, 2.86102294921875e-05
pt, he, 1.0, 1.0251998901367188e-05
pt, en, 0.5005574136008919, 0.0008454322814941406
pt, sr, 1.0, 1.3113021850585938e-05
pt, zh, 1.0, 9.775161743164062e-06
pt, ko, 1.0, 9.5367431640625e-06
pt, union, 0.5004582951420715, 0.017348527908325195
ro, ro, 1.0, 0.00014519691467285156
ro, ja, 0.5030674846625767, 6.079673767089844e-05
ro, simple, 0.5149362857739712, 6.270408630371094e-05
ro, it, 0.5362116991643454, 8.225440979003906e-05
ro, he, 0.5030674846625767, 5.841255187988281e-05
ro, en, 0.5489648207372496, 0.0009381771087646484
ro, sr, 0.5030674846625767, 7.295608520507812e-05
ro, zh, 0.5030674846625767, 5.91278076171875e-05
ro, ko, 0.5030674846625767, 5.7697296142578125e-05
ro, union, 0.5501149952000742, 0.0011630058288574219
ja, ja, 1.0, 2.9802322387695312e-05
ja, simple, 0.5384615384615384, 1.5497207641601562e-05
ja, it, 0.5079365079365079, 2.9087066650390625e-05
ja, he, 1.0, 1.049041748046875e-05
ja, en, 0.5005574136008919, 0.0008046627044677734
ja, sr, 1.0, 1.5735626220703125e-05
ja, zh, 1.0, 1.0967254638671875e-05
ja, ko, 1.0, 1.049041748046875e-05
ja, union, 0.5004582951420715, 0.0010156631469726562
simple, simple, 1.0, 2.1696090698242188e-05
simple, it, 0.5371215263376192, 3.337860107421875e-05
simple, he, 0.5384615384615384, 1.2874603271484375e-05
simple, en, 0.5027764263509, 0.0008130073547363281
simple, sr, 0.5384615384615384, 1.71661376953125e-05
simple, zh, 0.5384615384615384, 1.2636184692382812e-05
simple, ko, 0.5384615384615384, 1.3113021850585938e-05
simple, union, 0.5036163467122823, 0.001024484634399414
it, it, 1.0, 5.650520324707031e-05
it, he, 0.5079365079365079, 2.8371810913085938e-05
it, en, 0.5135642237426818, 0.0008280277252197266
it, sr, 0.5079365079365079, 3.266334533691406e-05
it, zh, 0.5079365079365079, 2.7418136596679688e-05
it, ko, 0.5079365079365079, 2.7179718017578125e-05
it, union, 0.5192909473010521, 0.001033782958984375
he, he, 1.0, 1.4543533325195312e-05
he, en, 0.5005574136008919, 0.0008089542388916016
he, sr, 1.0, 1.52587890625e-05
he, zh, 1.0, 1.049041748046875e-05
he, ko, 1.0, 1.0013580322265625e-05
he, union, 0.5004582951420715, 0.0010371208190917969
en, en, 1.0, 0.001983642578125
en, sr, 0.5005574136008919, 0.0008456707000732422
en, zh, 0.5005574136008919, 0.021511077880859375
en, ko, 0.5005574136008919, 0.0008490085601806641
en, union, 0.9377942538757049, 0.012337923049926758
sr, sr, 1.0, 3.981590270996094e-05
sr, zh, 1.0, 1.4543533325195312e-05
sr, ko, 1.0, 1.430511474609375e-05
sr, union, 0.5004582951420715, 0.0012791156768798828
zh, zh, 1.0, 1.5974044799804688e-05
zh, ko, 1.0, 1.0728836059570312e-05
zh, union, 0.5004582951420715, 0.001077890396118164
ko, ko, 1.0, 1.3828277587890625e-05
ko, union, 0.5004582951420715, 0.0010366439819335938
union, union, 1.0, 0.012104988098144531
