Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00024962425231933594
id, fr, 0.3333333333333333, 3.838539123535156e-05
id, tr, 0.0, 1.6689300537109375e-05
id, es, 1.0, 2.384185791015625e-05
id, pl, 0.0, 1.0251998901367188e-05
id, vi, 0.0, 7.3909759521484375e-06
id, de, 0.5, 2.2411346435546875e-05
id, sh, 0.0, 1.4543533325195312e-05
id, nl, 1.0, 6.723403930664062e-05
id, pt, 1.0, 1.5974044799804688e-05
id, ro, 0.0, 8.106231689453125e-06
id, ja, 0.0, 6.198883056640625e-06
id, simple, 0.0, 1.1920928955078125e-05
id, it, 0.05555555555555555, 6.29425048828125e-05
id, he, 0.0, 7.3909759521484375e-06
id, da, 0.0, 1.2636184692382812e-05
id, en, 0.8783783783783784, 0.00018143653869628906
id, sr, 0.0, 9.298324584960938e-06
id, sv, 0.0, 1.7404556274414062e-05
id, ru, 0.0, 1.1444091796875e-05
id, bs, 0.0, 1.430511474609375e-05
id, zh, 0.0, 1.1205673217773438e-05
id, mk, 0.0, 5.4836273193359375e-06
id, hu, 0.0, 5.9604644775390625e-06
id, ko, 0.0, 7.867813110351562e-06
fr, fr, 1.0, 0.0025429725646972656
fr, tr, 0.9583333333333334, 0.00010132789611816406
fr, es, 0.06451612903225806, 6.699562072753906e-05
fr, pl, 1.0, 8.344650268554688e-05
fr, vi, 0.0, 2.6941299438476562e-05
fr, de, 0.125, 6.222724914550781e-05
fr, sh, 0.9534883720930233, 9.72747802734375e-05
fr, nl, 0.5, 4.172325134277344e-05
fr, pt, 0.16666666666666666, 2.6464462280273438e-05
fr, ro, 0.0, 1.9073486328125e-05
fr, ja, 0.0, 1.8835067749023438e-05
fr, simple, 0.0, 2.09808349609375e-05
fr, it, 0.5729166666666666, 0.0001647472381591797
fr, he, 0.0, 2.1696090698242188e-05
fr, da, 1.0, 5.698204040527344e-05
fr, en, 0.7486338797814208, 0.0005211830139160156
fr, sr, 0.0, 1.4066696166992188e-05
fr, sv, 0.9787234042553191, 0.00010728836059570312
fr, ru, 0.0, 2.0742416381835938e-05
fr, bs, 0.75, 6.151199340820312e-05
fr, zh, 0.0, 1.8358230590820312e-05
fr, mk, 0.0, 1.9073486328125e-05
fr, hu, 0.0, 1.33514404296875e-05
fr, ko, 0.0, 2.0265579223632812e-05
tr, tr, 1.0, 0.0002155303955078125
tr, es, 0.0, 2.0265579223632812e-05
tr, pl, 0.0, 1.4066696166992188e-05
tr, vi, 0.0, 1.0967254638671875e-05
tr, de, 0.0, 2.09808349609375e-05
tr, sh, 0.9375, 4.220008850097656e-05
tr, nl, 0.75, 3.0279159545898438e-05
tr, pt, 0.0, 1.2636184692382812e-05
tr, ro, 0.0, 6.9141387939453125e-06
tr, ja, 0.0, 2.384185791015625e-05
tr, simple, 0.0, 2.4080276489257812e-05
tr, it, 0.7931034482758621, 8.320808410644531e-05
tr, he, 0.0, 7.62939453125e-06
tr, da, 1.0, 3.4332275390625e-05
tr, en, 0.8313253012048193, 0.0001761913299560547
tr, sr, 0.0, 8.106231689453125e-06
tr, sv, 1.0, 4.982948303222656e-05
tr, ru, 0.0, 1.1205673217773438e-05
tr, bs, 0.7777777777777778, 2.4557113647460938e-05
tr, zh, 0.0, 1.1444091796875e-05
tr, mk, 0.0, 1.0013580322265625e-05
tr, hu, 0.0, 5.9604644775390625e-06
tr, ko, 0.0, 1.0013580322265625e-05
es, es, 1.0, 0.0006561279296875
es, pl, 1.0, 1.5020370483398438e-05
es, vi, 0.0, 1.239776611328125e-05
es, de, 0.75, 7.104873657226562e-05
es, sh, 0.0, 1.6689300537109375e-05
es, nl, 0.0, 2.7179718017578125e-05
es, pt, 0.8947368421052632, 5.340576171875e-05
es, ro, 0.0, 1.430511474609375e-05
es, ja, 0.0, 1.4066696166992188e-05
es, simple, 0.0, 1.811981201171875e-05
es, it, 0.5142857142857142, 8.511543273925781e-05
es, he, 0.0, 1.3589859008789062e-05
es, da, 0.0, 1.811981201171875e-05
es, en, 0.7512953367875648, 0.0003018379211425781
es, sr, 0.0, 1.6689300537109375e-05
es, sv, 0.0, 1.6689300537109375e-05
es, ru, 0.0, 1.4066696166992188e-05
es, bs, 0.0, 1.6689300537109375e-05
es, zh, 0.0, 1.621246337890625e-05
es, mk, 0.0, 1.5735626220703125e-05
es, hu, 0.0, 8.821487426757812e-06
es, ko, 0.0, 1.5020370483398438e-05
pl, pl, 1.0, 0.00020694732666015625
pl, vi, 0.0, 7.867813110351562e-06
pl, de, 1.0, 2.2411346435546875e-05
pl, sh, 0.0, 1.5020370483398438e-05
pl, nl, 0.0, 1.6450881958007812e-05
pl, pt, 0.0, 1.1205673217773438e-05
pl, ro, 0.0, 5.7220458984375e-06
pl, ja, 0.0, 1.049041748046875e-05
pl, simple, 0.0, 6.198883056640625e-06
pl, it, 1.0, 3.409385681152344e-05
pl, he, 0.0, 7.867813110351562e-06
pl, da, 0.0, 6.198883056640625e-06
pl, en, 0.6666666666666666, 0.00011229515075683594
pl, sr, 0.0, 7.152557373046875e-06
pl, sv, 0.0, 6.9141387939453125e-06
pl, ru, 0.0, 1.1682510375976562e-05
pl, bs, 0.0, 1.4781951904296875e-05
pl, zh, 0.0, 1.0967254638671875e-05
pl, mk, 0.0, 5.245208740234375e-06
pl, hu, 0.0, 5.4836273193359375e-06
pl, ko, 0.0, 1.0728836059570312e-05
vi, vi, 0.0, 9.298324584960938e-06
vi, de, 0.0, 2.5510787963867188e-05
vi, sh, 0.0, 1.5974044799804688e-05
vi, nl, 0.0, 1.5974044799804688e-05
vi, pt, 0.0, 1.0013580322265625e-05
vi, ro, 0.0, 5.245208740234375e-06
vi, ja, 0.0, 2.193450927734375e-05
vi, simple, 0.0, 7.62939453125e-06
vi, it, 0.0, 2.6702880859375e-05
vi, he, 0.0, 5.9604644775390625e-06
vi, da, 0.0, 1.0728836059570312e-05
vi, en, 0.0, 2.6702880859375e-05
vi, sr, 0.0, 6.198883056640625e-06
vi, sv, 0.0, 1.1920928955078125e-05
vi, ru, 0.0, 9.298324584960938e-06
vi, bs, 0.0, 1.2874603271484375e-05
vi, zh, 0.0, 9.059906005859375e-06
vi, mk, 0.0, 9.059906005859375e-06
vi, hu, 0.0, 5.4836273193359375e-06
vi, ko, 0.0, 9.059906005859375e-06
de, de, 1.0, 0.0010075569152832031
de, sh, 0.0, 2.2172927856445312e-05
de, nl, 0.0, 1.7642974853515625e-05
de, pt, 0.8, 2.193450927734375e-05
de, ro, 0.0, 1.3113021850585938e-05
de, ja, 0.0, 1.2874603271484375e-05
de, simple, 0.0, 1.5974044799804688e-05
de, it, 0.5384615384615384, 5.14984130859375e-05
de, he, 0.0, 9.298324584960938e-06
de, da, 0.0, 2.7179718017578125e-05
de, en, 0.8181818181818182, 0.0003178119659423828
de, sr, 0.0, 1.8835067749023438e-05
de, sv, 0.0, 2.1457672119140625e-05
de, ru, 0.0, 1.621246337890625e-05
de, bs, 0.0, 1.9073486328125e-05
de, zh, 0.0, 1.4543533325195312e-05
de, mk, 0.0, 1.4066696166992188e-05
de, hu, 0.0, 8.58306884765625e-06
de, ko, 0.0, 1.430511474609375e-05
sh, sh, 1.0, 0.000301361083984375
sh, nl, 0.75, 2.9802322387695312e-05
sh, pt, 0.0, 1.52587890625e-05
sh, ro, 0.0, 7.152557373046875e-06
sh, ja, 0.0, 1.2636184692382812e-05
sh, simple, 0.0, 1.2159347534179688e-05
sh, it, 0.6666666666666666, 9.775161743164062e-05
sh, he, 0.0, 8.344650268554688e-06
sh, da, 1.0, 3.147125244140625e-05
sh, en, 0.7536231884057971, 0.0001442432403564453
sh, sr, 0.0, 9.5367431640625e-06
sh, sv, 1.0, 0.00010180473327636719
sh, ru, 0.0, 1.4543533325195312e-05
sh, bs, 1.0, 0.00010418891906738281
sh, zh, 0.0, 1.3828277587890625e-05
sh, mk, 0.0, 1.0967254638671875e-05
sh, hu, 0.0, 5.9604644775390625e-06
sh, ko, 0.0, 9.5367431640625e-06
nl, nl, 1.0, 0.0005371570587158203
nl, pt, 0.0, 1.33514404296875e-05
nl, ro, 0.0, 6.67572021484375e-06
nl, ja, 0.0, 1.0967254638671875e-05
nl, simple, 0.0, 1.1682510375976562e-05
nl, it, 0.6153846153846154, 5.173683166503906e-05
nl, he, 0.0, 7.867813110351562e-06
nl, da, 0.2857142857142857, 2.002716064453125e-05
nl, en, 0.8630952380952381, 0.0002994537353515625
nl, sr, 0.0, 8.58306884765625e-06
nl, sv, 0.7, 2.765655517578125e-05
nl, ru, 0.0, 1.1920928955078125e-05
nl, bs, 0.6666666666666666, 2.3126602172851562e-05
nl, zh, 0.0, 1.1920928955078125e-05
nl, mk, 0.0, 1.0728836059570312e-05
nl, hu, 0.0, 5.9604644775390625e-06
nl, ko, 0.0, 1.0967254638671875e-05
pt, pt, 1.0, 6.794929504394531e-05
pt, ro, 0.0, 6.4373016357421875e-06
pt, ja, 0.0, 1.049041748046875e-05
pt, simple, 0.0, 1.0728836059570312e-05
pt, it, 0.4444444444444444, 3.910064697265625e-05
pt, he, 0.0, 7.867813110351562e-06
pt, da, 0.0, 1.1920928955078125e-05
pt, en, 0.7586206896551724, 9.72747802734375e-05
pt, sr, 0.0, 7.62939453125e-06
pt, sv, 0.0, 1.2874603271484375e-05
pt, ru, 0.0, 1.1920928955078125e-05
pt, bs, 0.0, 1.1920928955078125e-05
pt, zh, 0.0, 1.049041748046875e-05
pt, mk, 0.0, 1.049041748046875e-05
pt, hu, 0.0, 5.7220458984375e-06
pt, ko, 0.0, 1.049041748046875e-05
ro, ro, 0.0, 1.0013580322265625e-05
ro, ja, 0.0, 9.298324584960938e-06
ro, simple, 0.0, 5.9604644775390625e-06
ro, it, 0.0, 1.52587890625e-05
ro, he, 0.0, 1.1682510375976562e-05
ro, da, 0.0, 5.7220458984375e-06
ro, en, 0.0, 3.170967102050781e-05
ro, sr, 0.0, 1.239776611328125e-05
ro, sv, 0.0, 6.67572021484375e-06
ro, ru, 0.0, 1.0967254638671875e-05
ro, bs, 0.0, 6.4373016357421875e-06
ro, zh, 0.0, 9.5367431640625e-06
ro, mk, 0.0, 5.0067901611328125e-06
ro, hu, 0.0, 4.291534423828125e-06
ro, ko, 0.0, 1.049041748046875e-05
ja, ja, 0.0, 1.1444091796875e-05
ja, simple, 0.0, 5.7220458984375e-06
ja, it, 0.0, 2.6941299438476562e-05
ja, he, 0.0, 5.245208740234375e-06
ja, da, 0.0, 1.0728836059570312e-05
ja, en, 0.0, 2.9802322387695312e-05
ja, sr, 0.0, 1.1920928955078125e-05
ja, sv, 0.0, 1.7642974853515625e-05
ja, ru, 0.0, 1.1920928955078125e-05
ja, bs, 0.0, 1.33514404296875e-05
ja, zh, 0.0, 1.0728836059570312e-05
ja, mk, 0.0, 1.0728836059570312e-05
ja, hu, 0.0, 5.9604644775390625e-06
ja, ko, 0.0, 1.0728836059570312e-05
simple, simple, 1.0, 0.00016188621520996094
simple, it, 0.0, 3.0517578125e-05
simple, he, 0.0, 6.4373016357421875e-06
simple, da, 0.0, 1.3113021850585938e-05
simple, en, 0.7962962962962963, 0.00012540817260742188
simple, sr, 0.0, 7.152557373046875e-06
simple, sv, 0.0, 1.6689300537109375e-05
simple, ru, 0.0, 5.9604644775390625e-06
simple, bs, 0.0, 1.33514404296875e-05
simple, zh, 0.0, 5.7220458984375e-06
simple, mk, 0.0, 5.7220458984375e-06
simple, hu, 0.0, 6.4373016357421875e-06
simple, ko, 0.0, 5.4836273193359375e-06
it, it, 1.0, 0.005411624908447266
it, he, 0.0, 1.3589859008789062e-05
it, da, 0.6842105263157895, 5.555152893066406e-05
it, en, 0.7169811320754716, 0.00034427642822265625
it, sr, 0.0, 1.3589859008789062e-05
it, sv, 0.7727272727272727, 9.274482727050781e-05
it, ru, 0.0, 2.4318695068359375e-05
it, bs, 0.7142857142857143, 6.818771362304688e-05
it, zh, 0.0, 2.0265579223632812e-05
it, mk, 0.0, 2.0265579223632812e-05
it, hu, 0.0, 1.430511474609375e-05
it, ko, 0.0, 2.1457672119140625e-05
he, he, 0.0, 1.0728836059570312e-05
he, da, 0.0, 6.198883056640625e-06
he, en, 0.0, 1.5974044799804688e-05
he, sr, 0.0, 6.67572021484375e-06
he, sv, 0.0, 6.198883056640625e-06
he, ru, 0.0, 1.1920928955078125e-05
he, bs, 0.0, 6.67572021484375e-06
he, zh, 0.0, 5.4836273193359375e-06
he, mk, 0.0, 5.245208740234375e-06
he, hu, 0.0, 5.4836273193359375e-06
he, ko, 0.0, 5.4836273193359375e-06
da, da, 1.0, 0.00010848045349121094
da, en, 0.4117647058823529, 5.245208740234375e-05
da, sr, 0.0, 7.152557373046875e-06
da, sv, 1.0, 3.0994415283203125e-05
da, ru, 0.0, 1.33514404296875e-05
da, bs, 0.8571428571428571, 2.1457672119140625e-05
da, zh, 0.0, 1.1444091796875e-05
da, mk, 0.0, 1.0728836059570312e-05
da, hu, 0.0, 5.9604644775390625e-06
da, ko, 0.0, 1.049041748046875e-05
en, en, 1.0, 0.022432804107666016
en, sr, 0.0, 2.6226043701171875e-05
en, sv, 0.5116279069767442, 8.249282836914062e-05
en, ru, 0.0, 2.288818359375e-05
en, bs, 0.7586206896551724, 0.0001609325408935547
en, zh, 0.0, 2.2649765014648438e-05
en, mk, 0.0, 2.4318695068359375e-05
en, hu, 0.0, 2.09808349609375e-05
en, ko, 0.0, 2.2172927856445312e-05
sr, sr, 0.0, 1.239776611328125e-05
sr, sv, 0.0, 6.67572021484375e-06
sr, ru, 0.0, 5.0067901611328125e-06
sr, bs, 0.0, 5.7220458984375e-06
sr, zh, 0.0, 1.0967254638671875e-05
sr, mk, 0.0, 4.76837158203125e-06
sr, hu, 0.0, 4.76837158203125e-06
sr, ko, 0.0, 9.298324584960938e-06
sv, sv, 1.0, 0.00023293495178222656
sv, ru, 0.0, 1.1682510375976562e-05
sv, bs, 0.9230769230769231, 3.170967102050781e-05
sv, zh, 0.0, 1.1205673217773438e-05
sv, mk, 0.0, 1.0251998901367188e-05
sv, hu, 0.0, 6.198883056640625e-06
sv, ko, 0.0, 1.0728836059570312e-05
ru, ru, 0.0, 1.0728836059570312e-05
ru, bs, 0.0, 1.1205673217773438e-05
ru, zh, 0.0, 9.775161743164062e-06
ru, mk, 0.0, 8.344650268554688e-06
ru, hu, 0.0, 5.245208740234375e-06
ru, ko, 0.0, 1.0013580322265625e-05
bs, bs, 1.0, 0.00043201446533203125
bs, zh, 0.0, 1.33514404296875e-05
bs, mk, 0.0, 1.1682510375976562e-05
bs, hu, 0.0, 6.198883056640625e-06
bs, ko, 0.0, 1.2159347534179688e-05
zh, zh, 0.0, 1.0728836059570312e-05
zh, mk, 0.0, 8.821487426757812e-06
zh, hu, 0.0, 5.245208740234375e-06
zh, ko, 0.0, 1.0251998901367188e-05
mk, mk, 0.0, 9.298324584960938e-06
mk, hu, 0.0, 5.0067901611328125e-06
mk, ko, 0.0, 9.5367431640625e-06
hu, hu, 0.0, 8.58306884765625e-06
hu, ko, 0.0, 5.0067901611328125e-06
ko, ko, 0.0, 9.5367431640625e-06
