Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0001723766326904297
id, fr, 0.02531645569620253, 0.0002677440643310547
id, mr, 0.015384615384615385, 6.389617919921875e-05
id, tr, 0.08536585365853659, 8.153915405273438e-05
id, lv, 0.03076923076923077, 6.103515625e-05
id, el, 0.015384615384615385, 6.127357482910156e-05
id, es, 0.08571428571428572, 0.00021696090698242188
id, pl, 0.13186813186813187, 0.0001709461212158203
id, vi, 0.04411764705882353, 0.00011706352233886719
id, de, 0.039014373716632446, 0.0004134178161621094
id, ml, 0.015384615384615385, 6.198883056640625e-05
id, sh, 0.0918918918918919, 0.00016069412231445312
id, nl, 0.07281553398058252, 0.0001697540283203125
id, pt, 0.07222222222222222, 0.000152587890625
id, ro, 0.05, 0.00010442733764648438
id, ja, 0.029411764705882353, 6.222724914550781e-05
id, simple, 0.08571428571428572, 9.846687316894531e-05
id, it, 0.09623430962343096, 0.0002129077911376953
id, he, 0.030303030303030304, 6.198883056640625e-05
id, da, 0.12080536912751678, 0.00013327598571777344
id, en, 0.01892346509671993, 0.003392934799194336
id, sr, 0.030303030303030304, 9.632110595703125e-05
id, sv, 0.08520179372197309, 0.0002181529998779297
id, ru, 0.02857142857142857, 6.794929504394531e-05
id, hi, 0.015384615384615385, 6.556510925292969e-05
id, arz, 0.015384615384615385, 6.461143493652344e-05
id, bs, 0.06862745098039216, 0.00010228157043457031
id, te, 0.015384615384615385, 6.67572021484375e-05
id, zh, 0.014285714285714285, 6.866455078125e-05
id, mk, 0.015384615384615385, 6.67572021484375e-05
id, hu, 0.09090909090909091, 9.655952453613281e-05
id, ko, 0.014925373134328358, 6.842613220214844e-05
id, union, 0.018212384421406557, 0.006167888641357422
fr, fr, 1.0, 0.0004620552062988281
fr, mr, 0.003861003861003861, 0.00020766258239746094
fr, tr, 0.025362318840579712, 0.00023508071899414062
fr, lv, 0.007722007722007722, 0.00020241737365722656
fr, el, 0.003861003861003861, 0.00020813941955566406
fr, es, 0.036036036036036036, 0.00039768218994140625
fr, pl, 0.06666666666666667, 0.0003333091735839844
fr, vi, 0.043478260869565216, 0.0002853870391845703
fr, de, 0.04011887072808321, 0.0006031990051269531
fr, ml, 0.003861003861003861, 0.0002079010009765625
fr, sh, 0.01020408163265306, 0.00031113624572753906
fr, nl, 0.03233830845771144, 0.00032591819763183594
fr, pt, 0.032, 0.0003123283386230469
fr, ro, 0.04234527687296417, 0.000247955322265625
fr, ja, 0.011494252873563218, 0.00019860267639160156
fr, simple, 0.030100334448160536, 0.00024056434631347656
fr, it, 0.07547169811320754, 0.0003724098205566406
fr, he, 0.007692307692307693, 0.00020241737365722656
fr, da, 0.01977401129943503, 0.00028443336486816406
fr, en, 0.023865414710485134, 0.003463268280029297
fr, sr, 0.011583011583011582, 0.00023794174194335938
fr, sv, 0.0405727923627685, 0.00037169456481933594
fr, ru, 0.019157088122605363, 0.00020647048950195312
fr, hi, 0.003861003861003861, 0.0001990795135498047
fr, arz, 0.003861003861003861, 0.0001983642578125
fr, bs, 0.01, 0.00023889541625976562
fr, te, 0.003861003861003861, 0.00020051002502441406
fr, zh, 0.011450381679389313, 0.0002009868621826172
fr, mk, 0.003861003861003861, 0.00019478797912597656
fr, hu, 0.03571428571428571, 0.0002276897430419922
