Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.000286102294921875
id, fr, 0.06773114355231144, 0.00015497207641601562
id, lv, 0.006097560975609756, 0.00010418891906738281
id, es, 0.012195121951219513, 9.107589721679688e-05
id, pl, 0.02830188679245283, 0.0001163482666015625
id, de, 0.02547482665058788, 9.989738464355469e-05
id, sh, 0.006097560975609756, 8.893013000488281e-05
id, nl, 0.13346546343931853, 0.0001678466796875
id, pt, 0.06331236897274634, 0.00010132789611816406
id, it, 0.14839080459770115, 0.00013947486877441406
id, da, 0.03664529914529915, 8.153915405273438e-05
id, en, 0.11680914566620748, 0.0005211830139160156
id, sr, 0.006097560975609756, 7.677078247070312e-05
id, sv, 0.023214285714285715, 9.465217590332031e-05
id, ru, 0.012195121951219513, 7.319450378417969e-05
id, hi, 0.006097560975609756, 7.271766662597656e-05
id, zh, 0.006097560975609756, 7.128715515136719e-05
id, ko, 0.006097560975609756, 7.295608520507812e-05
id, union, 0.12646759016719664, 0.009063720703125
fr, fr, 1.0, 9.608268737792969e-05
fr, lv, 0.01020408163265306, 4.482269287109375e-05
fr, es, 0.01, 4.315376281738281e-05
fr, pl, 0.02666666666666667, 6.747245788574219e-05
fr, de, 0.04224137931034483, 5.435943603515625e-05
fr, sh, 0.01020408163265306, 4.1961669921875e-05
fr, nl, 0.07658536585365854, 0.00010919570922851562
fr, pt, 0.0078125, 5.507469177246094e-05
fr, it, 0.12888359885246903, 0.00012803077697753906
fr, da, 0.0437192118226601, 5.030632019042969e-05
fr, en, 0.04022756684986302, 0.00044417381286621094
fr, sr, 0.01020408163265306, 3.886222839355469e-05
fr, sv, 0.02054794520547945, 5.269050598144531e-05
fr, ru, 0.01, 3.4809112548828125e-05
fr, hi, 0.01020408163265306, 3.4332275390625e-05
fr, zh, 0.01020408163265306, 3.361701965332031e-05
fr, ko, 0.01020408163265306, 3.6716461181640625e-05
fr, union, 0.06891023688560208, 0.0006761550903320312
lv, lv, 0.5, 1.5020370483398438e-05
lv, es, 0.25, 9.5367431640625e-06
lv, pl, 0.016666666666666666, 2.956390380859375e-05
lv, de, 0.03571428571428571, 1.7404556274414062e-05
lv, sh, 0.5, 9.775161743164062e-06
lv, nl, 0.005813953488372093, 5.984306335449219e-05
lv, pt, 0.03125, 1.811981201171875e-05
lv, it, 0.005154639175257732, 6.747245788574219e-05
lv, da, 0.041666666666666664, 1.6450881958007812e-05
lv, en, 0.0010615711252653928, 0.00038170814514160156
lv, sr, 0.5, 1.2159347534179688e-05
lv, sv, 0.018518518518518517, 2.4080276489257812e-05
lv, ru, 0.25, 1.0013580322265625e-05
lv, hi, 0.5, 8.821487426757812e-06
lv, zh, 0.5, 8.58306884765625e-06
lv, ko, 0.5, 8.106231689453125e-06
lv, union, 0.0007898894154818325, 0.0005888938903808594
es, es, 0.5, 1.1682510375976562e-05
es, pl, 0.03333333333333333, 2.6941299438476562e-05
es, de, 0.03333333333333333, 1.52587890625e-05
es, sh, 0.25, 8.58306884765625e-06
es, nl, 0.005747126436781609, 5.5789947509765625e-05
es, pt, 0.0625, 1.621246337890625e-05
es, it, 0.00510204081632653, 7.152557373046875e-05
es, da, 0.038461538461538464, 1.8596649169921875e-05
es, en, 0.0021231422505307855, 0.00037789344787597656
es, sr, 0.25, 1.3589859008789062e-05
es, sv, 0.037037037037037035, 2.7418136596679688e-05
es, ru, 0.5, 1.1205673217773438e-05
es, hi, 0.25, 9.5367431640625e-06
es, zh, 0.25, 1.0251998901367188e-05
es, ko, 0.25, 9.298324584960938e-06
es, union, 0.001579778830963665, 0.0007040500640869141
pl, pl, 1.0, 5.888938903808594e-05
pl, de, 0.023809523809523808, 3.886222839355469e-05
pl, sh, 0.016666666666666666, 3.0517578125e-05
pl, nl, 0.017857142857142856, 8.654594421386719e-05
pl, pt, 0.03488372093023256, 4.076957702636719e-05
pl, it, 0.008, 9.250640869140625e-05
pl, da, 0.025, 3.910064697265625e-05
pl, en, 0.012269938650306749, 0.00039887428283691406
pl, sr, 0.016666666666666666, 3.314018249511719e-05
pl, sv, 0.01818181818181818, 4.7206878662109375e-05
pl, ru, 0.03333333333333333, 3.0517578125e-05
pl, hi, 0.016666666666666666, 3.7670135498046875e-05
pl, zh, 0.016666666666666666, 2.9087066650390625e-05
pl, ko, 0.016666666666666666, 5.936622619628906e-05
pl, union, 0.044262235163683765, 0.0007607936859130859
de, de, 1.0, 3.0994415283203125e-05
de, sh, 0.03571428571428571, 1.7404556274414062e-05
de, nl, 0.015358720807910793, 7.343292236328125e-05
de, pt, 0.017241379310344827, 2.7179718017578125e-05
de, it, 0.03284253218127314, 7.987022399902344e-05
de, da, 0.16233766233766234, 2.6464462280273438e-05
de, en, 0.01163252055980378, 0.0003814697265625
de, sr, 0.03571428571428571, 1.9311904907226562e-05
de, sv, 0.0125, 3.504753112792969e-05
de, ru, 0.03333333333333333, 1.7642974853515625e-05
de, hi, 0.03571428571428571, 1.6450881958007812e-05
de, zh, 0.03571428571428571, 1.5974044799804688e-05
de, ko, 0.03571428571428571, 1.5974044799804688e-05
de, union, 0.01941320760080735, 0.0006680488586425781
sh, sh, 0.5, 1.5497207641601562e-05
sh, nl, 0.005813953488372093, 6.29425048828125e-05
sh, pt, 0.03125, 1.811981201171875e-05
sh, it, 0.005154639175257732, 6.818771362304688e-05
sh, da, 0.041666666666666664, 1.6689300537109375e-05
sh, en, 0.0010615711252653928, 0.00036215782165527344
sh, sr, 0.5, 1.2636184692382812e-05
sh, sv, 0.018518518518518517, 2.5987625122070312e-05
sh, ru, 0.25, 1.0013580322265625e-05
sh, hi, 0.5, 9.059906005859375e-06
sh, zh, 0.5, 9.059906005859375e-06
sh, ko, 0.5, 9.059906005859375e-06
sh, union, 0.0007898894154818325, 0.0006620883941650391
nl, nl, 1.0, 0.00013446807861328125
nl, pt, 0.01, 7.033348083496094e-05
nl, it, 0.20929359823399557, 0.0001323223114013672
nl, da, 0.026427771556550954, 6.914138793945312e-05
nl, en, 0.0615682326208642, 0.0004341602325439453
nl, sr, 0.005813953488372093, 6.508827209472656e-05
nl, sv, 0.013636363636363636, 7.891654968261719e-05
nl, ru, 0.005747126436781609, 5.984306335449219e-05
nl, hi, 0.005813953488372093, 5.91278076171875e-05
nl, zh, 0.005813953488372093, 5.888938903808594e-05
nl, ko, 0.005813953488372093, 5.91278076171875e-05
nl, union, 0.12255773908876408, 0.0007395744323730469
pt, pt, 1.0, 3.075599670410156e-05
pt, it, 0.013636363636363636, 7.796287536621094e-05
pt, da, 0.018518518518518517, 2.5510787963867188e-05
pt, en, 0.010728092783505155, 0.00037407875061035156
pt, sr, 0.03125, 2.002716064453125e-05
pt, sv, 0.0506578947368421, 3.4809112548828125e-05
