Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.02187514305114746
id, fr, 0.0, 0.04810142517089844
id, mr, 0.009736180904522614, 0.07708621025085449
id, tr, 0.10344368052577478, 0.025456666946411133
id, lv, 0.07594458921607684, 0.02246999740600586
id, el, 0.0, 0.018245220184326172
id, es, 0.005387931034482759, 0.024759769439697266
id, pl, 0.0, 0.010600566864013672
id, vi, 0.03814847862882794, 0.01008749008178711
id, de, 0.0006277463904582549, 0.010928869247436523
id, ml, 0.012221874020683171, 0.018507719039916992
id, sh, 0.09926744207038563, 0.0701138973236084
id, nl, 0.0013880320789636028, 0.05184602737426758
id, si, 0.0029883611198490093, 0.056853294372558594
id, pt, 0.0, 0.04679465293884277
id, ro, 0.05917449772198375, 0.011996030807495117
id, ja, 0.0, 0.037989139556884766
id, simple, 0.13904171302090576, 0.054952383041381836
id, it, 0.0, 0.01929330825805664
id, ceb, 0.01724876347588674, 0.020282506942749023
id, he, 0.013910597061581745, 0.09177160263061523
id, da, 0.1093623226623943, 0.03513169288635254
id, en, 0.05001213886865744, 0.04423069953918457
id, sr, 0.01651108489895762, 0.021617412567138672
id, sv, 0.0, 0.05263876914978027
id, ckb, 0.005813953488372093, 0.032713890075683594
id, ru, 0.0, 0.023951292037963867
id, hi, 0.01419656786271451, 0.051177263259887695
id, arz, 0.005345911949685534, 0.017888307571411133
id, bs, 0.04825233479610474, 0.03416275978088379
id, te, 0.003302925448254168, 0.02662491798400879
id, zh, 0.0, 0.033142805099487305
id, mk, 0.019059329849369814, 0.05573868751525879
id, hu, 0.09905864680908702, 0.05854320526123047
id, ko, 0.0, 0.01785898208618164
id, war, 0.02080942900003073, 0.030017852783203125
id, union, 0.39861502989424036, 0.19522714614868164
fr, fr, 0.5, 3.218650817871094e-05
fr, mr, 0.0, 2.86102294921875e-05
fr, tr, 0.0, 0.010609149932861328
fr, lv, 0.0, 0.0008897781372070312
fr, el, 0.0, 1.5497207641601562e-05
fr, es, 0.004807692307692308, 8.678436279296875e-05
fr, pl, 0.0, 1.1444091796875e-05
fr, vi, 0.0, 0.00017380714416503906
fr, de, 0.045454545454545456, 1.811981201171875e-05
fr, ml, 0.0, 1.7404556274414062e-05
fr, sh, 0.0, 0.0015900135040283203
fr, nl, 0.0, 5.698204040527344e-05
fr, si, 0.0, 1.3113021850585938e-05
fr, pt, 0.5, 1.0728836059570312e-05
fr, ro, 0.0, 0.0009427070617675781
fr, ja, 0.0, 1.3828277587890625e-05
fr, simple, 0.0, 0.002935647964477539
fr, it, 0.5, 2.0503997802734375e-05
fr, ceb, 0.0, 0.00012564659118652344
fr, he, 0.0, 1.7881393432617188e-05
fr, da, 0.0, 0.0025246143341064453
fr, en, 0.0003698224852071006, 0.011345148086547852
fr, sr, 0.0, 4.839897155761719e-05
fr, sv, 0.5, 1.4066696166992188e-05
fr, ckb, 0.0, 1.33514404296875e-05
fr, ru, 0.0, 1.0251998901367188e-05
fr, hi, 0.0, 1.7642974853515625e-05
fr, arz, 0.0, 1.2874603271484375e-05
fr, bs, 0.0, 0.0005495548248291016
fr, te, 0.0, 1.52587890625e-05
fr, zh, 0.25, 1.0251998901367188e-05
fr, mk, 0.0, 1.9788742065429688e-05
fr, hu, 0.0, 0.004603862762451172
fr, ko, 0.0, 1.5020370483398438e-05
fr, war, 0.0, 0.0001227855682373047
fr, union, 6.280618012812461e-05, 0.10874795913696289
mr, mr, 0.5, 5.030632019042969e-05
mr, tr, 0.019281045751633988, 0.003206014633178711
mr, lv, 0.04508856682769726, 0.0008738040924072266
mr, el, 0.0, 1.9073486328125e-05
mr, es, 0.0029411764705882353, 8.130073547363281e-05
mr, pl, 0.0, 1.4543533325195312e-05
mr, vi, 0.0893854748603352, 0.00017499923706054688
mr, de, 0.0, 2.193450927734375e-05
mr, ml, 0.22018348623853212, 2.4080276489257812e-05
mr, sh, 0.019632414369256473, 0.0037429332733154297
mr, nl, 0.0, 7.343292236328125e-05
mr, si, 0.1056338028169014, 2.2411346435546875e-05
mr, pt, 0.0, 1.71661376953125e-05
mr, ro, 0.041385135135135136, 0.0010135173797607422
mr, ja, 0.0, 2.2411346435546875e-05
mr, simple, 0.020313613684960798, 0.002979755401611328
mr, it, 0.0, 2.2649765014648438e-05
mr, ceb, 0.06983240223463687, 0.00014090538024902344
mr, he, 0.21544715447154472, 2.8371810913085938e-05
mr, da, 0.014962593516209476, 0.00490117073059082
mr, en, 0.00498220640569395, 0.0012996196746826172
mr, sr, 0.1780821917808219, 5.459785461425781e-05
mr, sv, 0.0, 2.193450927734375e-05
mr, ckb, 0.1858974358974359, 2.1457672119140625e-05
mr, ru, 0.0, 1.52587890625e-05
mr, hi, 0.21875, 2.765655517578125e-05
mr, arz, 0.1375, 2.1457672119140625e-05
mr, bs, 0.025052192066805846, 0.0005617141723632812
