Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 3.314018249511719e-05
fr, de, 0.01818181818181818, 5.8650970458984375e-05
fr, ml, 1.0, 1.1444091796875e-05
fr, pt, 1.0, 1.0013580322265625e-05
fr, ja, 1.0, 1.1205673217773438e-05
fr, en, 0.006944444444444444, 0.00011324882507324219
fr, ko, 1.0, 1.2874603271484375e-05
fr, union, 0.0058823529411764705, 0.00014209747314453125
de, de, 1.0, 8.153915405273438e-05
de, ml, 0.01818181818181818, 4.00543212890625e-05
de, pt, 0.01818181818181818, 4.172325134277344e-05
de, ja, 0.01818181818181818, 4.363059997558594e-05
de, en, 0.17058823529411765, 0.0001399517059326172
de, ko, 0.01818181818181818, 4.1961669921875e-05
de, union, 0.3235294117647059, 0.00016927719116210938
ml, ml, 1.0, 1.0728836059570312e-05
ml, pt, 1.0, 1.2874603271484375e-05
ml, ja, 1.0, 9.298324584960938e-06
ml, en, 0.006944444444444444, 0.00010180473327636719
ml, ko, 1.0, 1.049041748046875e-05
ml, union, 0.0058823529411764705, 0.00013017654418945312
pt, pt, 1.0, 1.0967254638671875e-05
pt, ja, 1.0, 1.0251998901367188e-05
pt, en, 0.006944444444444444, 9.393692016601562e-05
pt, ko, 1.0, 9.5367431640625e-06
pt, union, 0.0058823529411764705, 0.00013065338134765625
ja, ja, 1.0, 9.775161743164062e-06
ja, en, 0.006944444444444444, 9.655952453613281e-05
ja, ko, 1.0, 9.298324584960938e-06
ja, union, 0.0058823529411764705, 0.00012922286987304688
en, en, 1.0, 0.0002002716064453125
en, ko, 0.006944444444444444, 9.799003601074219e-05
en, union, 0.8470588235294118, 0.0002295970916748047
ko, ko, 1.0, 1.0013580322265625e-05
ko, union, 0.0058823529411764705, 0.0001304149627685547
union, union, 1.0, 0.0002574920654296875
