Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.5033950805664062e-05
id, fr, 0.9565217391304348, 2.765655517578125e-05
id, tr, 1.0, 1.5020370483398438e-05
id, el, 1.0, 1.1920928955078125e-05
id, es, 1.0, 1.3113021850585938e-05
id, pl, 1.0, 1.621246337890625e-05
id, vi, 1.0, 9.5367431640625e-06
id, de, 1.0, 1.52587890625e-05
id, sh, 1.0, 1.2874603271484375e-05
id, nl, 1.0, 1.5974044799804688e-05
id, pt, 1.0, 9.775161743164062e-06
id, ro, 1.0, 9.775161743164062e-06
id, ja, 1.0, 9.059906005859375e-06
id, it, 1.0, 2.09808349609375e-05
id, he, 1.0, 1.0251998901367188e-05
id, da, 1.0, 1.7642974853515625e-05
id, en, 1.0, 2.6941299438476562e-05
id, sr, 1.0, 1.049041748046875e-05
id, sv, 1.0, 1.1682510375976562e-05
id, ru, 1.0, 9.298324584960938e-06
id, zh, 1.0, 8.821487426757812e-06
id, hu, 1.0, 9.059906005859375e-06
id, ko, 1.0, 9.298324584960938e-06
fr, fr, 1.0, 0.0007226467132568359
fr, tr, 1.0, 1.3828277587890625e-05
fr, el, 1.0, 1.0251998901367188e-05
fr, es, 0.9166666666666667, 2.5272369384765625e-05
fr, pl, 0.9285714285714286, 2.5033950805664062e-05
fr, vi, 1.0, 1.0728836059570312e-05
fr, de, 0.9690721649484536, 7.62939453125e-05
fr, sh, 0.9333333333333333, 1.9550323486328125e-05
fr, nl, 0.9491525423728814, 6.580352783203125e-05
fr, pt, 0.9714285714285715, 2.0742416381835938e-05
fr, ro, 0.8571428571428571, 1.9073486328125e-05
fr, ja, 1.0, 1.0728836059570312e-05
fr, it, 0.861111111111111, 0.00013113021850585938
fr, he, 1.0, 1.1444091796875e-05
fr, da, 0.9714285714285715, 2.002716064453125e-05
fr, en, 0.9545454545454545, 0.00013017654418945312
fr, sr, 1.0, 8.58306884765625e-06
fr, sv, 0.9387755102040816, 1.811981201171875e-05
fr, ru, 1.0, 8.58306884765625e-06
fr, zh, 1.0, 7.62939453125e-06
fr, hu, 1.0, 7.3909759521484375e-06
fr, ko, 1.0, 6.9141387939453125e-06
tr, tr, 1.0, 5.9604644775390625e-06
tr, el, 1.0, 6.4373016357421875e-06
tr, es, 1.0, 6.67572021484375e-06
tr, pl, 1.0, 6.198883056640625e-06
tr, vi, 1.0, 6.198883056640625e-06
tr, de, 1.0, 6.198883056640625e-06
tr, sh, 1.0, 6.198883056640625e-06
tr, nl, 1.0, 6.198883056640625e-06
tr, pt, 1.0, 6.198883056640625e-06
tr, ro, 1.0, 6.198883056640625e-06
tr, ja, 1.0, 6.198883056640625e-06
tr, it, 1.0, 8.821487426757812e-06
tr, he, 1.0, 6.4373016357421875e-06
tr, da, 1.0, 6.198883056640625e-06
tr, en, 1.0, 7.3909759521484375e-06
tr, sr, 1.0, 6.67572021484375e-06
tr, sv, 1.0, 6.4373016357421875e-06
tr, ru, 1.0, 6.198883056640625e-06
tr, zh, 1.0, 5.7220458984375e-06
tr, hu, 1.0, 5.9604644775390625e-06
tr, ko, 1.0, 5.9604644775390625e-06
el, el, 1.0, 5.9604644775390625e-06
el, es, 1.0, 5.9604644775390625e-06
el, pl, 1.0, 5.9604644775390625e-06
el, vi, 1.0, 5.9604644775390625e-06
el, de, 1.0, 6.198883056640625e-06
el, sh, 1.0, 6.198883056640625e-06
el, nl, 1.0, 6.198883056640625e-06
el, pt, 1.0, 5.9604644775390625e-06
el, ro, 1.0, 6.198883056640625e-06
el, ja, 1.0, 6.198883056640625e-06
el, it, 1.0, 7.152557373046875e-06
el, he, 1.0, 6.198883056640625e-06
el, da, 1.0, 5.9604644775390625e-06
el, en, 1.0, 6.9141387939453125e-06
el, sr, 1.0, 6.198883056640625e-06
el, sv, 1.0, 6.198883056640625e-06
el, ru, 1.0, 6.198883056640625e-06
el, zh, 1.0, 6.198883056640625e-06
el, hu, 1.0, 5.9604644775390625e-06
el, ko, 1.0, 5.9604644775390625e-06
es, es, 1.0, 0.00011372566223144531
es, pl, 1.0, 1.1682510375976562e-05
es, vi, 1.0, 7.867813110351562e-06
es, de, 0.9411764705882353, 1.5020370483398438e-05
es, sh, 1.0, 7.152557373046875e-06
es, nl, 1.0, 6.9141387939453125e-06
es, pt, 1.0, 2.0265579223632812e-05
es, ro, 1.0, 1.4781951904296875e-05
es, ja, 1.0, 7.152557373046875e-06
es, it, 0.9289617486338798, 5.054473876953125e-05
es, he, 1.0, 1.7404556274414062e-05
es, da, 1.0, 7.152557373046875e-06
es, en, 0.6666666666666666, 1.1920928955078125e-05
es, sr, 1.0, 7.152557373046875e-06
es, sv, 1.0, 6.9141387939453125e-06
es, ru, 1.0, 6.9141387939453125e-06
es, zh, 1.0, 6.67572021484375e-06
es, hu, 1.0, 6.4373016357421875e-06
es, ko, 1.0, 6.198883056640625e-06
pl, pl, 1.0, 3.409385681152344e-05
pl, vi, 1.0, 7.3909759521484375e-06
pl, de, 0.9743589743589742, 1.5497207641601562e-05
pl, sh, 1.0, 1.1444091796875e-05
pl, nl, 1.0, 1.1205673217773438e-05
pl, pt, 1.0, 1.0013580322265625e-05
pl, ro, 0.8, 8.344650268554688e-06
pl, ja, 1.0, 6.9141387939453125e-06
pl, it, 1.0, 2.09808349609375e-05
pl, he, 1.0, 7.62939453125e-06
pl, da, 1.0, 1.3589859008789062e-05
pl, en, 1.0, 1.5020370483398438e-05
