Language1, Language2, SimilarityScore, Time
id, id, 1.0, 8.153915405273438e-05
id, fr, 0.015822784810126583, 0.00023818016052246094
id, tr, 0.06818181818181818, 3.9577484130859375e-05
id, lv, 0.0784313725490196, 4.315376281738281e-05
id, el, 0.034482758620689655, 2.6226043701171875e-05
id, es, 0.06382978723404255, 3.9577484130859375e-05
id, pl, 0.061224489795918366, 4.076957702636719e-05
id, de, 0.05405405405405406, 8.130073547363281e-05
id, nl, 0.10526315789473684, 4.8160552978515625e-05
id, pt, 0.07017543859649122, 4.57763671875e-05
id, ro, 0.034482758620689655, 2.5510787963867188e-05
id, ja, 0.034482758620689655, 2.47955322265625e-05
id, simple, 0.07692307692307693, 3.2901763916015625e-05
id, it, 0.046875, 4.9114227294921875e-05
id, da, 0.06818181818181818, 3.552436828613281e-05
id, en, 0.05303030303030303, 0.0002906322479248047
id, sr, 0.034482758620689655, 2.8371810913085938e-05
id, sv, 0.05405405405405406, 4.076957702636719e-05
id, ru, 0.034482758620689655, 2.47955322265625e-05
id, mk, 0.034482758620689655, 2.4557113647460938e-05
id, hu, 0.07462686567164178, 5.269050598144531e-05
id, union, 0.03602484472049689, 0.0007555484771728516
fr, fr, 1.0, 0.00035452842712402344
fr, tr, 0.019736842105263157, 0.00019359588623046875
fr, lv, 0.009523809523809525, 0.0001850128173828125
fr, el, 0.003424657534246575, 0.0001704692840576172
fr, es, 0.006430868167202572, 0.00018405914306640625
fr, pl, 0.012861736334405145, 0.00018334388732910156
fr, de, 0.049723756906077346, 0.00022554397583007812
fr, nl, 0.025157232704402517, 0.000194549560546875
fr, pt, 0.0125, 0.00017952919006347656
fr, ro, 0.003424657534246575, 0.0001590251922607422
fr, ja, 0.003424657534246575, 0.00016021728515625
fr, simple, 0.016666666666666666, 0.0001671314239501953
fr, it, 0.034482758620689655, 0.00019025802612304688
fr, da, 0.013071895424836602, 0.0001876354217529297
fr, en, 0.05426356589147287, 0.0004405975341796875
fr, sr, 0.003424657534246575, 0.00017380714416503906
fr, sv, 0.013422818791946308, 0.00017380714416503906
fr, ru, 0.003424657534246575, 0.000164031982421875
fr, mk, 0.003424657534246575, 0.00016427040100097656
fr, hu, 0.050156739811912224, 0.00019097328186035156
fr, union, 0.3627329192546584, 0.0011467933654785156
tr, tr, 1.0, 3.266334533691406e-05
tr, lv, 0.047619047619047616, 3.337860107421875e-05
tr, el, 0.05555555555555555, 1.6450881958007812e-05
tr, es, 0.02631578947368421, 2.8371810913085938e-05
tr, pl, 0.17142857142857143, 2.956390380859375e-05
tr, de, 0.0392156862745098, 6.67572021484375e-05
tr, nl, 0.061224489795918366, 3.552436828613281e-05
tr, pt, 0.06382978723404255, 3.3855438232421875e-05
tr, ro, 0.05555555555555555, 1.6450881958007812e-05
tr, ja, 0.05555555555555555, 1.5735626220703125e-05
tr, simple, 0.14814814814814814, 2.288818359375e-05
tr, it, 0.07692307692307693, 3.695487976074219e-05
tr, da, 0.09090909090909091, 2.5510787963867188e-05
tr, en, 0.020100502512562814, 0.00024318695068359375
tr, sr, 0.05555555555555555, 1.9073486328125e-05
tr, sv, 0.12, 2.193450927734375e-05
tr, ru, 0.05555555555555555, 1.621246337890625e-05
tr, mk, 0.05555555555555555, 1.5735626220703125e-05
tr, hu, 0.07017543859649122, 3.9577484130859375e-05
tr, union, 0.02236024844720497, 0.0007202625274658203
lv, lv, 1.0, 4.506111145019531e-05
lv, el, 0.038461538461538464, 3.123283386230469e-05
lv, es, 0.021739130434782608, 3.695487976074219e-05
lv, pl, 0.06521739130434782, 3.886222839355469e-05
lv, de, 0.02702702702702703, 7.796287536621094e-05
lv, nl, 0.07142857142857142, 4.553794860839844e-05
lv, pt, 0.07407407407407407, 4.291534423828125e-05
lv, ro, 0.038461538461538464, 2.384185791015625e-05
lv, ja, 0.038461538461538464, 2.2649765014648438e-05
lv, simple, 0.08333333333333333, 3.075599670410156e-05
lv, it, 0.03225806451612903, 4.553794860839844e-05
lv, da, 0.1282051282051282, 3.4332275390625e-05
lv, en, 0.024752475247524754, 0.00027489662170410156
lv, sr, 0.038461538461538464, 2.765655517578125e-05
lv, sv, 0.02857142857142857, 3.0517578125e-05
lv, ru, 0.038461538461538464, 2.384185791015625e-05
lv, mk, 0.038461538461538464, 2.384185791015625e-05
lv, hu, 0.078125, 5.125999450683594e-05
lv, union, 0.03229813664596273, 0.0007677078247070312
el, el, 1.0, 1.049041748046875e-05
el, es, 0.047619047619047616, 2.2172927856445312e-05
el, pl, 0.043478260869565216, 2.2649765014648438e-05
el, de, 0.011363636363636364, 6.175041198730469e-05
