Language1, Language2, SimilarityScore, Time
fr, fr, 0.0, 2.6941299438476562e-05
fr, es, 0.0, 6.198883056640625e-06
fr, pl, 0.0, 3.814697265625e-06
fr, de, 0.0, 5.9604644775390625e-06
fr, nl, 0.0, 5.4836273193359375e-06
fr, he, 0.0, 5.7220458984375e-06
fr, en, 0.0, 6.4373016357421875e-06
fr, ru, 0.0, 5.7220458984375e-06
fr, hi, 0.0, 5.4836273193359375e-06
es, es, 0.0, 5.4836273193359375e-06
es, pl, 0.0, 3.337860107421875e-06
es, de, 0.0, 5.7220458984375e-06
es, nl, 0.0, 5.4836273193359375e-06
es, he, 0.0, 5.4836273193359375e-06
es, en, 0.0, 6.198883056640625e-06
es, ru, 0.0, 5.4836273193359375e-06
es, hi, 0.0, 5.7220458984375e-06
pl, pl, 1.0, 0.00017189979553222656
pl, de, 0.0, 8.344650268554688e-06
pl, nl, 0.0, 4.291534423828125e-06
pl, he, 0.0, 3.814697265625e-06
pl, en, 0.0, 4.0531158447265625e-06
pl, ru, 0.0, 4.0531158447265625e-06
pl, hi, 0.0, 4.291534423828125e-06
de, de, 1.0, 4.506111145019531e-05
de, nl, 1.0, 1.2159347534179688e-05
de, he, 0.0, 7.152557373046875e-06
de, en, 1.0, 1.6450881958007812e-05
de, ru, 0.0, 7.152557373046875e-06
de, hi, 0.0, 6.198883056640625e-06
nl, nl, 1.0, 1.1444091796875e-05
nl, he, 0.0, 6.9141387939453125e-06
nl, en, 1.0, 1.1920928955078125e-05
nl, ru, 0.0, 6.67572021484375e-06
nl, hi, 0.0, 6.198883056640625e-06
he, he, 0.0, 6.198883056640625e-06
he, en, 0.0, 6.4373016357421875e-06
he, ru, 0.0, 5.9604644775390625e-06
he, hi, 0.0, 5.9604644775390625e-06
en, en, 1.0, 0.00022149085998535156
en, ru, 0.0, 8.106231689453125e-06
en, hi, 0.0, 6.9141387939453125e-06
ru, ru, 0.0, 6.198883056640625e-06
ru, hi, 0.0, 5.7220458984375e-06
hi, hi, 0.0, 5.7220458984375e-06
