Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 1.430511474609375e-05
fr, es, 1.0, 7.3909759521484375e-06
fr, pl, 1.0, 5.0067901611328125e-06
fr, de, 1.0, 6.9141387939453125e-06
fr, nl, 1.0, 6.67572021484375e-06
fr, he, 1.0, 6.198883056640625e-06
fr, en, 1.0, 6.67572021484375e-06
fr, ru, 1.0, 6.4373016357421875e-06
fr, hi, 1.0, 5.9604644775390625e-06
es, es, 1.0, 5.9604644775390625e-06
es, pl, 1.0, 4.5299530029296875e-06
es, de, 1.0, 5.9604644775390625e-06
es, nl, 1.0, 6.198883056640625e-06
es, he, 1.0, 6.4373016357421875e-06
es, en, 1.0, 6.67572021484375e-06
es, ru, 1.0, 5.9604644775390625e-06
es, hi, 1.0, 5.9604644775390625e-06
pl, pl, 1.0, 0.0001614093780517578
pl, de, 1.0, 8.58306884765625e-06
pl, nl, 1.0, 5.0067901611328125e-06
pl, he, 1.0, 4.76837158203125e-06
pl, en, 1.0, 4.291534423828125e-06
pl, ru, 1.0, 4.5299530029296875e-06
pl, hi, 1.0, 4.5299530029296875e-06
de, de, 1.0, 4.4345855712890625e-05
de, nl, 1.0, 1.33514404296875e-05
de, he, 1.0, 7.867813110351562e-06
de, en, 1.0, 1.6689300537109375e-05
de, ru, 1.0, 8.106231689453125e-06
de, hi, 1.0, 7.3909759521484375e-06
nl, nl, 1.0, 1.239776611328125e-05
nl, he, 1.0, 6.9141387939453125e-06
nl, en, 1.0, 1.239776611328125e-05
nl, ru, 1.0, 7.3909759521484375e-06
nl, hi, 1.0, 7.3909759521484375e-06
he, he, 1.0, 6.67572021484375e-06
he, en, 1.0, 7.3909759521484375e-06
he, ru, 1.0, 6.9141387939453125e-06
he, hi, 1.0, 6.67572021484375e-06
en, en, 1.0, 0.00022149085998535156
en, ru, 1.0, 9.059906005859375e-06
en, hi, 1.0, 8.106231689453125e-06
ru, ru, 1.0, 7.3909759521484375e-06
ru, hi, 1.0, 7.152557373046875e-06
hi, hi, 1.0, 6.67572021484375e-06
