Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 9.775161743164062e-06
fr, es, 1.0, 5.9604644775390625e-06
fr, pl, 0.0, 5.0067901611328125e-06
fr, de, 1.0, 5.9604644775390625e-06
fr, nl, 1.0, 5.4836273193359375e-06
fr, he, 1.0, 5.0067901611328125e-06
fr, en, 1.0, 5.0067901611328125e-06
fr, ru, 1.0, 5.0067901611328125e-06
fr, hi, 1.0, 5.0067901611328125e-06
es, es, 1.0, 4.76837158203125e-06
es, pl, 0.0, 3.5762786865234375e-06
es, de, 1.0, 5.4836273193359375e-06
es, nl, 1.0, 5.0067901611328125e-06
es, he, 1.0, 4.76837158203125e-06
es, en, 1.0, 5.4836273193359375e-06
es, ru, 1.0, 4.76837158203125e-06
es, hi, 1.0, 4.5299530029296875e-06
pl, pl, 1.0, 0.00014710426330566406
pl, de, 1.0, 6.9141387939453125e-06
pl, nl, 0.0, 4.5299530029296875e-06
pl, he, 0.0, 3.5762786865234375e-06
pl, en, 0.0, 3.5762786865234375e-06
pl, ru, 0.0, 3.337860107421875e-06
pl, hi, 0.0, 3.337860107421875e-06
de, de, 1.0, 3.719329833984375e-05
de, nl, 1.0, 1.1444091796875e-05
de, he, 1.0, 5.4836273193359375e-06
de, en, 1.0, 1.4066696166992188e-05
de, ru, 1.0, 5.245208740234375e-06
de, hi, 1.0, 5.245208740234375e-06
nl, nl, 1.0, 1.0013580322265625e-05
nl, he, 1.0, 5.245208740234375e-06
nl, en, 1.0, 1.0251998901367188e-05
nl, ru, 1.0, 5.0067901611328125e-06
nl, hi, 1.0, 5.245208740234375e-06
he, he, 1.0, 4.76837158203125e-06
he, en, 1.0, 5.4836273193359375e-06
he, ru, 1.0, 4.76837158203125e-06
he, hi, 1.0, 5.0067901611328125e-06
en, en, 1.0, 0.00019431114196777344
en, ru, 1.0, 7.152557373046875e-06
en, hi, 1.0, 6.4373016357421875e-06
ru, ru, 1.0, 5.4836273193359375e-06
ru, hi, 1.0, 5.245208740234375e-06
hi, hi, 1.0, 5.245208740234375e-06
