Language1, Language2, SimilarityScore, Time
fr, fr, 0.5, 3.790855407714844e-05
fr, es, 0.5, 1.3113021850585938e-05
fr, pl, 0.0, 0.00014495849609375
fr, de, 0.013513513513513514, 3.552436828613281e-05
fr, nl, 0.08333333333333333, 1.3828277587890625e-05
fr, he, 0.5, 1.0967254638671875e-05
fr, en, 0.0020920502092050207, 0.0001647472381591797
fr, ru, 0.25, 1.1682510375976562e-05
fr, hi, 0.5, 1.0013580322265625e-05
fr, union, 0.0011682242990654205, 0.0003330707550048828
es, es, 0.5, 1.239776611328125e-05
es, pl, 0.0, 0.0001049041748046875
es, de, 0.013513513513513514, 3.218650817871094e-05
es, nl, 0.08333333333333333, 1.3113021850585938e-05
es, he, 0.5, 1.0013580322265625e-05
es, en, 0.0020920502092050207, 0.0001475811004638672
es, ru, 0.25, 1.0967254638671875e-05
es, hi, 0.5, 9.059906005859375e-06
es, union, 0.0011682242990654205, 0.0003006458282470703
pl, pl, 1.0, 0.00022721290588378906
pl, de, 0.005025125628140704, 0.0001285076141357422
pl, nl, 0.0, 0.00010752677917480469
pl, he, 0.0, 0.00010061264038085938
pl, en, 0.0, 0.0002498626708984375
pl, ru, 0.0, 0.0001163482666015625
pl, hi, 0.0, 0.00011467933654785156
pl, union, 0.3824552955853706, 0.0004329681396484375
de, de, 1.0, 6.270408630371094e-05
de, nl, 0.15052552552552553, 3.62396240234375e-05
de, he, 0.013513513513513514, 3.0517578125e-05
de, en, 0.039694110920526014, 0.00017404556274414062
de, ru, 0.013157894736842105, 3.24249267578125e-05
de, hi, 0.013513513513513514, 2.9802322387695312e-05
de, union, 0.08537886581015124, 0.0003273487091064453
nl, nl, 1.0, 1.9550323486328125e-05
nl, he, 0.08333333333333333, 1.2159347534179688e-05
nl, en, 0.023056502935902397, 0.00015234947204589844
nl, ru, 0.07142857142857142, 1.3589859008789062e-05
nl, hi, 0.08333333333333333, 1.2159347534179688e-05
nl, union, 0.012864146731160674, 0.00030875205993652344
he, he, 0.5, 1.2636184692382812e-05
he, en, 0.0020920502092050207, 0.00014638900756835938
he, ru, 0.25, 1.0967254638671875e-05
he, hi, 0.5, 9.059906005859375e-06
he, union, 0.0011682242990654205, 0.0002963542938232422
en, en, 1.0, 0.00031685829162597656
en, ru, 0.0020833333333333333, 0.0001475811004638672
en, hi, 0.0020920502092050207, 0.00014257431030273438
en, union, 0.5578941320667994, 0.0004820823669433594
ru, ru, 0.5, 1.2874603271484375e-05
ru, hi, 0.25, 9.298324584960938e-06
ru, union, 0.002336448598130841, 0.00031113624572753906
hi, hi, 0.5, 1.2159347534179688e-05
hi, union, 0.0011682242990654205, 0.00029277801513671875
union, union, 1.0, 0.0006742477416992188
