Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00021409988403320312
id, fr, 0.012916295024206681, 0.002711057662963867
id, mr, 0.004166666666666667, 0.00010561943054199219
id, tr, 0.04196820175438597, 0.0001437664031982422
id, lv, 0.05172413793103448, 0.00010800361633300781
id, el, 0.012396694214876033, 8.106231689453125e-05
id, es, 0.013081495818068709, 0.006317138671875
id, pl, 0.04755951972555746, 0.0004899501800537109
id, vi, 0.029745989304812835, 0.000102996826171875
id, de, 0.014166726377751866, 0.00632929801940918
id, ml, 0.004201680672268907, 0.00011205673217773438
id, sh, 0.05960151150807283, 0.00021123886108398438
id, nl, 0.034731009220697655, 0.007623910903930664
id, si, 0.004273504273504274, 9.655952453613281e-05
id, pt, 0.01727378225223053, 0.0016019344329833984
id, ro, 0.061793682990437554, 0.0001850128173828125
id, ja, 0.015580736543909348, 0.00022125244140625
id, simple, 0.05607420960810178, 0.00023603439331054688
id, it, 0.035703006496170996, 0.0010967254638671875
id, he, 0.02032520325203252, 8.797645568847656e-05
id, da, 0.03977171920279141, 0.0026471614837646484
id, en, 0.009057562290739738, 0.03872227668762207
id, sr, 0.05324681096937642, 0.00013256072998046875
id, sv, 0.019587418300653595, 0.0005984306335449219
id, ckb, 0.00847457627118644, 8.153915405273438e-05
id, ru, 0.02110954499405365, 0.00019598007202148438
id, hi, 0.008333333333333333, 7.939338684082031e-05
id, bs, 0.011509556778507603, 8.726119995117188e-05
id, te, 0.004201680672268907, 7.62939453125e-05
id, zh, 0.0234375, 7.748603820800781e-05
id, mk, 0.012711864406779662, 7.62939453125e-05
id, hu, 0.034868421052631576, 0.00020170211791992188
id, ko, 0.020491803278688523, 0.00011992454528808594
id, union, 0.007223610670833914, 0.08807039260864258
fr, fr, 1.0, 0.005887508392333984
fr, mr, 0.0006045949214026602, 0.034899234771728516
fr, tr, 0.01201156924913894, 0.002516508102416992
fr, lv, 0.007628047274089304, 0.002562999725341797
fr, el, 0.0012091898428053204, 0.014045953750610352
fr, es, 0.09760847603918421, 0.016297101974487305
fr, pl, 0.06622366917041074, 0.003218412399291992
fr, vi, 0.004709457987983756, 0.0027108192443847656
fr, de, 0.08782328541629093, 0.004231691360473633
fr, ml, 0.00040306328093510683, 0.002377748489379883
fr, sh, 0.03136363073235115, 0.014789342880249023
fr, nl, 0.09116901159970009, 0.003981590270996094
fr, si, 0.00020161290322580645, 0.00258636474609375
fr, pt, 0.10323683444420778, 0.01422262191772461
fr, ro, 0.01645812111736218, 0.002502918243408203
fr, ja, 0.02024377573606902, 0.014082908630371094
fr, simple, 0.02726155596338152, 0.015174388885498047
fr, it, 0.09130961919622149, 0.003855466842651367
fr, he, 0.002015316404675534, 0.002148866653442383
fr, da, 0.03510335085798347, 0.0023632049560546875
fr, en, 0.11206004208327272, 0.06312680244445801
fr, sr, 0.0048, 0.002599000930786133
fr, sv, 0.05046363877723074, 0.01144552230834961
fr, ckb, 0.00040306328093510683, 0.002355813980102539
fr, ru, 0.0186124401448771, 0.00244140625
fr, hi, 0.0008061265618702137, 0.017609834671020508
fr, bs, 0.0037452461712406205, 0.0022389888763427734
fr, te, 0.00040306328093510683, 0.011825323104858398
fr, zh, 0.0030217566478646252, 0.0023233890533447266
fr, mk, 0.0008064516129032258, 0.018346309661865234
fr, hu, 0.02855857459262775, 0.002602815628051758
fr, ko, 0.0020161290322580645, 0.0025970935821533203
fr, union, 0.16693195591880194, 0.06098294258117676
mr, mr, 0.5, 3.170967102050781e-05
mr, tr, 0.005747126436781609, 8.106231689453125e-05
mr, lv, 0.0, 3.4332275390625e-05
mr, el, 0.0, 1.1682510375976562e-05
mr, es, 0.00038550501156515033, 0.0024802684783935547
mr, pl, 0.0029940119760479044, 0.00037860870361328125
mr, vi, 0.0, 2.86102294921875e-05
mr, de, 0.0008205689277899343, 0.001440286636352539
mr, ml, 0.375, 1.6927719116210938e-05
mr, sh, 0.0, 0.00012540817260742188
mr, nl, 0.0009433962264150943, 0.000896453857421875
mr, si, 0.0, 1.430511474609375e-05
mr, pt, 0.0003289473684210526, 0.0014102458953857422
mr, ro, 0.0, 9.560585021972656e-05
mr, ja, 0.004016064257028112, 0.0001513957977294922
mr, simple, 0.002066115702479339, 0.00016069412231445312
mr, it, 0.0008928571428571428, 0.0009763240814208984
mr, he, 0.0, 1.6450881958007812e-05
mr, da, 0.0, 0.0002589225769042969
mr, en, 0.00027442371020856203, 0.025696516036987305
mr, sr, 0.0, 5.269050598144531e-05
mr, sv, 0.0007429420505200594, 0.0005512237548828125
mr, ckb, 0.08333333333333333, 1.6689300537109375e-05
mr, ru, 0.004830917874396135, 0.00012063980102539062
mr, hi, 0.4, 1.239776611328125e-05
mr, bs, 0.0, 1.9550323486328125e-05
mr, te, 0.375, 1.049041748046875e-05
mr, zh, 0.05263157894736842, 1.1205673217773438e-05
mr, mk, 0.0, 1.049041748046875e-05
mr, hu, 0.0, 0.00012826919555664062
mr, ko, 0.0, 1.1920928955078125e-05
mr, union, 0.0001505457282649605, 0.05758166313171387
tr, tr, 1.0, 0.00014495849609375
tr, lv, 0.030360460795243405, 7.867813110351562e-05
tr, el, 0.022988505747126436, 5.53131103515625e-05
