Language1, Language2, SimilarityScore, Time
id, id, 1.0, 4.649162292480469e-05
id, fr, 0.008051529790660225, 0.0005242824554443359
id, mr, 0.0, 1.8358230590820312e-05
id, tr, 0.02564102564102564, 3.0040740966796875e-05
id, lv, 0.0, 1.3828277587890625e-05
id, es, 0.014705882352941176, 4.4345855712890625e-05
id, pl, 0.0, 4.6253204345703125e-05
id, de, 0.008241758241758242, 0.00025844573974609375
id, nl, 0.0, 7.62939453125e-05
id, pt, 0.0, 0.0002567768096923828
id, ro, 0.0, 2.47955322265625e-05
id, ja, 0.0, 5.030632019042969e-05
id, it, 0.005747126436781609, 0.00011563301086425781
id, en, 0.0021134202183867557, 0.002492189407348633
id, sr, 0.0, 1.9788742065429688e-05
id, sv, 0.0, 1.621246337890625e-05
id, ru, 0.0, 2.6464462280273438e-05
id, zh, 0.0, 1.5974044799804688e-05
id, hu, 0.0, 2.0265579223632812e-05
id, union, 0.00196174595389897, 0.004139423370361328
fr, fr, 1.0, 0.0010595321655273438
fr, mr, 0.0, 0.0004954338073730469
fr, tr, 0.00463678516228748, 0.0005245208740234375
fr, lv, 0.0, 0.0004680156707763672
fr, es, 0.014947683109118086, 0.0005474090576171875
fr, pl, 0.0029985007496251873, 0.0005431175231933594
fr, de, 0.048283261802575105, 0.000782012939453125
fr, nl, 0.015759312320916905, 0.0005643367767333984
fr, pt, 0.01167728237791932, 0.0007519721984863281
fr, ro, 0.0, 0.003643035888671875
fr, ja, 0.0058997050147492625, 0.0005590915679931641
fr, it, 0.022135416666666668, 0.0006299018859863281
fr, en, 0.07331469400434917, 0.004155158996582031
fr, sr, 0.0016181229773462784, 0.0005321502685546875
fr, sv, 0.0, 0.0005030632019042969
fr, ru, 0.0031496062992125984, 0.0005195140838623047
fr, zh, 0.0, 0.0005104541778564453
fr, hu, 0.003194888178913738, 0.0005002021789550781
fr, union, 0.15154487493869545, 0.021037578582763672
mr, mr, 1.0, 2.09808349609375e-05
