Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.00011515617370605469
fr, tr, 1.0, 5.0067901611328125e-05
fr, es, 1.0, 3.147125244140625e-05
fr, pl, 1.0, 3.123283386230469e-05
fr, vi, 1.0, 1.1205673217773438e-05
fr, de, 1.0, 3.266334533691406e-05
fr, nl, 1.0, 3.0994415283203125e-05
fr, pt, 1.0, 6.651878356933594e-05
fr, ja, 1.0, 3.552436828613281e-05
fr, da, 1.0, 2.4080276489257812e-05
fr, en, 1.0, 4.029273986816406e-05
fr, sv, 1.0, 3.719329833984375e-05
fr, ru, 1.0, 6.723403930664062e-05
fr, bs, 1.0, 2.6464462280273438e-05
fr, zh, 1.0, 4.673004150390625e-05
fr, ko, 1.0, 3.361701965332031e-05
tr, tr, 1.0, 0.00011181831359863281
tr, es, 1.0, 2.4557113647460938e-05
tr, pl, 1.0, 2.8133392333984375e-05
tr, vi, 1.0, 1.1444091796875e-05
tr, de, 1.0, 3.647804260253906e-05
tr, nl, 1.0, 3.0040740966796875e-05
tr, pt, 1.0, 5.817413330078125e-05
tr, ja, 1.0, 2.9087066650390625e-05
tr, da, 1.0, 2.0265579223632812e-05
tr, en, 1.0, 4.172325134277344e-05
tr, sv, 1.0, 3.170967102050781e-05
tr, ru, 1.0, 4.57763671875e-05
tr, bs, 1.0, 2.5510787963867188e-05
tr, zh, 1.0, 4.124641418457031e-05
tr, ko, 1.0, 2.7894973754882812e-05
es, es, 1.0, 7.05718994140625e-05
es, pl, 1.0, 3.147125244140625e-05
es, vi, 1.0, 1.0251998901367188e-05
es, de, 1.0, 2.8133392333984375e-05
es, nl, 1.0, 2.5987625122070312e-05
es, pt, 1.0, 3.170967102050781e-05
es, ja, 1.0, 2.384185791015625e-05
es, da, 1.0, 2.193450927734375e-05
es, en, 1.0, 2.5272369384765625e-05
es, sv, 1.0, 2.5510787963867188e-05
es, ru, 1.0, 4.100799560546875e-05
es, bs, 1.0, 2.288818359375e-05
es, zh, 1.0, 2.6464462280273438e-05
es, ko, 1.0, 2.8133392333984375e-05
pl, pl, 1.0, 6.937980651855469e-05
pl, vi, 1.0, 1.5974044799804688e-05
pl, de, 1.0, 2.5510787963867188e-05
pl, nl, 1.0, 2.7179718017578125e-05
pl, pt, 1.0, 4.1484832763671875e-05
pl, ja, 1.0, 2.5272369384765625e-05
pl, da, 1.0, 2.3603439331054688e-05
pl, en, 1.0, 4.220008850097656e-05
pl, sv, 1.0, 2.6464462280273438e-05
pl, ru, 1.0, 5.602836608886719e-05
pl, bs, 1.0, 2.47955322265625e-05
pl, zh, 1.0, 4.315376281738281e-05
pl, ko, 1.0, 3.075599670410156e-05
vi, vi, 1.0, 2.9802322387695312e-05
vi, de, 1.0, 1.0013580322265625e-05
vi, nl, 1.0, 9.5367431640625e-06
vi, pt, 1.0, 2.86102294921875e-05
vi, ja, 1.0, 9.775161743164062e-06
vi, da, 1.0, 9.298324584960938e-06
vi, en, 1.0, 3.0994415283203125e-05
vi, sv, 1.0, 1.0013580322265625e-05
vi, ru, 1.0, 1.9550323486328125e-05
vi, bs, 1.0, 9.775161743164062e-06
vi, zh, 1.0, 1.8835067749023438e-05
vi, ko, 1.0, 9.298324584960938e-06
de, de, 1.0, 6.67572021484375e-05
de, nl, 1.0, 2.5987625122070312e-05
de, pt, 1.0, 3.981590270996094e-05
de, ja, 1.0, 2.574920654296875e-05
de, da, 1.0, 1.8596649169921875e-05
de, en, 1.0, 3.6716461181640625e-05
de, sv, 1.0, 2.6464462280273438e-05
de, ru, 1.0, 4.172325134277344e-05
de, bs, 1.0, 2.47955322265625e-05
de, zh, 1.0, 3.0517578125e-05
de, ko, 1.0, 2.956390380859375e-05
nl, nl, 1.0, 5.7697296142578125e-05
nl, pt, 1.0, 2.956390380859375e-05
nl, ja, 1.0, 3.0040740966796875e-05
nl, da, 1.0, 1.9788742065429688e-05
nl, en, 1.0, 2.2411346435546875e-05
nl, sv, 1.0, 2.4318695068359375e-05
nl, ru, 1.0, 3.0040740966796875e-05
nl, bs, 1.0, 2.4318695068359375e-05
nl, zh, 1.0, 2.47955322265625e-05
nl, ko, 1.0, 2.7179718017578125e-05
pt, pt, 1.0, 0.00011467933654785156
pt, ja, 1.0, 3.24249267578125e-05
pt, da, 1.0, 2.7418136596679688e-05
pt, en, 1.0, 9.1552734375e-05
pt, sv, 1.0, 3.933906555175781e-05
pt, ru, 1.0, 7.82012939453125e-05
pt, bs, 1.0, 2.574920654296875e-05
pt, zh, 1.0, 5.626678466796875e-05
pt, ko, 1.0, 3.314018249511719e-05
ja, ja, 1.0, 4.7206878662109375e-05
ja, da, 1.0, 1.9788742065429688e-05
ja, en, 1.0, 2.956390380859375e-05
ja, sv, 1.0, 2.8371810913085938e-05
ja, ru, 1.0, 3.0040740966796875e-05
ja, bs, 1.0, 2.4557113647460938e-05
ja, zh, 1.0, 2.9802322387695312e-05
ja, ko, 1.0, 2.5987625122070312e-05
da, da, 1.0, 2.956390380859375e-05
da, en, 1.0, 2.0265579223632812e-05
da, sv, 1.0, 2.384185791015625e-05
da, ru, 1.0, 2.5987625122070312e-05
da, bs, 1.0, 1.9788742065429688e-05
da, zh, 1.0, 1.9788742065429688e-05
da, ko, 1.0, 2.3365020751953125e-05
en, en, 1.0, 0.0003192424774169922
en, sv, 1.0, 2.4557113647460938e-05
en, ru, 1.0, 6.175041198730469e-05
en, bs, 1.0, 2.0265579223632812e-05
en, zh, 1.0, 5.0067901611328125e-05
en, ko, 1.0, 3.4332275390625e-05
sv, sv, 1.0, 4.792213439941406e-05
sv, ru, 1.0, 3.0994415283203125e-05
sv, bs, 1.0, 2.3126602172851562e-05
sv, zh, 1.0, 3.218650817871094e-05
sv, ko, 1.0, 2.5987625122070312e-05
ru, ru, 1.0, 0.00027871131896972656
ru, bs, 1.0, 2.8371810913085938e-05
ru, zh, 1.0, 6.556510925292969e-05
ru, ko, 1.0, 4.029273986816406e-05
bs, bs, 1.0, 4.744529724121094e-05
bs, zh, 1.0, 2.5033950805664062e-05
bs, ko, 1.0, 2.4080276489257812e-05
zh, zh, 1.0, 8.320808410644531e-05
zh, ko, 1.0, 2.6226043701171875e-05
ko, ko, 1.0, 6.67572021484375e-05
