Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.00012445449829101562
fr, tr, 0.2727005583308845, 9.584426879882812e-05
fr, es, 0.1945945945945946, 7.891654968261719e-05
fr, pl, 0.22724358974358977, 7.724761962890625e-05
fr, vi, 0.015151515151515152, 5.626678466796875e-05
fr, de, 0.23566033884466217, 8.273124694824219e-05
fr, nl, 0.2365967365967366, 6.556510925292969e-05
fr, pt, 0.36004440961337514, 9.72747802734375e-05
fr, ja, 0.3042952208106473, 6.246566772460938e-05
fr, da, 0.16515426497277677, 5.3882598876953125e-05
fr, en, 0.05088495575221239, 0.00018525123596191406
fr, sv, 0.2869026013309135, 6.270408630371094e-05
fr, ru, 0.1416212800529594, 0.0001575946807861328
fr, bs, 0.1900273224043716, 5.7220458984375e-05
fr, zh, 0.24596066034422198, 7.200241088867188e-05
fr, ko, 0.2137557077625571, 6.556510925292969e-05
fr, union, 0.11423625926069586, 0.0006232261657714844
tr, tr, 1.0, 8.153915405273438e-05
tr, es, 0.10299735527475756, 6.628036499023438e-05
tr, pl, 0.14779818149402746, 6.4849853515625e-05
tr, vi, 0.05555555555555555, 4.887580871582031e-05
tr, de, 0.2291144125024117, 6.461143493652344e-05
tr, nl, 0.17726358148893362, 6.0558319091796875e-05
tr, pt, 0.2418421052631579, 8.821487426757812e-05
tr, ja, 0.19375, 5.793571472167969e-05
tr, da, 0.1039426523297491, 5.0067901611328125e-05
tr, en, 0.057777777777777775, 0.00016069412231445312
tr, sv, 0.23572184029613963, 5.888938903808594e-05
tr, ru, 0.09183232497839239, 0.00014591217041015625
tr, bs, 0.16530257936507936, 6.413459777832031e-05
tr, zh, 0.22479674796747967, 7.152557373046875e-05
tr, ko, 0.16125541125541126, 6.508827209472656e-05
tr, union, 0.11866781738489585, 0.0005857944488525391
es, es, 1.0, 0.020165443420410156
es, pl, 0.2993103448275862, 0.00010466575622558594
es, vi, 0.019230769230769232, 5.14984130859375e-05
es, de, 0.20825229230341763, 6.794929504394531e-05
es, nl, 0.20714285714285713, 6.175041198730469e-05
es, pt, 0.16681071737251513, 9.5367431640625e-05
es, ja, 0.20784313725490197, 5.91278076171875e-05
es, da, 0.19090909090909092, 4.982948303222656e-05
es, en, 0.0389908256880734, 0.00019311904907226562
es, sv, 0.2120408163265306, 5.793571472167969e-05
es, ru, 0.08925422020660115, 0.00015783309936523438
es, bs, 0.1484313725490196, 5.698204040527344e-05
es, zh, 0.16890738369611608, 7.367134094238281e-05
es, ko, 0.2230874316939891, 6.699562072753906e-05
es, union, 0.0832153523912959, 0.0006759166717529297
pl, pl, 1.0, 6.818771362304688e-05
pl, vi, 0.10817307692307693, 4.601478576660156e-05
pl, de, 0.20642788615286217, 5.888938903808594e-05
pl, nl, 0.26876310272536685, 5.7220458984375e-05
pl, pt, 0.2062937062937063, 8.344650268554688e-05
pl, ja, 0.2609247967479675, 5.364418029785156e-05
pl, da, 0.28371592539454804, 4.8160552978515625e-05
pl, en, 0.06571750835301879, 0.00017404556274414062
pl, sv, 0.2670212765957447, 5.412101745605469e-05
pl, ru, 0.13664066751315074, 0.0001475811004638672
pl, bs, 0.23677032187670485, 5.2928924560546875e-05
pl, zh, 0.29529799341120094, 6.67572021484375e-05
pl, ko, 0.26774847870182555, 6.127357482910156e-05
pl, union, 0.07114735658042745, 0.0006105899810791016
vi, vi, 1.0, 3.3855438232421875e-05
vi, de, 0.02, 4.4345855712890625e-05
vi, nl, 0.047619047619047616, 4.291534423828125e-05
vi, pt, 0.20315126050420168, 6.580352783203125e-05
vi, ja, 0.02631578947368421, 3.719329833984375e-05
vi, da, 0.07142857142857142, 3.170967102050781e-05
vi, en, 0.07810913705583755, 0.0001499652862548828
vi, sv, 0.041666666666666664, 3.743171691894531e-05
vi, ru, 0.036838470485606276, 0.00012969970703125
vi, bs, 0.04411764705882353, 3.647804260253906e-05
vi, zh, 0.1162962962962963, 5.14984130859375e-05
vi, ko, 0.0196078431372549, 4.5299530029296875e-05
vi, union, 0.034468213025096, 0.0005915164947509766
de, de, 1.0, 6.461143493652344e-05
de, nl, 0.24028856825749167, 5.745887756347656e-05
de, pt, 0.21309523809523812, 8.058547973632812e-05
de, ja, 0.24456521739130435, 5.316734313964844e-05
de, da, 0.1475452196382429, 4.57763671875e-05
de, en, 0.052132701421800945, 0.00016117095947265625
de, sv, 0.27766798418972327, 5.459785461425781e-05
de, ru, 0.10170304232804232, 0.00014495849609375
de, bs, 0.23320158102766797, 5.1975250244140625e-05
de, zh, 0.24052254098360656, 6.628036499023438e-05
de, ko, 0.2543103448275862, 6.341934204101562e-05
de, union, 0.07779954229859198, 0.0006103515625
nl, nl, 1.0, 5.7220458984375e-05
nl, pt, 0.16884436701509872, 7.82012939453125e-05
nl, ja, 0.3765182186234818, 4.9114227294921875e-05
nl, da, 0.19985775248933144, 4.2438507080078125e-05
nl, en, 0.03286384976525822, 0.025138378143310547
nl, sv, 0.25290360046457605, 6.175041198730469e-05
nl, ru, 0.07938324804740102, 0.00014328956604003906
nl, bs, 0.2657051282051282, 4.863739013671875e-05
nl, zh, 0.18105999461931666, 6.151199340820312e-05
nl, ko, 0.2335779175401817, 5.602836608886719e-05
nl, union, 0.06548911989449595, 0.0006363391876220703
pt, pt, 1.0, 0.00010275840759277344
pt, ja, 0.22153153153153154, 6.961822509765625e-05
pt, da, 0.17783816425120774, 6.079673767089844e-05
pt, en, 0.11215686274509803, 0.00017404556274414062
pt, sv, 0.25024117306579197, 6.818771362304688e-05
pt, ru, 0.1830827067669173, 0.00015807151794433594
pt, bs, 0.14304993252361672, 6.604194641113281e-05
pt, zh, 0.2582417582417582, 8.20159912109375e-05
pt, ko, 0.20235231221598504, 7.534027099609375e-05
pt, union, 0.14944144912920368, 0.0006000995635986328
ja, ja, 1.0, 4.5299530029296875e-05
ja, da, 0.19981060606060608, 5.888938903808594e-05
ja, en, 0.03125, 0.0001437664031982422
ja, sv, 0.3729946524064171, 4.267692565917969e-05
ja, ru, 0.07871866695396107, 0.0001239776611328125
ja, bs, 0.27521008403361347, 4.792213439941406e-05
ja, zh, 0.27037037037037037, 6.127357482910156e-05
ja, ko, 0.23703231292517007, 5.745887756347656e-05
ja, union, 0.05219444552189597, 0.0006289482116699219
da, da, 1.0, 3.719329833984375e-05
da, en, 0.027227722772277228, 0.00015616416931152344
da, sv, 0.333128078817734, 4.124641418457031e-05
da, ru, 0.06699245805756503, 0.00013709068298339844
da, bs, 0.22011494252873565, 3.933906555175781e-05
da, zh, 0.1162962962962963, 5.030632019042969e-05
da, ko, 0.223421926910299, 4.410743713378906e-05
da, union, 0.034468213025096, 0.0005605220794677734
en, en, 1.0, 0.00027871131896972656
en, sv, 0.0392156862745098, 0.00014972686767578125
en, ru, 0.08671829749070459, 0.0002512931823730469
en, bs, 0.02912621359223301, 0.00015163421630859375
en, zh, 0.09211957079255657, 0.0001685619354248047
en, ko, 0.04929577464788732, 0.0001609325408935547
en, union, 0.4394612311392111, 0.00454258918762207
sv, sv, 1.0, 5.054473876953125e-05
sv, ru, 0.08577998528329653, 0.0001266002655029297
sv, bs, 0.24621848739495797, 4.076957702636719e-05
sv, zh, 0.327909887359199, 5.269050598144531e-05
sv, ko, 0.24202127659574468, 4.839897155761719e-05
sv, union, 0.04997866645979597, 0.0005292892456054688
ru, ru, 1.0, 0.00021457672119140625
ru, bs, 0.07067066700815923, 0.00011181831359863281
ru, zh, 0.13782722513089005, 0.0001289844512939453
ru, ko, 0.09527564123193769, 0.0001227855682373047
ru, union, 0.3444154609984097, 0.0006256103515625
bs, bs, 1.0, 4.029273986816406e-05
bs, zh, 0.18966131907308378, 4.7206878662109375e-05
bs, ko, 0.1999113475177305, 4.2438507080078125e-05
bs, union, 0.045547108335595984, 0.0005075931549072266
zh, zh, 1.0, 6.29425048828125e-05
zh, ko, 0.16233766233766234, 5.555152893066406e-05
zh, union, 0.09379969745161165, 0.0006053447723388672
ko, ko, 1.0, 6.341934204101562e-05
ko, union, 0.08099957332919591, 0.0006041526794433594
union, union, 1.0, 0.0012621879577636719
