Language1, Language2, SimilarityScore, Time
id, id, 1.0, 1.8358230590820312e-05
id, fr, 1.0, 1.1444091796875e-05
id, tr, 1.0, 6.198883056640625e-06
id, lv, 1.0, 5.7220458984375e-06
id, es, 1.0, 1.0013580322265625e-05
id, pl, 1.0, 5.7220458984375e-06
id, vi, 0.0, 4.291534423828125e-06
id, de, 1.0, 8.821487426757812e-06
id, nl, 1.0, 9.5367431640625e-06
id, pt, 1.0, 5.7220458984375e-06
id, ro, 1.0, 5.4836273193359375e-06
id, ja, 1.0, 5.4836273193359375e-06
id, simple, 0.0, 3.5762786865234375e-06
id, it, 1.0, 9.5367431640625e-06
id, he, 0.0, 3.5762786865234375e-06
id, da, 0.0, 3.337860107421875e-06
id, en, 1.0, 6.198883056640625e-06
id, sr, 1.0, 8.344650268554688e-06
id, sv, 1.0, 8.821487426757812e-06
id, ru, 1.0, 5.4836273193359375e-06
id, te, 1.0, 5.0067901611328125e-06
id, zh, 1.0, 5.245208740234375e-06
id, hu, 1.0, 5.0067901611328125e-06
id, ko, 0.0, 3.814697265625e-06
fr, fr, 1.0, 6.0558319091796875e-05
fr, tr, 1.0, 5.9604644775390625e-06
fr, lv, 1.0, 5.7220458984375e-06
fr, es, 1.0, 1.7642974853515625e-05
fr, pl, 1.0, 1.2159347534179688e-05
fr, vi, 1.0, 5.4836273193359375e-06
fr, de, 1.0, 1.0251998901367188e-05
fr, nl, 1.0, 1.71661376953125e-05
fr, pt, 1.0, 1.3113021850585938e-05
fr, ro, 1.0, 1.5735626220703125e-05
fr, ja, 1.0, 5.7220458984375e-06
fr, simple, 1.0, 1.2636184692382812e-05
fr, it, 1.0, 2.3126602172851562e-05
fr, he, 1.0, 6.198883056640625e-06
fr, da, 1.0, 5.7220458984375e-06
fr, en, 1.0, 3.0040740966796875e-05
fr, sr, 1.0, 1.1205673217773438e-05
fr, sv, 1.0, 1.1920928955078125e-05
fr, ru, 1.0, 5.9604644775390625e-06
fr, te, 1.0, 5.245208740234375e-06
fr, zh, 1.0, 5.0067901611328125e-06
fr, hu, 1.0, 5.4836273193359375e-06
fr, ko, 1.0, 5.0067901611328125e-06
tr, tr, 1.0, 5.245208740234375e-06
tr, lv, 1.0, 4.76837158203125e-06
tr, es, 1.0, 5.4836273193359375e-06
tr, pl, 1.0, 5.245208740234375e-06
tr, vi, 1.0, 5.0067901611328125e-06
tr, de, 1.0, 5.245208740234375e-06
tr, nl, 1.0, 5.0067901611328125e-06
tr, pt, 1.0, 5.0067901611328125e-06
tr, ro, 1.0, 5.0067901611328125e-06
tr, ja, 1.0, 5.0067901611328125e-06
tr, simple, 1.0, 5.245208740234375e-06
tr, it, 1.0, 5.245208740234375e-06
tr, he, 1.0, 4.76837158203125e-06
tr, da, 1.0, 4.76837158203125e-06
tr, en, 1.0, 5.4836273193359375e-06
tr, sr, 1.0, 5.0067901611328125e-06
tr, sv, 1.0, 5.0067901611328125e-06
tr, ru, 1.0, 5.0067901611328125e-06
