Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00012683868408203125
id, fr, 0.0, 6.9141387939453125e-06
id, pl, 0.0, 4.76837158203125e-06
id, de, 0.0, 4.76837158203125e-06
id, ml, 0.0, 4.76837158203125e-06
id, nl, 0.0, 4.5299530029296875e-06
id, pt, 0.0, 4.0531158447265625e-06
id, it, 0.0, 4.291534423828125e-06
id, en, 0.0, 4.291534423828125e-06
id, ru, 0.0, 4.291534423828125e-06
id, zh, 0.0, 4.291534423828125e-06
fr, fr, 1.0, 4.2438507080078125e-05
fr, pl, 0.0, 8.821487426757812e-06
fr, de, 1.0, 2.09808349609375e-05
fr, ml, 0.0, 5.245208740234375e-06
fr, nl, 1.0, 1.2874603271484375e-05
fr, pt, 1.0, 1.7881393432617188e-05
fr, it, 1.0, 1.8596649169921875e-05
fr, en, 0.6923076923076923, 2.1696090698242188e-05
fr, ru, 0.0, 8.821487426757812e-06
fr, zh, 0.0, 8.106231689453125e-06
pl, pl, 0.0, 7.62939453125e-06
pl, de, 0.0, 7.62939453125e-06
pl, ml, 0.0, 4.291534423828125e-06
pl, nl, 0.0, 7.3909759521484375e-06
pl, pt, 0.0, 4.5299530029296875e-06
pl, it, 0.0, 4.5299530029296875e-06
pl, en, 0.0, 9.298324584960938e-06
pl, ru, 0.0, 7.867813110351562e-06
pl, zh, 0.0, 7.3909759521484375e-06
de, de, 1.0, 5.8650970458984375e-05
de, ml, 0.0, 5.245208740234375e-06
de, nl, 1.0, 1.52587890625e-05
de, pt, 1.0, 1.33514404296875e-05
de, it, 1.0, 1.6689300537109375e-05
de, en, 0.9047619047619048, 3.838539123535156e-05
de, ru, 0.0, 9.059906005859375e-06
de, zh, 0.0, 7.867813110351562e-06
ml, ml, 0.0, 7.3909759521484375e-06
ml, nl, 0.0, 4.291534423828125e-06
ml, pt, 0.0, 4.0531158447265625e-06
ml, it, 0.0, 4.0531158447265625e-06
ml, en, 0.0, 4.291534423828125e-06
ml, ru, 0.0, 4.291534423828125e-06
ml, zh, 0.0, 4.291534423828125e-06
nl, nl, 1.0, 4.363059997558594e-05
nl, pt, 0.6666666666666666, 1.1444091796875e-05
nl, it, 1.0, 1.1682510375976562e-05
nl, en, 0.8571428571428571, 2.3365020751953125e-05
nl, ru, 0.0, 8.58306884765625e-06
nl, zh, 0.0, 8.106231689453125e-06
pt, pt, 1.0, 2.3603439331054688e-05
pt, it, 1.0, 1.5974044799804688e-05
pt, en, 0.8571428571428571, 1.621246337890625e-05
pt, ru, 0.0, 5.0067901611328125e-06
pt, zh, 0.0, 4.76837158203125e-06
it, it, 1.0, 4.124641418457031e-05
it, en, 0.8888888888888888, 1.8835067749023438e-05
it, ru, 0.0, 5.4836273193359375e-06
it, zh, 0.0, 4.0531158447265625e-06
en, en, 1.0, 0.00025153160095214844
en, ru, 0.0, 1.0013580322265625e-05
en, zh, 0.0, 8.344650268554688e-06
ru, ru, 0.0, 8.106231689453125e-06
ru, zh, 0.0, 7.152557373046875e-06
zh, zh, 0.0, 6.67572021484375e-06
