Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00022172927856445312
id, fr, 0.0, 1.621246337890625e-05
id, mr, 0.0, 1.0967254638671875e-05
id, tr, 1.0, 2.2649765014648438e-05
id, lv, 0.9285714285714286, 3.62396240234375e-05
id, el, 0.0, 1.2636184692382812e-05
id, es, 1.0, 6.222724914550781e-05
id, pl, 1.0, 3.123283386230469e-05
id, vi, 0.875, 3.838539123535156e-05
id, de, 1.0, 3.8623809814453125e-05
id, ml, 0.0, 1.3589859008789062e-05
id, sh, 0.875, 2.7179718017578125e-05
id, nl, 1.0, 8.0108642578125e-05
id, si, 0.0, 1.4543533325195312e-05
id, pt, 0.0, 1.3589859008789062e-05
id, ro, 1.0, 2.4318695068359375e-05
id, ja, 0.0, 1.3589859008789062e-05
id, simple, 1.0, 1.9311904907226562e-05
id, it, 0.9722222222222222, 0.000156402587890625
id, ceb, 1.0, 2.1457672119140625e-05
id, he, 0.0, 1.3589859008789062e-05
id, da, 0.8571428571428571, 3.123283386230469e-05
id, en, 0.96, 0.0001590251922607422
id, sr, 0.0, 1.430511474609375e-05
id, sv, 1.0, 3.218650817871094e-05
id, ru, 0.0, 1.4066696166992188e-05
id, hi, 0.0, 1.1920928955078125e-05
id, bs, 0.8888888888888888, 2.86102294921875e-05
id, zh, 0.0, 1.2636184692382812e-05
id, mk, 0.0, 1.1682510375976562e-05
id, hu, 0.0, 1.0967254638671875e-05
id, ko, 0.0, 1.1682510375976562e-05
id, war, 1.0, 1.3589859008789062e-05
fr, fr, 0.0, 1.0013580322265625e-05
fr, mr, 0.0, 9.059906005859375e-06
fr, tr, 0.0, 1.0251998901367188e-05
fr, lv, 0.0, 1.239776611328125e-05
fr, el, 0.0, 9.059906005859375e-06
fr, es, 0.0, 1.1682510375976562e-05
fr, pl, 0.0, 1.1444091796875e-05
fr, vi, 0.0, 1.1205673217773438e-05
fr, de, 0.0, 1.3589859008789062e-05
fr, ml, 0.0, 9.775161743164062e-06
fr, sh, 0.0, 1.0967254638671875e-05
fr, nl, 0.0, 1.3113021850585938e-05
fr, si, 0.0, 9.298324584960938e-06
fr, pt, 0.0, 9.059906005859375e-06
fr, ro, 0.0, 1.049041748046875e-05
fr, ja, 0.0, 9.298324584960938e-06
fr, simple, 0.0, 9.5367431640625e-06
fr, it, 0.0, 1.3589859008789062e-05
fr, ceb, 0.0, 1.0013580322265625e-05
fr, he, 0.0, 9.298324584960938e-06
fr, da, 0.0, 1.6689300537109375e-05
fr, en, 0.0, 2.9802322387695312e-05
fr, sr, 0.0, 1.2636184692382812e-05
fr, sv, 0.0, 1.0728836059570312e-05
fr, ru, 0.0, 1.0251998901367188e-05
fr, hi, 0.0, 9.5367431640625e-06
fr, bs, 0.0, 1.1920928955078125e-05
fr, zh, 0.0, 9.775161743164062e-06
fr, mk, 0.0, 9.059906005859375e-06
fr, hu, 0.0, 1.0013580322265625e-05
fr, ko, 0.0, 9.059906005859375e-06
fr, war, 0.0, 9.298324584960938e-06
mr, mr, 0.0, 8.821487426757812e-06
mr, tr, 0.0, 9.775161743164062e-06
mr, lv, 0.0, 1.2159347534179688e-05
mr, el, 0.0, 9.298324584960938e-06
mr, es, 0.0, 1.0728836059570312e-05
mr, pl, 0.0, 1.1920928955078125e-05
mr, vi, 0.0, 1.0967254638671875e-05
mr, de, 0.0, 1.52587890625e-05
mr, ml, 0.0, 9.5367431640625e-06
mr, sh, 0.0, 1.1444091796875e-05
mr, nl, 0.0, 1.1444091796875e-05
mr, si, 0.0, 9.059906005859375e-06
mr, pt, 0.0, 8.58306884765625e-06
mr, ro, 0.0, 1.0013580322265625e-05
mr, ja, 0.0, 8.58306884765625e-06
mr, simple, 0.0, 1.0967254638671875e-05
mr, it, 0.0, 1.33514404296875e-05
mr, ceb, 0.0, 9.298324584960938e-06
mr, he, 0.0, 9.298324584960938e-06
mr, da, 0.0, 1.2636184692382812e-05
mr, en, 0.0, 2.6941299438476562e-05
mr, sr, 0.0, 1.4543533325195312e-05
mr, sv, 0.0, 1.3113021850585938e-05
mr, ru, 0.0, 1.1682510375976562e-05
