Language1, Language2, SimilarityScore, Time
id, id, 116.114, 0.3148822784423828
id, fr, 1.0, 0.00034165382385253906
id, mr, 1.0, 0.00020051002502441406
id, tr, 6.004999999999999, 0.003823995590209961
id, lv, 15.012999999999998, 0.0004999637603759766
id, el, 2.0, 0.00021529197692871094
id, es, 25.024, 0.0004665851593017578
id, pl, 14.012999999999998, 0.0005207061767578125
id, vi, 17.014, 0.0003314018249511719
id, de, 15.013, 0.00039958953857421875
id, ml, 1.0, 0.00021195411682128906
id, sh, 9.006999999999998, 0.0004734992980957031
id, nl, 33.031, 0.052764177322387695
id, si, 1.0, 0.0003223419189453125
id, pt, 2.0, 0.006795167922973633
id, ro, 6.004999999999999, 0.0004050731658935547
id, ja, 2.0, 0.00021791458129882812
id, simple, 5.004, 0.00024199485778808594
id, it, 37.035, 0.06301259994506836
id, ceb, 5.004, 0.011893749237060547
id, he, 1.0, 0.0003223419189453125
id, da, 8.006, 0.019562721252441406
id, en, 74.072, 0.20821690559387207
id, sr, 1.0, 0.00032210350036621094
id, sv, 11.009999999999998, 0.00031638145446777344
id, ru, 2.0, 0.00021386146545410156
id, hi, 1.0, 0.00020694732666015625
id, bs, 10.008, 0.00029730796813964844
id, zh, 1.0, 0.00020503997802734375
id, mk, 1.0, 0.00019860267639160156
id, hu, 1.0, 0.00019860267639160156
id, ko, 2.0, 0.0002086162567138672
id, war, 2.001, 0.000209808349609375
id, union, 116.114, 0.31728172302246094
fr, fr, 2.0, 0.00023603439331054688
fr, mr, 1.0, 0.00012373924255371094
fr, tr, 1.0, 0.0001361370086669922
fr, lv, 1.0, 0.0001976490020751953
fr, el, 1.0, 0.00010848045349121094
fr, es, 2.0, 0.0001804828643798828
fr, pl, 1.0, 0.00016450881958007812
fr, vi, 1.0, 0.00015854835510253906
fr, de, 1.0, 0.0002357959747314453
fr, ml, 1.0, 0.00011420249938964844
fr, sh, 1.0, 0.00015926361083984375
fr, nl, 2.0, 0.0002231597900390625
fr, si, 1.0, 0.00011754035949707031
fr, pt, 2.0, 0.0001232624053955078
fr, ro, 1.0, 0.00014328956604003906
fr, ja, 1.0, 0.00011444091796875
fr, simple, 1.0, 0.0001220703125
fr, it, 2.0, 0.00026035308837890625
