Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.9802322387695312e-05
id, fr, 0.8837209302325582, 2.0503997802734375e-05
id, tr, 1.0, 8.344650268554688e-06
id, el, 1.0, 5.0067901611328125e-06
id, es, 0.8571428571428571, 1.71661376953125e-05
id, pl, 0.9333333333333333, 1.5020370483398438e-05
id, de, 0.8888888888888888, 1.2159347534179688e-05
id, sh, 1.0, 5.4836273193359375e-06
id, nl, 0.8571428571428571, 1.4781951904296875e-05
id, pt, 0.8571428571428571, 1.5020370483398438e-05
id, ro, 0.8148148148148148, 1.1920928955078125e-05
id, ja, 1.0, 5.4836273193359375e-06
id, it, 0.823529411764706, 1.6927719116210938e-05
id, ceb, 0.823529411764706, 1.0728836059570312e-05
id, da, 0.8888888888888888, 2.0265579223632812e-05
id, en, 0.875, 2.4557113647460938e-05
id, sr, 1.0, 5.7220458984375e-06
id, sv, 0.7368421052631579, 1.3828277587890625e-05
id, ru, 1.0, 7.3909759521484375e-06
id, zh, 1.0, 7.152557373046875e-06
id, mk, 1.0, 4.5299530029296875e-06
id, hu, 1.0, 7.3909759521484375e-06
id, ko, 1.0, 4.291534423828125e-06
fr, fr, 1.0, 0.005200862884521484
fr, tr, 0.9333333333333333, 1.8835067749023438e-05
fr, el, 1.0, 1.0013580322265625e-05
fr, es, 0.6933496460718344, 0.0017349720001220703
fr, pl, 0.9557415613545598, 0.0037336349487304688
fr, de, 0.7174845164363982, 0.0019185543060302734
fr, sh, 0.8571428571428571, 2.0503997802734375e-05
fr, nl, 0.7032558139534884, 0.0008494853973388672
fr, pt, 0.968264364394165, 0.0034246444702148438
fr, ro, 0.8717948717948718, 3.218650817871094e-05
fr, ja, 0.6666666666666666, 9.584426879882812e-05
fr, it, 0.6954419271066535, 0.0016217231750488281
fr, ceb, 0.6951055231252806, 0.0006172657012939453
fr, da, 0.978359096313912, 0.0034918785095214844
fr, en, 0.960752513785274, 0.003613710403442383
fr, sr, 1.0, 1.4066696166992188e-05
fr, sv, 0.6943800178412133, 0.0016145706176757812
fr, ru, 0.6666666666666666, 0.0008144378662109375
fr, zh, 1.0, 1.5735626220703125e-05
fr, mk, 1.0, 1.3113021850585938e-05
fr, hu, 0.9090909090909091, 2.5987625122070312e-05
fr, ko, 1.0, 1.3113021850585938e-05
tr, tr, 1.0, 1.5497207641601562e-05
tr, el, 1.0, 5.245208740234375e-06
tr, es, 0.8571428571428571, 1.0728836059570312e-05
tr, pl, 1.0, 1.5974044799804688e-05
tr, de, 0.823529411764706, 1.2636184692382812e-05
tr, sh, 1.0, 5.245208740234375e-06
tr, nl, 0.823529411764706, 1.1444091796875e-05
tr, pt, 1.0, 1.7404556274414062e-05
tr, ro, 1.0, 7.3909759521484375e-06
tr, ja, 1.0, 4.76837158203125e-06
tr, it, 0.75, 1.0728836059570312e-05
tr, ceb, 0.8571428571428571, 8.58306884765625e-06
tr, da, 0.9629629629629629, 1.52587890625e-05
tr, en, 0.9333333333333333, 2.2411346435546875e-05
tr, sr, 1.0, 5.4836273193359375e-06
tr, sv, 0.8, 1.1920928955078125e-05
tr, ru, 1.0, 6.9141387939453125e-06
tr, zh, 1.0, 4.291534423828125e-06
tr, mk, 1.0, 4.0531158447265625e-06
tr, hu, 1.0, 6.67572021484375e-06
tr, ko, 1.0, 4.0531158447265625e-06
el, el, 1.0, 6.198883056640625e-06
el, es, 1.0, 7.62939453125e-06
el, pl, 1.0, 1.0013580322265625e-05
el, de, 1.0, 9.059906005859375e-06
el, sh, 1.0, 6.4373016357421875e-06
el, nl, 1.0, 4.76837158203125e-06
el, pt, 1.0, 1.049041748046875e-05
el, ro, 1.0, 4.0531158447265625e-06
el, ja, 1.0, 4.0531158447265625e-06
el, it, 1.0, 1.0013580322265625e-05
el, ceb, 1.0, 4.5299530029296875e-06
el, da, 1.0, 5.4836273193359375e-06
el, en, 1.0, 1.0967254638671875e-05
el, sr, 1.0, 6.4373016357421875e-06
el, sv, 1.0, 6.67572021484375e-06
el, ru, 1.0, 6.67572021484375e-06
el, zh, 1.0, 4.291534423828125e-06
