Language1, Language2, SimilarityScore, Time
id, id, 1.0, 6.127357482910156e-05
id, fr, 1.0, 4.8160552978515625e-05
id, tr, 1.0, 1.4781951904296875e-05
id, el, 0.0, 1.0013580322265625e-05
id, es, 1.0, 4.220008850097656e-05
id, pl, 1.0, 3.933906555175781e-05
id, de, 1.0, 2.8133392333984375e-05
id, sh, 0.0, 8.344650268554688e-06
id, nl, 1.0, 2.86102294921875e-05
id, pt, 1.0, 3.0040740966796875e-05
id, ro, 1.0, 2.2172927856445312e-05
id, ja, 0.0, 8.106231689453125e-06
id, it, 1.0, 3.719329833984375e-05
id, ceb, 1.0, 1.9550323486328125e-05
id, da, 1.0, 2.9087066650390625e-05
id, en, 1.0, 3.981590270996094e-05
id, sr, 0.0, 6.4373016357421875e-06
id, sv, 1.0, 1.9788742065429688e-05
id, ru, 1.0, 9.059906005859375e-06
id, zh, 1.0, 7.867813110351562e-06
id, mk, 0.0, 5.7220458984375e-06
id, hu, 1.0, 1.0013580322265625e-05
id, ko, 0.0, 5.0067901611328125e-06
fr, fr, 1.0, 0.005059719085693359
fr, tr, 1.0, 1.9311904907226562e-05
fr, el, 1.0, 1.2636184692382812e-05
fr, es, 1.0, 0.0016489028930664062
fr, pl, 1.0, 0.003467082977294922
fr, de, 1.0, 0.0018131732940673828
fr, sh, 1.0, 1.7404556274414062e-05
fr, nl, 1.0, 0.0008590221405029297
fr, pt, 1.0, 0.0032012462615966797
fr, ro, 1.0, 2.9802322387695312e-05
fr, ja, 1.0, 9.918212890625e-05
fr, it, 1.0, 0.0015625953674316406
fr, ceb, 1.0, 0.0006067752838134766
fr, da, 1.0, 0.003246307373046875
fr, en, 1.0, 0.0033631324768066406
fr, sr, 1.0, 1.1682510375976562e-05
fr, sv, 1.0, 0.0015690326690673828
fr, ru, 1.0, 0.000789642333984375
fr, zh, 1.0, 8.344650268554688e-06
fr, mk, 1.0, 7.152557373046875e-06
fr, hu, 1.0, 2.193450927734375e-05
fr, ko, 1.0, 7.3909759521484375e-06
tr, tr, 1.0, 1.33514404296875e-05
tr, el, 0.0, 5.245208740234375e-06
tr, es, 1.0, 1.0728836059570312e-05
tr, pl, 1.0, 1.71661376953125e-05
tr, de, 1.0, 1.1444091796875e-05
tr, sh, 0.0, 4.291534423828125e-06
tr, nl, 1.0, 9.5367431640625e-06
tr, pt, 1.0, 1.8835067749023438e-05
tr, ro, 1.0, 6.198883056640625e-06
tr, ja, 0.0, 4.291534423828125e-06
tr, it, 1.0, 1.049041748046875e-05
tr, ceb, 1.0, 7.867813110351562e-06
tr, da, 1.0, 1.6689300537109375e-05
tr, en, 1.0, 2.384185791015625e-05
tr, sr, 0.0, 4.76837158203125e-06
tr, sv, 1.0, 1.0967254638671875e-05
tr, ru, 1.0, 5.7220458984375e-06
tr, zh, 0.0, 3.5762786865234375e-06
tr, mk, 0.0, 3.337860107421875e-06
tr, hu, 1.0, 5.9604644775390625e-06
tr, ko, 0.0, 3.337860107421875e-06
el, el, 1.0, 5.245208740234375e-06
el, es, 1.0, 6.198883056640625e-06
el, pl, 1.0, 1.0967254638671875e-05
el, de, 1.0, 7.152557373046875e-06
el, sh, 1.0, 5.4836273193359375e-06
el, nl, 0.0, 4.291534423828125e-06
el, pt, 0.0, 5.4836273193359375e-06
el, ro, 0.0, 3.337860107421875e-06
el, ja, 0.0, 3.0994415283203125e-06
el, it, 1.0, 6.198883056640625e-06
el, ceb, 0.0, 3.5762786865234375e-06
el, da, 0.0, 5.0067901611328125e-06
el, en, 1.0, 1.2874603271484375e-05
el, sr, 1.0, 5.245208740234375e-06
el, sv, 1.0, 5.245208740234375e-06
el, ru, 1.0, 5.245208740234375e-06
el, zh, 0.0, 4.0531158447265625e-06
el, mk, 1.0, 5.245208740234375e-06
el, hu, 1.0, 5.245208740234375e-06
el, ko, 0.0, 3.337860107421875e-06
es, es, 1.0, 0.0007846355438232422
es, pl, 1.0, 0.0016071796417236328
es, de, 1.0, 0.0003757476806640625
es, sh, 1.0, 6.9141387939453125e-06
es, nl, 1.0, 0.00018930435180664062
es, pt, 1.0, 0.0015153884887695312
es, ro, 1.0, 3.4332275390625e-05
es, ja, 1.0, 1.1920928955078125e-05
es, it, 1.0, 0.0004227161407470703
es, ceb, 1.0, 0.0001201629638671875
es, da, 1.0, 0.0015647411346435547
es, en, 1.0, 0.0018377304077148438
es, sr, 0.0, 6.198883056640625e-06
es, sv, 1.0, 0.0002818107604980469
es, ru, 1.0, 1.71661376953125e-05
es, zh, 1.0, 6.67572021484375e-06
es, mk, 0.0, 4.5299530029296875e-06
es, hu, 1.0, 1.4781951904296875e-05
es, ko, 1.0, 5.9604644775390625e-06
pl, pl, 1.0, 0.004408597946166992
pl, de, 1.0, 0.001917123794555664
pl, sh, 1.0, 7.867813110351562e-06
pl, nl, 1.0, 0.0007936954498291016
pl, pt, 1.0, 0.0033371448516845703
pl, ro, 1.0, 1.7642974853515625e-05
pl, ja, 1.0, 9.72747802734375e-05
pl, it, 1.0, 0.0016260147094726562
pl, ceb, 1.0, 0.0005543231964111328
pl, da, 1.0, 0.0034487247467041016
pl, en, 1.0, 0.0034050941467285156
pl, sr, 0.0, 9.298324584960938e-06
pl, sv, 1.0, 0.0016651153564453125
pl, ru, 1.0, 0.0008273124694824219
pl, zh, 1.0, 1.1920928955078125e-05
pl, mk, 0.0, 7.867813110351562e-06
pl, hu, 1.0, 1.4066696166992188e-05
pl, ko, 1.0, 7.3909759521484375e-06
de, de, 1.0, 0.0024602413177490234
de, sh, 1.0, 1.0251998901367188e-05
de, nl, 1.0, 0.0002543926239013672
de, pt, 1.0, 0.0017066001892089844
de, ro, 1.0, 1.4781951904296875e-05
de, ja, 1.0, 1.52587890625e-05
de, it, 1.0, 0.00039887428283691406
de, ceb, 1.0, 0.00011897087097167969
de, da, 1.0, 0.0020945072174072266
de, en, 1.0, 0.0020515918731689453
de, sr, 0.0, 5.9604644775390625e-06
de, sv, 1.0, 0.00036263465881347656
de, ru, 1.0, 6.723403930664062e-05
de, zh, 1.0, 7.62939453125e-06
de, mk, 0.0, 5.245208740234375e-06
de, hu, 1.0, 1.5974044799804688e-05
de, ko, 1.0, 8.344650268554688e-06
sh, sh, 1.0, 4.124641418457031e-05
sh, nl, 1.0, 6.9141387939453125e-06
sh, pt, 1.0, 1.2159347534179688e-05
sh, ro, 1.0, 5.245208740234375e-06
sh, ja, 0.0, 4.5299530029296875e-06
sh, it, 1.0, 5.9604644775390625e-06
sh, ceb, 1.0, 5.7220458984375e-06
sh, da, 0.0, 7.3909759521484375e-06
sh, en, 1.0, 1.2874603271484375e-05
sh, sr, 1.0, 5.9604644775390625e-06
sh, sv, 1.0, 5.7220458984375e-06
sh, ru, 0.0, 4.0531158447265625e-06
sh, zh, 0.0, 3.337860107421875e-06
sh, mk, 1.0, 5.4836273193359375e-06
sh, hu, 1.0, 1.2159347534179688e-05
sh, ko, 0.0, 3.814697265625e-06
nl, nl, 1.0, 0.00042891502380371094
nl, pt, 1.0, 0.0008053779602050781
nl, ro, 1.0, 2.9087066650390625e-05
nl, ja, 1.0, 8.821487426757812e-06
nl, it, 1.0, 0.00021648406982421875
nl, ceb, 1.0, 7.963180541992188e-05
nl, da, 1.0, 0.0008180141448974609
nl, en, 1.0, 0.0009033679962158203
nl, sr, 0.0, 5.4836273193359375e-06
nl, sv, 1.0, 0.00015997886657714844
nl, ru, 1.0, 1.5974044799804688e-05
nl, zh, 1.0, 6.4373016357421875e-06
nl, mk, 0.0, 4.291534423828125e-06
nl, hu, 1.0, 1.0728836059570312e-05
nl, ko, 1.0, 5.9604644775390625e-06
pt, pt, 1.0, 0.004289865493774414
pt, ro, 1.0, 2.288818359375e-05
pt, ja, 1.0, 9.179115295410156e-05
pt, it, 1.0, 0.0015337467193603516
pt, ceb, 1.0, 0.0005800724029541016
pt, da, 1.0, 0.003248453140258789
pt, en, 1.0, 0.0033693313598632812
pt, sr, 0.0, 7.3909759521484375e-06
pt, sv, 1.0, 0.001527547836303711
pt, ru, 1.0, 0.0007517337799072266
pt, zh, 1.0, 1.1920928955078125e-05
pt, mk, 0.0, 6.67572021484375e-06
pt, hu, 1.0, 1.4543533325195312e-05
pt, ko, 1.0, 8.344650268554688e-06
ro, ro, 1.0, 8.225440979003906e-05
ro, ja, 0.0, 5.0067901611328125e-06
ro, it, 1.0, 2.9087066650390625e-05
ro, ceb, 1.0, 1.0728836059570312e-05
ro, da, 1.0, 2.193450927734375e-05
ro, en, 1.0, 6.151199340820312e-05
ro, sr, 0.0, 4.76837158203125e-06
ro, sv, 1.0, 2.5272369384765625e-05
ro, ru, 1.0, 5.9604644775390625e-06
ro, zh, 1.0, 5.7220458984375e-06
ro, mk, 0.0, 3.814697265625e-06
ro, hu, 1.0, 6.9141387939453125e-06
ro, ko, 0.0, 3.337860107421875e-06
ja, ja, 1.0, 7.152557373046875e-06
ja, it, 1.0, 1.049041748046875e-05
ja, ceb, 1.0, 6.9141387939453125e-06
ja, da, 1.0, 0.000102996826171875
ja, en, 1.0, 0.00010728836059570312
ja, sr, 0.0, 5.0067901611328125e-06
ja, sv, 1.0, 8.821487426757812e-06
ja, ru, 1.0, 6.67572021484375e-06
ja, zh, 1.0, 5.245208740234375e-06
ja, mk, 0.0, 3.814697265625e-06
ja, hu, 0.0, 3.814697265625e-06
ja, ko, 1.0, 5.245208740234375e-06
it, it, 1.0, 0.0008795261383056641
it, ceb, 1.0, 0.00010585784912109375
it, da, 1.0, 0.0015611648559570312
it, en, 1.0, 0.0017151832580566406
it, sr, 0.0, 5.7220458984375e-06
it, sv, 1.0, 0.0002758502960205078
it, ru, 1.0, 1.5974044799804688e-05
it, zh, 1.0, 6.67572021484375e-06
it, mk, 0.0, 5.0067901611328125e-06
it, hu, 1.0, 1.3589859008789062e-05
it, ko, 1.0, 6.198883056640625e-06
ceb, ceb, 1.0, 0.00037360191345214844
ceb, da, 1.0, 0.0005686283111572266
ceb, en, 1.0, 0.0006189346313476562
ceb, sr, 0.0, 5.9604644775390625e-06
ceb, sv, 1.0, 0.00011754035949707031
ceb, ru, 1.0, 1.1920928955078125e-05
ceb, zh, 1.0, 6.198883056640625e-06
ceb, mk, 0.0, 4.5299530029296875e-06
ceb, hu, 1.0, 9.059906005859375e-06
ceb, ko, 1.0, 6.198883056640625e-06
da, da, 1.0, 0.004186153411865234
da, en, 1.0, 0.003456592559814453
da, sr, 0.0, 6.4373016357421875e-06
da, sv, 1.0, 0.0015554428100585938
da, ru, 1.0, 0.0007929801940917969
da, zh, 1.0, 1.0251998901367188e-05
da, mk, 0.0, 5.7220458984375e-06
da, hu, 1.0, 1.430511474609375e-05
da, ko, 1.0, 8.106231689453125e-06
en, en, 1.0, 0.008440256118774414
en, sr, 0.0, 1.0013580322265625e-05
en, sv, 1.0, 0.0017094612121582031
en, ru, 1.0, 0.0007865428924560547
