Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.00017714500427246094
id, fr, 0.08791208791208792, 0.0004391670227050781
id, tr, 0.02197802197802198, 6.985664367675781e-05
id, el, 0.20634920634920634, 0.0001583099365234375
id, es, 0.020942408376963352, 0.0001418590545654297
id, pl, 0.030120481927710843, 0.0001270771026611328
id, vi, 0.03571428571428571, 7.033348083496094e-05
id, de, 0.054365733113673806, 0.00045490264892578125
id, ml, 0.011764705882352941, 6.270408630371094e-05
id, sh, 0.04597701149425287, 6.413459777832031e-05
id, nl, 0.014423076923076924, 0.0002791881561279297
id, si, 0.011904761904761904, 6.222724914550781e-05
id, pt, 0.010430247718383311, 0.0006108283996582031
id, ro, 0.011904761904761904, 6.318092346191406e-05
id, ja, 0.007849293563579277, 0.00043773651123046875
id, simple, 0.03125, 7.05718994140625e-05
id, it, 0.015917602996254682, 0.000762939453125
id, he, 0.015873015873015872, 0.00017070770263671875
id, da, 0.03305785123966942, 8.749961853027344e-05
id, en, 0.020739716557207053, 0.003040313720703125
id, sr, 0.011904761904761904, 7.677078247070312e-05
id, sv, 0.020833333333333332, 6.67572021484375e-05
id, ru, 0.037037037037037035, 9.059906005859375e-05
id, hi, 0.011904761904761904, 5.888938903808594e-05
id, zh, 0.020618556701030927, 0.00012993812561035156
id, hu, 0.011627906976744186, 5.9604644775390625e-05
id, ko, 0.004651162790697674, 0.00013971328735351562
id, union, 0.015581524763494713, 0.023408174514770508
fr, fr, 1.0, 0.0007197856903076172
fr, tr, 0.012048192771084338, 0.0003437995910644531
fr, el, 0.13496932515337423, 0.00044727325439453125
fr, es, 0.01953125, 0.0004169940948486328
fr, pl, 0.03319502074688797, 0.0004017353057861328
fr, vi, 0.0072992700729927005, 0.00033664703369140625
fr, de, 0.055676855895196505, 0.0007441043853759766
fr, ml, 0.004866180048661801, 0.00033783912658691406
fr, sh, 0.002398081534772182, 0.00033926963806152344
fr, nl, 0.10147058823529412, 0.0005724430084228516
fr, si, 0.0024330900243309003, 0.01344919204711914
fr, pt, 0.10865191146881288, 0.0009663105010986328
fr, ro, 0.0024330900243309003, 0.0003294944763183594
fr, ja, 0.16466346153846154, 0.0007319450378417969
fr, simple, 0.009478672985781991, 0.0003364086151123047
fr, it, 0.05847076461769116, 0.0011112689971923828
fr, he, 0.21205821205821207, 0.00045871734619140625
fr, da, 0.015730337078651686, 0.0003638267517089844
fr, en, 0.08250825082508251, 0.022279977798461914
fr, sr, 0.0024330900243309003, 0.00035452842712402344
fr, sv, 0.014319809069212411, 0.00033402442932128906
fr, ru, 0.03777777777777778, 0.00035500526428222656
fr, hi, 0.0024330900243309003, 0.00032401084899902344
fr, zh, 0.1437908496732026, 0.0003986358642578125
fr, hu, 0.002421307506053269, 0.0003235340118408203
fr, ko, 0.21748878923766815, 0.00041294097900390625
fr, union, 0.07623817473567056, 0.023897647857666016
tr, tr, 1.0, 3.266334533691406e-05
tr, el, 0.0, 0.00010824203491210938
tr, es, 0.008403361344537815, 8.7738037109375e-05
tr, pl, 0.0, 7.271766662597656e-05
tr, vi, 0.09090909090909091, 1.33514404296875e-05
tr, de, 0.005338078291814947, 0.00039315223693847656
tr, ml, 0.1, 1.4781951904296875e-05
tr, sh, 0.06666666666666667, 1.6689300537109375e-05
