Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0001671314239501953
id, fr, 1.0, 9.799003601074219e-05
id, mr, 1.0, 1.1444091796875e-05
id, tr, 1.0, 6.699562072753906e-05
id, lv, 1.0, 2.9802322387695312e-05
id, el, 1.0, 1.0967254638671875e-05
id, es, 1.0, 8.630752563476562e-05
id, pl, 1.0, 4.363059997558594e-05
id, vi, 1.0, 2.3365020751953125e-05
id, de, 1.0, 0.00010371208190917969
id, ml, 1.0, 1.2636184692382812e-05
id, sh, 1.0, 3.4809112548828125e-05
id, nl, 1.0, 0.0001461505889892578
id, si, 1.0, 1.2636184692382812e-05
id, pt, 1.0, 6.0558319091796875e-05
id, ro, 1.0, 1.3589859008789062e-05
id, ja, 1.0, 1.1920928955078125e-05
id, simple, 1.0, 7.128715515136719e-05
id, it, 1.0, 0.0001385211944580078
id, he, 1.0, 1.3828277587890625e-05
id, da, 1.0, 4.029273986816406e-05
id, en, 1.0, 0.0001633167266845703
id, sr, 1.0, 2.9325485229492188e-05
id, sv, 1.0, 5.8650970458984375e-05
id, ru, 1.0, 1.239776611328125e-05
id, hi, 1.0, 1.1444091796875e-05
id, bs, 1.0, 6.318092346191406e-05
id, zh, 1.0, 1.2636184692382812e-05
id, mk, 1.0, 9.775161743164062e-06
id, hu, 1.0, 1.1205673217773438e-05
id, ko, 1.0, 1.1920928955078125e-05
fr, fr, 1.0, 0.0009770393371582031
fr, mr, 1.0, 1.3113021850585938e-05
fr, tr, 1.0, 0.00016069412231445312
fr, lv, 1.0, 2.288818359375e-05
fr, el, 1.0, 1.1682510375976562e-05
fr, es, 1.0, 0.0002503395080566406
fr, pl, 1.0, 5.2928924560546875e-05
fr, vi, 1.0, 5.9604644775390625e-05
fr, de, 1.0, 0.00022792816162109375
fr, ml, 1.0, 1.1682510375976562e-05
fr, sh, 1.0, 3.838539123535156e-05
fr, nl, 1.0, 0.0004494190216064453
fr, si, 1.0, 1.0728836059570312e-05
fr, pt, 1.0, 0.000484466552734375
fr, ro, 1.0, 1.3589859008789062e-05
fr, ja, 1.0, 1.6450881958007812e-05
fr, simple, 1.0, 7.05718994140625e-05
fr, it, 1.0, 0.00044465065002441406
fr, he, 1.0, 1.0967254638671875e-05
fr, da, 1.0, 1.811981201171875e-05
fr, en, 1.0, 0.0008344650268554688
fr, sr, 1.0, 2.0265579223632812e-05
fr, sv, 1.0, 3.9577484130859375e-05
fr, ru, 1.0, 1.6450881958007812e-05
fr, hi, 1.0, 8.821487426757812e-06
fr, bs, 1.0, 0.0002415180206298828
fr, zh, 1.0, 2.3603439331054688e-05
fr, mk, 1.0, 8.58306884765625e-06
fr, hu, 1.0, 8.106231689453125e-06
