Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0001819133758544922
id, fr, 0.08644400785854617, 0.0006470680236816406
id, mr, 0.014084507042253521, 6.937980651855469e-05
id, tr, 0.11764705882352941, 0.0002071857452392578
id, lv, 0.15, 8.344650268554688e-05
id, el, 0.027777777777777776, 6.651878356933594e-05
id, es, 0.10909090909090909, 0.00034236907958984375
id, pl, 0.19230769230769232, 0.00010323524475097656
id, vi, 0.08661417322834646, 0.00010919570922851562
id, de, 0.08333333333333333, 0.0004658699035644531
id, ml, 0.028169014084507043, 6.794929504394531e-05
id, sh, 0.17721518987341772, 8.153915405273438e-05
id, nl, 0.14367816091954022, 0.0006587505340576172
id, si, 0.028169014084507043, 6.818771362304688e-05
id, pt, 0.09711286089238845, 0.0007410049438476562
id, ro, 0.05555555555555555, 7.104873657226562e-05
id, ja, 0.05333333333333334, 6.580352783203125e-05
id, simple, 0.22058823529411764, 0.00014901161193847656
id, it, 0.08566978193146417, 0.0007467269897460938
id, he, 0.041666666666666664, 8.20159912109375e-05
id, da, 0.19540229885057472, 8.940696716308594e-05
id, en, 0.04979253112033195, 0.0024051666259765625
id, sr, 0.16883116883116883, 8.630752563476562e-05
id, sv, 0.26, 0.0001049041748046875
id, ru, 0.05128205128205128, 6.699562072753906e-05
id, hi, 0.041666666666666664, 6.4849853515625e-05
id, bs, 0.11290322580645161, 0.00040030479431152344
id, zh, 0.05128205128205128, 6.699562072753906e-05
id, mk, 0.014084507042253521, 6.437301635742188e-05
id, hu, 0.028169014084507043, 6.389617919921875e-05
id, ko, 0.05263157894736842, 6.389617919921875e-05
id, union, 0.037153322867608585, 0.015601873397827148
fr, fr, 1.0, 0.02524280548095703
fr, mr, 0.002074688796680498, 0.0004892349243164062
fr, tr, 0.2140221402214022, 0.0006115436553955078
fr, lv, 0.026530612244897958, 0.0004851818084716797
fr, el, 0.006224066390041493, 0.00046634674072265625
fr, es, 0.24519230769230768, 0.0007152557373046875
fr, pl, 0.07, 0.0005497932434082031
fr, vi, 0.07436399217221135, 0.0005030632019042969
fr, de, 0.14556962025316456, 0.0008394718170166016
fr, ml, 0.004149377593360996, 0.00048089027404785156
fr, sh, 0.043478260869565216, 0.0004703998565673828
fr, nl, 0.23323170731707318, 0.0010619163513183594
fr, si, 0.004149377593360996, 0.0005366802215576172
fr, pt, 0.26952526799387444, 0.0011477470397949219
fr, ro, 0.01037344398340249, 0.0004990100860595703
fr, ja, 0.016597510373443983, 0.0005006790161132812
fr, simple, 0.08867924528301886, 0.0005791187286376953
fr, it, 0.2735632183908046, 0.0012052059173583984
fr, he, 0.008298755186721992, 0.0004982948303222656
fr, da, 0.02385685884691849, 0.0005161762237548828
fr, en, 0.2341678939617084, 0.019089937210083008
fr, sr, 0.03512396694214876, 0.00047206878662109375
fr, sv, 0.0550098231827112, 0.00046634674072265625
fr, ru, 0.020703933747412008, 0.0004405975341796875
fr, hi, 0.008298755186721992, 0.0004267692565917969
fr, bs, 0.1423290203327172, 0.0007297992706298828
fr, zh, 0.020703933747412008, 0.0004291534423828125
fr, mk, 0.002074688796680498, 0.00045609474182128906
fr, hu, 0.004149377593360996, 0.0004303455352783203
fr, ko, 0.01867219917012448, 0.0004286766052246094
fr, union, 0.2522239665096808, 0.0072705745697021484
mr, mr, 1.0, 2.1219253540039062e-05
mr, tr, 0.005681818181818182, 0.00015544891357421875
mr, lv, 0.047619047619047616, 2.6464462280273438e-05
mr, el, 0.3333333333333333, 1.0967254638671875e-05
mr, es, 0.003389830508474576, 0.0002551078796386719
mr, pl, 0.018867924528301886, 4.482269287109375e-05
mr, vi, 0.014925373134328358, 5.3882598876953125e-05
mr, de, 0.002364066193853428, 0.0003979206085205078
mr, ml, 0.5, 1.239776611328125e-05
mr, sh, 0.045454545454545456, 2.9087066650390625e-05
mr, nl, 0.0030581039755351682, 0.0005893707275390625
mr, si, 0.5, 1.2159347534179688e-05
mr, pt, 0.002881844380403458, 0.0006449222564697266
mr, ro, 0.2, 1.3589859008789062e-05
mr, ja, 0.125, 1.0967254638671875e-05
mr, simple, 0.010526315789473684, 9.417533874511719e-05
mr, it, 0.001597444089456869, 0.0006654262542724609
mr, he, 0.25, 1.3113021850585938e-05
mr, da, 0.030303030303030304, 6.508827209472656e-05
mr, en, 0.0008375209380234506, 0.0024831295013427734
mr, sr, 0.05263157894736842, 3.1948089599609375e-05
mr, sv, 0.01818181818181818, 4.744529724121094e-05
mr, ru, 0.09090909090909091, 1.1920928955078125e-05
mr, hi, 0.25, 1.0251998901367188e-05
mr, bs, 0.007352941176470588, 0.00034499168395996094
mr, zh, 0.09090909090909091, 1.239776611328125e-05
mr, mk, 1.0, 9.775161743164062e-06
mr, hu, 0.5, 1.0013580322265625e-05
mr, ko, 0.1111111111111111, 1.0728836059570312e-05
mr, union, 0.0005232862375719519, 0.006775379180908203
tr, tr, 1.0, 0.00025963783264160156
