Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 4.00543212890625e-05
fr, tr, 0.5056179775280899, 5.364418029785156e-05
fr, pl, 0.5263157894736842, 1.7881393432617188e-05
fr, de, 0.52, 1.811981201171875e-05
fr, nl, 0.5063291139240506, 5.340576171875e-05
fr, pt, 0.5238095238095238, 1.6927719116210938e-05
fr, ja, 1.0, 1.1682510375976562e-05
fr, en, 0.5020408163265306, 8.916854858398438e-05
fr, ru, 1.0, 1.0967254638671875e-05
fr, union, 0.5016181229773462, 0.0001583099365234375
tr, tr, 1.0, 6.771087646484375e-05
tr, pl, 0.535990481856038, 4.291534423828125e-05
tr, de, 0.5237270523034292, 4.363059997558594e-05
tr, nl, 0.6590723562152134, 8.225440979003906e-05
tr, pt, 0.5578069129916567, 4.410743713378906e-05
tr, ja, 0.5056179775280899, 3.600120544433594e-05
tr, en, 0.591388973367511, 0.00012183189392089844
tr, ru, 0.5056179775280899, 3.7670135498046875e-05
tr, union, 0.6305911792305287, 0.00020503997802734375
pl, pl, 1.0, 2.3603439331054688e-05
pl, de, 0.6445880452342488, 2.5987625122070312e-05
pl, nl, 0.5433962264150943, 6.747245788574219e-05
pl, pt, 0.5798922800718133, 2.384185791015625e-05
pl, ja, 0.5263157894736842, 1.4066696166992188e-05
pl, en, 0.5305975069860907, 0.00010180473327636719
pl, ru, 0.5263157894736842, 1.6450881958007812e-05
pl, union, 0.5256359944718388, 0.000164031982421875
de, de, 1.0, 2.6226043701171875e-05
de, nl, 0.531471446436015, 5.340576171875e-05
de, pt, 0.5378973105134475, 2.2411346435546875e-05
de, ja, 0.52, 1.621246337890625e-05
de, en, 0.5298663950632077, 8.7738037109375e-05
de, ru, 0.52, 1.6927719116210938e-05
de, union, 0.534639514208072, 0.00015807151794433594
nl, nl, 1.0, 8.797645568847656e-05
nl, pt, 0.5633958103638368, 5.173683166503906e-05
nl, ja, 0.5063291139240506, 4.363059997558594e-05
nl, en, 0.5873479126816668, 0.0001227855682373047
nl, ru, 0.5063291139240506, 4.5299530029296875e-05
nl, union, 0.6507438448729064, 0.00019860267639160156
pt, pt, 1.0, 2.4318695068359375e-05
pt, ja, 0.5238095238095238, 1.4781951904296875e-05
pt, en, 0.5218978102189781, 8.96453857421875e-05
pt, ru, 0.5238095238095238, 1.6689300537109375e-05
pt, union, 0.5286373507057546, 0.0001614093780517578
ja, ja, 1.0, 1.430511474609375e-05
ja, en, 0.5020408163265306, 7.700920104980469e-05
ja, ru, 1.0, 1.1205673217773438e-05
ja, union, 0.5016181229773462, 0.0001404285430908203
en, en, 1.0, 0.00016546249389648438
en, ru, 0.5020408163265306, 7.700920104980469e-05
en, union, 0.8640736440537402, 0.00023818016052246094
ru, ru, 1.0, 1.2874603271484375e-05
ru, union, 0.5016181229773462, 0.00014472007751464844
union, union, 1.0, 0.0003094673156738281
