Language1, Language2, SimilarityScore, Time
fr, fr, 0.0, 2.5033950805664062e-05
fr, tr, 0.0, 1.7881393432617188e-05
fr, pl, 0.0, 1.4543533325195312e-05
fr, de, 0.0, 3.552436828613281e-05
fr, nl, 0.0, 1.430511474609375e-05
fr, pt, 0.0, 1.3828277587890625e-05
fr, ja, 0.0, 1.3589859008789062e-05
fr, en, 0.0, 1.430511474609375e-05
fr, ru, 0.0, 1.3589859008789062e-05
tr, tr, 1.0, 0.0001270771026611328
tr, pl, 1.0, 2.2649765014648438e-05
tr, de, 1.0, 1.9550323486328125e-05
tr, nl, 1.0, 7.557868957519531e-05
tr, pt, 1.0, 2.8371810913085938e-05
tr, ja, 0.0, 1.7404556274414062e-05
tr, en, 1.0, 8.034706115722656e-05
tr, ru, 0.0, 1.6927719116210938e-05
pl, pl, 1.0, 3.3855438232421875e-05
pl, de, 1.0, 2.4557113647460938e-05
pl, nl, 1.0, 2.3365020751953125e-05
pl, pt, 1.0, 1.8835067749023438e-05
pl, ja, 0.0, 1.52587890625e-05
pl, en, 1.0, 3.170967102050781e-05
pl, ru, 0.0, 1.4781951904296875e-05
de, de, 1.0, 3.933906555175781e-05
de, nl, 1.0, 2.0742416381835938e-05
de, pt, 1.0, 1.6927719116210938e-05
de, ja, 0.0, 1.5020370483398438e-05
de, en, 1.0, 3.170967102050781e-05
de, ru, 0.0, 1.5020370483398438e-05
nl, nl, 1.0, 0.00016546249389648438
nl, pt, 1.0, 3.0994415283203125e-05
nl, ja, 0.0, 1.52587890625e-05
nl, en, 0.9230769230769231, 7.510185241699219e-05
nl, ru, 0.0, 1.5020370483398438e-05
pt, pt, 1.0, 3.2901763916015625e-05
pt, ja, 0.0, 1.4066696166992188e-05
pt, en, 1.0, 2.574920654296875e-05
pt, ru, 0.0, 1.3828277587890625e-05
ja, ja, 0.0, 1.2874603271484375e-05
ja, en, 0.0, 1.33514404296875e-05
ja, ru, 0.0, 1.239776611328125e-05
en, en, 1.0, 0.0002865791320800781
en, ru, 0.0, 1.6927719116210938e-05
ru, ru, 0.0, 1.3828277587890625e-05
