Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.8371810913085938e-05
id, fr, 1.0, 1.4066696166992188e-05
id, es, 0.6666666666666666, 9.5367431640625e-06
id, pl, 1.0, 7.62939453125e-06
id, de, 1.0, 7.152557373046875e-06
id, sh, 1.0, 5.245208740234375e-06
id, nl, 1.0, 8.821487426757812e-06
id, si, 1.0, 7.152557373046875e-06
id, pt, 0.6666666666666666, 8.821487426757812e-06
id, ro, 1.0, 9.5367431640625e-06
id, simple, 0.9565217391304348, 1.239776611328125e-05
id, he, 1.0, 6.9141387939453125e-06
id, da, 1.0, 1.2874603271484375e-05
id, en, 1.0, 1.9311904907226562e-05
id, sv, 1.0, 1.1682510375976562e-05
id, ckb, 1.0, 7.152557373046875e-06
id, ru, 1.0, 6.67572021484375e-06
id, te, 1.0, 6.4373016357421875e-06
id, zh, 1.0, 6.4373016357421875e-06
id, ko, 1.0, 6.4373016357421875e-06
fr, fr, 1.0, 0.0003662109375
fr, es, 0.6666666666666666, 2.0503997802734375e-05
fr, pl, 1.0, 1.5020370483398438e-05
fr, de, 1.0, 1.4543533325195312e-05
fr, sh, 1.0, 7.867813110351562e-06
fr, nl, 1.0, 1.811981201171875e-05
fr, si, 1.0, 1.2159347534179688e-05
fr, pt, 0.7586206896551725, 2.4080276489257812e-05
fr, ro, 1.0, 1.9311904907226562e-05
fr, simple, 0.9629629629629629, 2.3365020751953125e-05
fr, he, 1.0, 1.2874603271484375e-05
fr, da, 1.0, 2.765655517578125e-05
fr, en, 0.9879518072289156, 5.936622619628906e-05
fr, sv, 1.0, 2.5510787963867188e-05
fr, ckb, 1.0, 1.3589859008789062e-05
fr, ru, 1.0, 1.3113021850585938e-05
fr, te, 1.0, 1.2874603271484375e-05
fr, zh, 1.0, 1.239776611328125e-05
fr, ko, 1.0, 1.2159347534179688e-05
es, es, 1.0, 8.392333984375e-05
es, pl, 1.0, 1.3113021850585938e-05
es, de, 1.0, 1.3828277587890625e-05
es, sh, 1.0, 1.239776611328125e-05
es, nl, 0.6666666666666666, 1.4066696166992188e-05
es, si, 1.0, 1.239776611328125e-05
es, pt, 0.9803921568627451, 3.218650817871094e-05
es, ro, 0.6666666666666666, 1.2636184692382812e-05
es, simple, 0.6666666666666666, 1.3828277587890625e-05
es, he, 1.0, 1.239776611328125e-05
es, da, 0.6666666666666666, 1.430511474609375e-05
es, en, 0.9142857142857143, 7.390975952148438e-05
es, sv, 0.6666666666666666, 1.4781951904296875e-05
es, ckb, 1.0, 1.2636184692382812e-05
es, ru, 1.0, 1.2874603271484375e-05
es, te, 1.0, 1.2874603271484375e-05
es, zh, 1.0, 1.239776611328125e-05
es, ko, 1.0, 1.239776611328125e-05
pl, pl, 1.0, 1.2636184692382812e-05
pl, de, 1.0, 8.106231689453125e-06
pl, sh, 1.0, 7.3909759521484375e-06
pl, nl, 1.0, 1.239776611328125e-05
pl, si, 1.0, 1.1682510375976562e-05
pl, pt, 1.0, 1.3113021850585938e-05
pl, ro, 1.0, 1.2636184692382812e-05
pl, simple, 1.0, 1.2636184692382812e-05
pl, he, 1.0, 1.1682510375976562e-05
pl, da, 1.0, 1.2636184692382812e-05
pl, en, 1.0, 1.3113021850585938e-05
pl, sv, 1.0, 1.3113021850585938e-05
pl, ckb, 1.0, 1.1920928955078125e-05
pl, ru, 1.0, 1.1444091796875e-05
pl, te, 1.0, 1.1682510375976562e-05
pl, zh, 1.0, 1.0967254638671875e-05
pl, ko, 1.0, 1.1444091796875e-05
de, de, 1.0, 7.605552673339844e-05
de, sh, 1.0, 8.106231689453125e-06
de, nl, 1.0, 1.2874603271484375e-05
de, si, 1.0, 7.867813110351562e-06
de, pt, 1.0, 1.3589859008789062e-05
de, ro, 1.0, 1.33514404296875e-05
de, simple, 1.0, 1.4543533325195312e-05
de, he, 1.0, 7.62939453125e-06
de, da, 1.0, 1.3113021850585938e-05
de, en, 1.0, 1.4543533325195312e-05
de, sv, 1.0, 1.3589859008789062e-05
de, ckb, 1.0, 7.62939453125e-06
de, ru, 1.0, 7.867813110351562e-06
de, te, 1.0, 7.62939453125e-06
de, zh, 1.0, 7.3909759521484375e-06
de, ko, 1.0, 7.3909759521484375e-06
sh, sh, 1.0, 1.2159347534179688e-05
sh, nl, 1.0, 6.9141387939453125e-06
sh, si, 1.0, 7.152557373046875e-06
sh, pt, 1.0, 1.33514404296875e-05
sh, ro, 1.0, 7.62939453125e-06
sh, simple, 1.0, 7.3909759521484375e-06
sh, he, 1.0, 7.62939453125e-06
sh, da, 1.0, 7.62939453125e-06
sh, en, 1.0, 1.4066696166992188e-05
sh, sv, 1.0, 7.152557373046875e-06
sh, ckb, 1.0, 7.152557373046875e-06
sh, ru, 1.0, 1.1920928955078125e-05
sh, te, 1.0, 6.9141387939453125e-06
sh, zh, 1.0, 6.4373016357421875e-06
sh, ko, 1.0, 6.9141387939453125e-06
nl, nl, 1.0, 2.0503997802734375e-05
nl, si, 1.0, 1.239776611328125e-05
nl, pt, 0.6666666666666666, 1.52587890625e-05
nl, ro, 1.0, 1.3828277587890625e-05
