Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.012726545333862305
id, fr, 0.8161030595813206, 0.0013608932495117188
id, mr, 0.6666666666666666, 2.47955322265625e-05
id, tr, 0.7831207065750736, 0.0003521442413330078
id, lv, 0.9019607843137255, 5.8650970458984375e-05
id, el, 0.8823529411764706, 8.893013000488281e-05
id, es, 0.7959827833572453, 0.0012366771697998047
id, pl, 0.825118163403106, 0.0006208419799804688
id, vi, 0.8210526315789473, 0.0001678466796875
id, de, 0.7789878283151825, 0.001004934310913086
id, ml, 0.6666666666666666, 3.24249267578125e-05
id, sh, 0.8548644338118023, 0.00044035911560058594
id, nl, 0.8187474077146412, 0.0009083747863769531
id, si, 1.0, 2.9087066650390625e-05
id, pt, 0.7912310286677909, 0.0009963512420654297
id, ro, 0.8198019801980198, 0.00036978721618652344
id, ja, 0.6666666666666666, 0.00012254714965820312
id, simple, 0.8600337268128161, 0.0002484321594238281
id, it, 0.809692671394799, 0.0011143684387207031
id, ceb, 0.6666666666666666, 2.6226043701171875e-05
id, he, 0.7659574468085106, 6.842613220214844e-05
id, da, 0.7903430749682339, 0.0002837181091308594
id, en, 0.8157430285915991, 0.004852771759033203
id, sr, 0.746987951807229, 0.00015735626220703125
id, sv, 0.8212106992022524, 0.0007808208465576172
id, ckb, 1.0, 2.4557113647460938e-05
id, ru, 0.8728813559322034, 0.0001957416534423828
id, hi, 0.6666666666666666, 2.8133392333984375e-05
id, arz, 1.0, 2.193450927734375e-05
id, bs, 0.806697108066971, 0.0002346038818359375
id, te, 1.0, 2.4318695068359375e-05
id, zh, 0.6666666666666666, 7.128715515136719e-05
id, mk, 0.6666666666666666, 2.5987625122070312e-05
id, hu, 0.8076433121019108, 0.0002911090850830078
id, ko, 0.6666666666666666, 7.557868957519531e-05
id, war, 0.9090909090909091, 4.076957702636719e-05
fr, fr, 1.0, 0.014063119888305664
fr, mr, 1.0, 2.8848648071289062e-05
fr, tr, 0.7735191637630663, 0.0003592967987060547
fr, lv, 0.819672131147541, 5.626678466796875e-05
fr, el, 0.8538011695906432, 6.079673767089844e-05
fr, es, 0.7834046951129485, 0.001318216323852539
fr, pl, 0.8024089475193577, 0.0007138252258300781
fr, vi, 0.7916666666666667, 0.00013136863708496094
fr, de, 0.8032345013477089, 0.002162933349609375
fr, ml, 0.6666666666666666, 2.9802322387695312e-05
fr, sh, 0.795959595959596, 0.0005278587341308594
fr, nl, 0.7965454910624623, 0.0016331672668457031
fr, si, 1.0, 2.6226043701171875e-05
fr, pt, 0.7671457905544148, 0.0009379386901855469
fr, ro, 0.8400214018191546, 0.0004258155822753906
fr, ja, 0.6721991701244814, 0.00017714500427246094
fr, simple, 0.814968814968815, 0.0003314018249511719
fr, it, 0.8045678691928367, 0.0018401145935058594
fr, ceb, 1.0, 1.7642974853515625e-05
fr, he, 0.7555555555555555, 6.365776062011719e-05
fr, da, 0.7476793248945148, 0.0003631114959716797
fr, en, 0.7873766523924781, 0.009464263916015625
fr, sr, 0.802660753880266, 0.00019431114196777344
fr, sv, 0.7728337236533958, 0.0006635189056396484
fr, ckb, 1.0, 1.8835067749023438e-05
fr, ru, 0.8507670850767085, 0.0001697540283203125
fr, hi, 0.6666666666666666, 2.4080276489257812e-05
fr, arz, 1.0, 2.7179718017578125e-05
fr, bs, 0.7972027972027971, 0.00035643577575683594
fr, te, 1.0, 2.5510787963867188e-05
fr, zh, 0.6762589928057554, 6.0558319091796875e-05
fr, mk, 0.6666666666666666, 1.9550323486328125e-05
fr, hu, 0.829827915869981, 0.00022077560424804688
fr, ko, 0.7222222222222222, 5.602836608886719e-05
fr, war, 0.6666666666666666, 2.1457672119140625e-05
mr, mr, 1.0, 8.821487426757812e-06
mr, tr, 1.0, 1.0013580322265625e-05
mr, lv, 1.0, 6.9141387939453125e-06
mr, el, 1.0, 6.9141387939453125e-06
mr, es, 0.6666666666666666, 1.9550323486328125e-05
mr, pl, 1.0, 1.811981201171875e-05
mr, vi, 1.0, 7.152557373046875e-06
mr, de, 1.0, 3.0040740966796875e-05
mr, ml, 1.0, 1.2636184692382812e-05
mr, sh, 1.0, 2.0265579223632812e-05
mr, nl, 1.0, 3.0279159545898438e-05
mr, si, 1.0, 1.3113021850585938e-05
mr, pt, 1.0, 3.0040740966796875e-05
mr, ro, 1.0, 2.7894973754882812e-05
mr, ja, 1.0, 2.4557113647460938e-05
mr, simple, 0.6666666666666666, 2.002716064453125e-05
mr, it, 1.0, 2.8848648071289062e-05
mr, ceb, 1.0, 9.059906005859375e-06
mr, he, 1.0, 1.3828277587890625e-05
mr, da, 1.0, 2.86102294921875e-05
mr, en, 0.6666666666666666, 2.5987625122070312e-05
mr, sr, 1.0, 9.059906005859375e-06
mr, sv, 1.0, 1.6689300537109375e-05
mr, ckb, 1.0, 6.9141387939453125e-06
mr, ru, 1.0, 7.62939453125e-06
mr, hi, 1.0, 6.67572021484375e-06
mr, arz, 1.0, 4.76837158203125e-06
mr, bs, 1.0, 7.3909759521484375e-06
mr, te, 1.0, 4.5299530029296875e-06
mr, zh, 1.0, 6.9141387939453125e-06
mr, mk, 1.0, 6.198883056640625e-06
