Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0003952980041503906
id, fr, 0.4519230769230769, 0.00014901161193847656
id, mr, 0.0, 1.1920928955078125e-05
id, tr, 0.16666666666666666, 2.288818359375e-05
id, lv, 0.0, 1.1205673217773438e-05
id, el, 0.0, 1.049041748046875e-05
id, es, 0.3, 7.581710815429688e-05
id, pl, 0.6041666666666666, 0.00010514259338378906
id, vi, 0.0, 1.8358230590820312e-05
id, de, 0.0, 1.9311904907226562e-05
id, sh, 0.5, 3.790855407714844e-05
id, nl, 0.42105263157894735, 5.888938903808594e-05
id, si, 0.0, 1.1920928955078125e-05
id, pt, 0.8055555555555556, 7.295608520507812e-05
id, ro, 0.3188405797101449, 9.560585021972656e-05
id, ja, 0.0, 2.193450927734375e-05
id, simple, 0.45454545454545453, 2.956390380859375e-05
id, it, 0.6976744186046512, 0.00010633468627929688
id, he, 0.0, 1.621246337890625e-05
id, da, 0.16666666666666666, 2.2411346435546875e-05
id, en, 0.9047619047619048, 0.00036907196044921875
id, sr, 0.21951219512195122, 5.626678466796875e-05
id, sv, 0.45161290322580644, 5.3882598876953125e-05
id, ckb, 0.0, 7.152557373046875e-06
id, ru, 0.0, 1.9073486328125e-05
id, hi, 0.0, 1.1205673217773438e-05
id, bs, 0.9787234042553191, 0.00013017654418945312
id, zh, 0.0, 2.288818359375e-05
id, mk, 0.0, 1.2874603271484375e-05
id, hu, 0.0, 1.5497207641601562e-05
id, ko, 0.0, 1.6689300537109375e-05
fr, fr, 1.0, 0.0007090568542480469
fr, mr, 0.0, 1.6927719116210938e-05
fr, tr, 0.045454545454545456, 3.600120544433594e-05
fr, lv, 0.0, 1.33514404296875e-05
fr, el, 0.0, 1.9550323486328125e-05
fr, es, 0.3333333333333333, 0.00010228157043457031
fr, pl, 0.44, 0.00016808509826660156
fr, vi, 0.0, 3.0517578125e-05
fr, de, 0.0, 5.555152893066406e-05
fr, sh, 0.26666666666666666, 5.507469177246094e-05
fr, nl, 0.42424242424242425, 0.00011014938354492188
fr, si, 0.0, 1.621246337890625e-05
fr, pt, 0.41935483870967744, 6.67572021484375e-05
fr, ro, 0.2727272727272727, 0.0001723766326904297
fr, ja, 0.0, 3.123283386230469e-05
fr, simple, 0.5, 3.910064697265625e-05
fr, it, 0.47115384615384615, 0.00016069412231445312
fr, he, 0.0, 3.361701965332031e-05
fr, da, 0.3103448275862069, 5.435943603515625e-05
fr, en, 0.45104895104895104, 0.00033354759216308594
fr, sr, 0.25925925925925924, 0.00010228157043457031
fr, sv, 0.5106382978723404, 8.606910705566406e-05
fr, ckb, 0.0, 1.4543533325195312e-05
fr, ru, 0.0, 3.0994415283203125e-05
fr, hi, 0.0, 1.6689300537109375e-05
fr, bs, 0.5151515151515151, 0.00010180473327636719
fr, zh, 0.0, 2.47955322265625e-05
fr, mk, 0.0, 1.5020370483398438e-05
fr, hu, 0.0, 2.6702880859375e-05
fr, ko, 0.0, 2.86102294921875e-05
mr, mr, 0.0, 1.1205673217773438e-05
mr, tr, 0.0, 1.2159347534179688e-05
mr, lv, 0.0, 6.198883056640625e-06
mr, el, 0.0, 1.049041748046875e-05
mr, es, 0.0, 1.1920928955078125e-05
mr, pl, 0.0, 1.239776611328125e-05
mr, vi, 0.0, 1.1444091796875e-05
mr, de, 0.0, 1.2159347534179688e-05
mr, sh, 0.0, 1.0251998901367188e-05
mr, nl, 0.0, 1.1205673217773438e-05
mr, si, 0.0, 1.0013580322265625e-05
mr, pt, 0.0, 1.0728836059570312e-05
mr, ro, 0.0, 1.1444091796875e-05
mr, ja, 0.0, 1.0251998901367188e-05
mr, simple, 0.0, 1.0967254638671875e-05
mr, it, 0.0, 1.2159347534179688e-05
mr, he, 0.0, 2.1696090698242188e-05
mr, da, 0.0, 1.1444091796875e-05
mr, en, 0.0, 2.5272369384765625e-05
mr, sr, 0.0, 1.1920928955078125e-05
mr, sv, 0.0, 1.2874603271484375e-05
mr, ckb, 0.0, 5.7220458984375e-06
mr, ru, 0.0, 1.1920928955078125e-05
mr, hi, 0.0, 1.1205673217773438e-05
mr, bs, 0.0, 5.7220458984375e-06
mr, zh, 0.0, 9.5367431640625e-06
mr, mk, 0.0, 5.0067901611328125e-06
mr, hu, 0.0, 1.0251998901367188e-05
mr, ko, 0.0, 9.5367431640625e-06
tr, tr, 1.0, 2.5272369384765625e-05
tr, lv, 0.0, 1.0013580322265625e-05
tr, el, 0.0, 1.0013580322265625e-05
tr, es, 0.0, 1.621246337890625e-05
tr, pl, 0.25, 2.5987625122070312e-05
tr, vi, 0.0, 1.1920928955078125e-05
tr, de, 0.0, 1.1920928955078125e-05
tr, sh, 0.18181818181818182, 2.2172927856445312e-05
tr, nl, 0.07142857142857142, 2.1457672119140625e-05
tr, si, 0.0, 1.0251998901367188e-05
tr, pt, 0.0, 1.3113021850585938e-05
tr, ro, 0.7142857142857143, 2.2411346435546875e-05
tr, ja, 0.0, 1.1205673217773438e-05
tr, simple, 0.2857142857142857, 1.811981201171875e-05
tr, it, 0.18181818181818182, 3.457069396972656e-05
tr, he, 0.0, 1.2159347534179688e-05
tr, da, 0.0, 1.239776611328125e-05
tr, en, 0.15, 4.696846008300781e-05
tr, sr, 0.0, 1.8358230590820312e-05
tr, sv, 0.3333333333333333, 2.3603439331054688e-05
tr, ckb, 0.0, 1.1920928955078125e-05
tr, ru, 0.0, 1.0728836059570312e-05
