Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 3.6716461181640625e-05
fr, tr, 0.5061728395061729, 5.173683166503906e-05
fr, es, 0.5064935064935064, 6.985664367675781e-05
fr, pl, 0.8571428571428571, 1.2874603271484375e-05
fr, vi, 0.8, 1.1682510375976562e-05
fr, de, 0.5263157894736842, 2.2411346435546875e-05
fr, nl, 0.5025380710659899, 0.000110626220703125
fr, pt, 0.5047619047619047, 4.2438507080078125e-05
fr, ja, 0.7692307692307692, 1.1682510375976562e-05
fr, simple, 0.5102040816326531, 2.574920654296875e-05
fr, it, 0.5061728395061729, 6.103515625e-05
fr, he, 0.8571428571428571, 1.1682510375976562e-05
fr, da, 0.8571428571428571, 1.0967254638671875e-05
fr, en, 0.5009398496240601, 0.0004203319549560547
fr, sv, 0.5238095238095238, 1.8358230590820312e-05
fr, ckb, 0.8571428571428571, 1.1682510375976562e-05
fr, ru, 0.8571428571428571, 1.049041748046875e-05
fr, zh, 0.8571428571428571, 1.049041748046875e-05
fr, hu, 0.5128205128205129, 2.0742416381835938e-05
fr, ko, 1.0, 1.1205673217773438e-05
fr, union, 0.5007012622720898, 0.0006787776947021484
tr, tr, 1.0, 6.651878356933594e-05
tr, es, 0.5661898900725776, 8.678436279296875e-05
tr, pl, 0.5063291139240506, 3.361701965332031e-05
tr, vi, 0.5061728395061729, 3.266334533691406e-05
tr, de, 0.504424778761062, 4.553794860839844e-05
tr, nl, 0.5620530079932687, 0.00012302398681640625
tr, pt, 0.5887974125257277, 6.771087646484375e-05
tr, ja, 0.5060240963855421, 3.2901763916015625e-05
tr, simple, 0.5801503298051849, 4.9114227294921875e-05
tr, it, 0.5564748201438848, 8.559226989746094e-05
tr, he, 0.5063291139240506, 3.337860107421875e-05
tr, da, 0.5063291139240506, 3.1948089599609375e-05
tr, en, 0.5104096709200806, 0.00039839744567871094
tr, sv, 0.5106382978723405, 4.0531158447265625e-05
tr, ckb, 0.5063291139240506, 3.218650817871094e-05
tr, ru, 0.5063291139240506, 3.218650817871094e-05
tr, zh, 0.5063291139240506, 3.1948089599609375e-05
tr, hu, 0.5329771247286692, 4.38690185546875e-05
tr, ko, 0.5061728395061729, 3.218650817871094e-05
tr, union, 0.5260164337414062, 0.0006804466247558594
es, es, 1.0, 0.00011873245239257812
es, pl, 0.5032679738562091, 5.555152893066406e-05
es, vi, 0.5032258064516129, 5.435943603515625e-05
es, de, 0.5223158272091774, 6.580352783203125e-05
es, nl, 0.5599324260317661, 0.0001399517059326172
es, pt, 0.6076555023923446, 9.34600830078125e-05
es, ja, 0.5031847133757962, 5.507469177246094e-05
es, simple, 0.5469613259668509, 7.2479248046875e-05
es, it, 0.6003426273059066, 0.00011372566223144531
es, he, 0.5032679738562091, 5.650520324707031e-05
es, da, 0.5032679738562091, 5.435943603515625e-05
es, en, 0.5208293486345765, 0.00042724609375
es, sv, 0.5029585798816568, 6.341934204101562e-05
es, ckb, 0.5032679738562091, 5.4836273193359375e-05
es, ru, 0.5032679738562091, 5.340576171875e-05
es, zh, 0.5032679738562091, 0.019301176071166992
es, hu, 0.5310734463276836, 7.891654968261719e-05
es, ko, 0.5064935064935064, 5.745887756347656e-05
es, union, 0.5510116617418176, 0.0008258819580078125
pl, pl, 1.0, 1.6927719116210938e-05
pl, vi, 0.8571428571428571, 1.1205673217773438e-05
pl, de, 0.5135135135135135, 2.1219253540039062e-05
pl, nl, 0.5025641025641026, 9.131431579589844e-05
pl, pt, 0.5048543689320388, 4.291534423828125e-05
pl, ja, 0.8, 1.1444091796875e-05
pl, simple, 0.5106382978723405, 2.5510787963867188e-05
pl, it, 0.5031055900621119, 6.0558319091796875e-05
pl, he, 1.0, 1.1444091796875e-05
pl, da, 1.0, 1.049041748046875e-05
pl, en, 0.5004703668861712, 0.0003800392150878906
pl, sv, 0.5263157894736842, 1.7404556274414062e-05
pl, ckb, 1.0, 1.1682510375976562e-05
pl, ru, 1.0, 1.0728836059570312e-05
pl, zh, 1.0, 1.0013580322265625e-05
pl, hu, 0.5135135135135135, 2.0503997802734375e-05
pl, ko, 0.8571428571428571, 1.0728836059570312e-05
pl, union, 0.5003508771929824, 0.0006721019744873047
vi, vi, 1.0, 1.2636184692382812e-05
vi, de, 0.5128205128205129, 2.0503997802734375e-05
vi, nl, 0.5025380710659899, 8.821487426757812e-05
vi, pt, 0.5047619047619047, 4.1484832763671875e-05
vi, ja, 0.7692307692307692, 1.0967254638671875e-05
vi, simple, 0.5102040816326531, 2.47955322265625e-05
vi, it, 0.5061728395061729, 6.031990051269531e-05
vi, he, 0.8571428571428571, 1.1444091796875e-05
vi, da, 0.8571428571428571, 1.0251998901367188e-05
vi, en, 0.5009398496240601, 0.0003807544708251953
vi, sv, 0.55, 1.71661376953125e-05
vi, ckb, 0.8571428571428571, 1.049041748046875e-05
vi, ru, 0.8571428571428571, 1.5497207641601562e-05
vi, zh, 0.8571428571428571, 1.0013580322265625e-05
vi, hu, 0.5128205128205129, 2.0265579223632812e-05
vi, ko, 0.8, 1.0967254638671875e-05
vi, union, 0.5007012622720898, 0.000659942626953125
de, de, 1.0, 3.504753112792969e-05
de, nl, 0.5043859649122807, 0.019494295120239258
de, pt, 0.5073529411764707, 5.6743621826171875e-05
de, ja, 0.5121951219512195, 2.1219253540039062e-05
de, simple, 0.5061728395061729, 3.5762786865234375e-05
de, it, 0.5051546391752577, 7.152557373046875e-05
de, he, 0.5135135135135135, 2.0742416381835938e-05
de, da, 0.5135135135135135, 1.9073486328125e-05
de, en, 0.5062851143521934, 0.00043702125549316406
de, sv, 0.5094339622641509, 2.7894973754882812e-05
de, ckb, 0.5135135135135135, 1.9788742065429688e-05
de, ru, 0.5135135135135135, 1.9550323486328125e-05
de, zh, 0.5135135135135135, 1.8835067749023438e-05
de, hu, 0.5070422535211268, 3.0040740966796875e-05
de, ko, 0.5263157894736842, 1.9550323486328125e-05
de, union, 0.5113739937188263, 0.0006885528564453125
nl, nl, 1.0, 0.00018525123596191406
nl, pt, 0.5648128296385233, 0.0001220703125
nl, ja, 0.5025125628140703, 8.440017700195312e-05
nl, simple, 0.5217391304347826, 0.0001010894775390625
nl, it, 0.5514519056261343, 0.00014066696166992188
nl, he, 0.5025641025641026, 9.012222290039062e-05
nl, da, 0.5025641025641026, 8.392333984375e-05
nl, en, 0.5240469745384976, 0.0004630088806152344
nl, sv, 0.5047619047619047, 9.250640869140625e-05
nl, ckb, 0.5025641025641026, 8.392333984375e-05
nl, ru, 0.5025641025641026, 8.296966552734375e-05
nl, zh, 0.5025641025641026, 8.249282836914062e-05
nl, hu, 0.540255953345213, 9.584426879882812e-05
nl, ko, 0.5025380710659899, 8.344650268554688e-05
nl, union, 0.5744429000028588, 0.0007929801940917969
pt, pt, 1.0, 7.987022399902344e-05
pt, ja, 0.5046728971962617, 3.8623809814453125e-05
pt, simple, 0.5406941343616806, 5.53131103515625e-05
pt, it, 0.5703789373426764, 9.393692016601562e-05
pt, he, 0.5048543689320388, 3.933906555175781e-05
pt, da, 0.5048543689320388, 3.790855407714844e-05
pt, en, 0.5102320318043472, 0.0004038810729980469
pt, sv, 0.5042016806722689, 4.673004150390625e-05
pt, ckb, 0.5048543689320388, 3.8623809814453125e-05
pt, ru, 0.5048543689320388, 3.743171691894531e-05
pt, zh, 0.5048543689320388, 3.7670135498046875e-05
pt, hu, 0.5619302297313724, 5.1021575927734375e-05
pt, ko, 0.5047619047619047, 3.814697265625e-05
pt, union, 0.5337017861227206, 0.0006952285766601562
ja, ja, 1.0, 1.5974044799804688e-05
ja, simple, 0.5098039215686274, 2.7179718017578125e-05
ja, it, 0.503030303030303, 6.079673767089844e-05
ja, he, 0.8, 1.239776611328125e-05
ja, da, 0.8, 1.049041748046875e-05
ja, en, 0.500468603561387, 0.0003783702850341797
ja, sv, 0.5217391304347826, 1.7404556274414062e-05
ja, ckb, 0.8, 1.1205673217773438e-05
ja, ru, 0.8, 1.0728836059570312e-05
ja, zh, 0.8, 1.0251998901367188e-05
ja, hu, 0.5121951219512195, 2.09808349609375e-05
ja, ko, 0.7692307692307692, 1.0728836059570312e-05
ja, union, 0.5010511562718991, 0.0006628036499023438
simple, simple, 1.0, 4.6253204345703125e-05
simple, it, 0.5394364721902168, 7.772445678710938e-05
simple, he, 0.5106382978723405, 0.03477811813354492
simple, da, 0.5106382978723405, 3.314018249511719e-05
simple, en, 0.5172122912440998, 0.00046372413635253906
simple, sv, 0.5161290322580645, 3.361701965332031e-05
simple, ckb, 0.5106382978723405, 2.4318695068359375e-05
simple, ru, 0.5106382978723405, 2.384185791015625e-05
simple, zh, 0.5106382978723405, 2.3365020751953125e-05
simple, hu, 0.5331777259086362, 3.647804260253906e-05
simple, ko, 0.5102040816326531, 2.4557113647460938e-05
simple, union, 0.5150266194695757, 0.0007419586181640625
it, it, 1.0, 0.0001285076141357422
it, he, 0.5031055900621119, 5.817413330078125e-05
it, da, 0.5031055900621119, 5.698204040527344e-05
it, en, 0.5256406676532809, 0.00043964385986328125
it, sv, 0.5369056068133428, 6.723403930664062e-05
it, ckb, 0.5031055900621119, 5.7220458984375e-05
it, ru, 0.5031055900621119, 5.650520324707031e-05
it, zh, 0.5031055900621119, 5.555152893066406e-05
it, hu, 0.5301822323462415, 6.890296936035156e-05
