Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 3.0279159545898438e-05
fr, tr, 0.025, 4.839897155761719e-05
fr, es, 0.02631578947368421, 6.4849853515625e-05
fr, pl, 0.5, 1.0013580322265625e-05
fr, vi, 0.3333333333333333, 9.5367431640625e-06
fr, de, 0.1111111111111111, 1.9550323486328125e-05
fr, nl, 0.01020408163265306, 9.560585021972656e-05
fr, pt, 0.019230769230769232, 4.1484832763671875e-05
fr, ja, 0.25, 9.059906005859375e-06
fr, simple, 0.041666666666666664, 2.5272369384765625e-05
fr, it, 0.025, 6.031990051269531e-05
fr, he, 0.5, 9.5367431640625e-06
fr, da, 0.5, 8.344650268554688e-06
fr, en, 0.003766478342749529, 0.0004143714904785156
fr, sv, 0.1, 1.7404556274414062e-05
fr, ckb, 0.5, 9.5367431640625e-06
fr, ru, 0.5, 8.58306884765625e-06
fr, zh, 0.5, 8.821487426757812e-06
fr, hu, 0.05263157894736842, 1.9550323486328125e-05
fr, ko, 1.0, 9.775161743164062e-06
fr, union, 0.0028089887640449437, 0.0007007122039794922
tr, tr, 1.0, 6.270408630371094e-05
tr, es, 0.13861386138613863, 8.7738037109375e-05
tr, pl, 0.02564102564102564, 3.314018249511719e-05
tr, vi, 0.025, 3.170967102050781e-05
tr, de, 0.017857142857142856, 4.172325134277344e-05
tr, nl, 0.14285714285714285, 0.0001087188720703125
tr, pt, 0.18421052631578946, 6.389617919921875e-05
tr, ja, 0.024390243902439025, 3.266334533691406e-05
tr, simple, 0.16981132075471697, 4.673004150390625e-05
tr, it, 0.14423076923076922, 8.20159912109375e-05
tr, he, 0.02564102564102564, 3.24249267578125e-05
tr, da, 0.02564102564102564, 3.170967102050781e-05
tr, en, 0.021505376344086023, 0.00039577484130859375
tr, sv, 0.043478260869565216, 3.933906555175781e-05
tr, ckb, 0.02564102564102564, 3.147125244140625e-05
tr, ru, 0.02564102564102564, 3.147125244140625e-05
tr, zh, 0.02564102564102564, 3.790855407714844e-05
tr, hu, 0.07547169811320754, 4.172325134277344e-05
tr, ko, 0.025, 3.1948089599609375e-05
tr, union, 0.054775280898876406, 0.000690460205078125
es, es, 1.0, 0.00010704994201660156
es, pl, 0.013157894736842105, 5.507469177246094e-05
es, vi, 0.012987012987012988, 5.459785461425781e-05
es, de, 0.056179775280898875, 6.413459777832031e-05
es, nl, 0.13815789473684212, 0.00013327598571777344
es, pt, 0.22115384615384615, 8.797645568847656e-05
es, ja, 0.01282051282051282, 5.4836273193359375e-05
es, simple, 0.1, 7.009506225585938e-05
es, it, 0.2283464566929134, 0.00010561943054199219
es, he, 0.013157894736842105, 5.602836608886719e-05
es, da, 0.013157894736842105, 5.412101745605469e-05
es, en, 0.04475043029259897, 0.00043463706970214844
es, sv, 0.011904761904761904, 6.365776062011719e-05
es, ckb, 0.013157894736842105, 7.200241088867188e-05
es, ru, 0.013157894736842105, 5.602836608886719e-05
es, zh, 0.013157894736842105, 5.435943603515625e-05
es, hu, 0.06818181818181818, 6.556510925292969e-05
es, ko, 0.02631578947368421, 5.53131103515625e-05
es, union, 0.10674157303370786, 0.00075531005859375
pl, pl, 1.0, 1.0728836059570312e-05
pl, vi, 0.5, 8.344650268554688e-06
pl, de, 0.05555555555555555, 1.9073486328125e-05
pl, nl, 0.010309278350515464, 8.797645568847656e-05
pl, pt, 0.0196078431372549, 4.0531158447265625e-05
pl, ja, 0.3333333333333333, 8.821487426757812e-06
pl, simple, 0.043478260869565216, 2.384185791015625e-05
pl, it, 0.0125, 6.0558319091796875e-05
pl, he, 1.0, 9.059906005859375e-06
pl, da, 1.0, 7.867813110351562e-06
pl, en, 0.0018832391713747645, 0.0003826618194580078
pl, sv, 0.1111111111111111, 1.5020370483398438e-05
pl, ckb, 1.0, 8.344650268554688e-06
pl, ru, 1.0, 8.106231689453125e-06
pl, zh, 1.0, 7.3909759521484375e-06
pl, hu, 0.05555555555555555, 1.7642974853515625e-05
pl, ko, 0.5, 7.62939453125e-06
pl, union, 0.0014044943820224719, 0.0006532669067382812
vi, vi, 1.0, 1.0251998901367188e-05
vi, de, 0.05263157894736842, 1.7881393432617188e-05
vi, nl, 0.01020408163265306, 8.320808410644531e-05
vi, pt, 0.019230769230769232, 3.8623809814453125e-05
vi, ja, 0.25, 8.344650268554688e-06
vi, simple, 0.041666666666666664, 2.2411346435546875e-05
vi, it, 0.025, 5.6743621826171875e-05
vi, he, 0.5, 8.821487426757812e-06
vi, da, 0.5, 7.867813110351562e-06
vi, en, 0.003766478342749529, 0.00036787986755371094
vi, sv, 0.2222222222222222, 1.7881393432617188e-05
vi, ckb, 0.5, 9.059906005859375e-06
vi, ru, 0.5, 0.008052349090576172
vi, zh, 0.5, 1.33514404296875e-05
vi, hu, 0.05263157894736842, 2.765655517578125e-05
vi, ko, 0.3333333333333333, 9.775161743164062e-06
vi, union, 0.0028089887640449437, 0.0007846355438232422
de, de, 1.0, 3.2901763916015625e-05
de, nl, 0.017699115044247787, 0.00010180473327636719
de, pt, 0.029850746268656716, 5.269050598144531e-05
de, ja, 0.05, 1.8596649169921875e-05
de, simple, 0.025, 3.457069396972656e-05
de, it, 0.020833333333333332, 7.224082946777344e-05
de, he, 0.05555555555555555, 1.9073486328125e-05
de, da, 0.05555555555555555, 1.7642974853515625e-05
de, en, 0.014787430683918669, 0.0004134178161621094
de, sv, 0.038461538461538464, 2.5272369384765625e-05
de, ckb, 0.05555555555555555, 1.71661376953125e-05
de, ru, 0.05555555555555555, 1.6927719116210938e-05
de, zh, 0.05555555555555555, 1.6450881958007812e-05
de, hu, 0.02857142857142857, 2.6941299438476562e-05
de, ko, 0.1111111111111111, 1.6927719116210938e-05
de, union, 0.025280898876404494, 0.0006678104400634766
nl, nl, 1.0, 0.00017499923706054688
nl, pt, 0.14728682170542637, 0.00011658668518066406
nl, ja, 0.010101010101010102, 8.20159912109375e-05
nl, simple, 0.05263157894736842, 9.679794311523438e-05
nl, it, 0.1346153846153846, 0.00013566017150878906
nl, he, 0.010309278350515464, 8.296966552734375e-05
nl, da, 0.010309278350515464, 8.0108642578125e-05
nl, en, 0.04492512479201331, 0.00046539306640625
nl, sv, 0.019230769230769232, 9.012222290039062e-05
nl, ckb, 0.010309278350515464, 8.153915405273438e-05
nl, ru, 0.010309278350515464, 8.058547973632812e-05
nl, zh, 0.010309278350515464, 8.034706115722656e-05
nl, hu, 0.09523809523809523, 9.1552734375e-05
nl, ko, 0.01020408163265306, 8.034706115722656e-05
nl, union, 0.13623595505617977, 0.0007586479187011719
pt, pt, 1.0, 7.271766662597656e-05
pt, ja, 0.018867924528301886, 3.695487976074219e-05
pt, simple, 0.08823529411764706, 5.221366882324219e-05
pt, it, 0.1592920353982301, 8.7738037109375e-05
pt, he, 0.0196078431372549, 3.719329833984375e-05
pt, da, 0.0196078431372549, 3.552436828613281e-05
pt, en, 0.022847100175746926, 0.0004012584686279297
pt, sv, 0.01694915254237288, 4.4345855712890625e-05
pt, ckb, 0.0196078431372549, 3.647804260253906e-05
pt, ru, 0.0196078431372549, 3.552436828613281e-05
pt, zh, 0.0196078431372549, 3.528594970703125e-05
pt, hu, 0.13114754098360656, 4.649162292480469e-05
pt, ko, 0.019230769230769232, 3.600120544433594e-05
pt, union, 0.07162921348314606, 0.0006964206695556641
ja, ja, 1.0, 1.0013580322265625e-05
ja, simple, 0.04, 2.4557113647460938e-05
ja, it, 0.012195121951219513, 5.817413330078125e-05
ja, he, 0.3333333333333333, 8.106231689453125e-06
ja, da, 0.3333333333333333, 7.867813110351562e-06
ja, en, 0.001876172607879925, 0.0004944801330566406
ja, sv, 0.09090909090909091, 1.8596649169921875e-05
ja, ckb, 0.3333333333333333, 9.775161743164062e-06
ja, ru, 0.3333333333333333, 8.821487426757812e-06
ja, zh, 0.3333333333333333, 8.821487426757812e-06
ja, hu, 0.05, 2.0742416381835938e-05
ja, ko, 0.25, 9.5367431640625e-06
ja, union, 0.004213483146067416, 0.0007371902465820312
simple, simple, 1.0, 4.363059997558594e-05
simple, it, 0.14444444444444443, 7.486343383789062e-05
simple, he, 0.043478260869565216, 2.47955322265625e-05
simple, da, 0.043478260869565216, 2.3603439331054688e-05
simple, en, 0.03745318352059925, 0.00039505958557128906
simple, sv, 0.06666666666666667, 3.0517578125e-05
simple, ckb, 0.043478260869565216, 2.3365020751953125e-05
simple, ru, 0.043478260869565216, 2.2649765014648438e-05
simple, zh, 0.043478260869565216, 2.2172927856445312e-05
simple, hu, 0.07894736842105263, 3.24249267578125e-05
simple, ko, 0.041666666666666664, 2.2172927856445312e-05
simple, union, 0.032303370786516857, 0.0006864070892333984
it, it, 1.0, 0.00011444091796875
it, he, 0.0125, 5.5789947509765625e-05
it, da, 0.0125, 5.364418029785156e-05
it, en, 0.06260869565217392, 0.00044846534729003906
it, sv, 0.08536585365853659, 6.628036499023438e-05
it, ckb, 0.0125, 5.4836273193359375e-05
it, ru, 0.0125, 6.341934204101562e-05
it, zh, 0.0125, 5.364418029785156e-05
it, hu, 0.06521739130434782, 6.508827209472656e-05
it, ko, 0.025, 5.435943603515625e-05
it, union, 0.11235955056179775, 0.0007755756378173828
he, he, 1.0, 1.239776611328125e-05
he, da, 1.0, 8.344650268554688e-06
he, en, 0.0018832391713747645, 0.0003731250762939453
he, sv, 0.1111111111111111, 1.5974044799804688e-05
he, ckb, 1.0, 8.58306884765625e-06
he, ru, 1.0, 8.106231689453125e-06
he, zh, 1.0, 7.62939453125e-06
he, hu, 0.05555555555555555, 1.811981201171875e-05
he, ko, 0.5, 8.106231689453125e-06
he, union, 0.0014044943820224719, 0.0006673336029052734
da, da, 1.0, 1.0967254638671875e-05
da, en, 0.0018832391713747645, 0.00036978721618652344
da, sv, 0.1111111111111111, 1.5497207641601562e-05
da, ckb, 1.0, 8.58306884765625e-06
da, ru, 1.0, 7.867813110351562e-06
da, zh, 1.0, 7.3909759521484375e-06
da, hu, 0.05555555555555555, 1.811981201171875e-05
