Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.0002894401550292969
fr, es, 1.0, 1.0251998901367188e-05
fr, de, 1.0, 8.58306884765625e-06
fr, ro, 0.6666666666666666, 6.008148193359375e-05
fr, ja, 1.0, 1.3113021850585938e-05
fr, en, 0.6666666666666666, 2.002716064453125e-05
fr, ru, 1.0, 1.33514404296875e-05
fr, zh, 1.0, 1.2159347534179688e-05
fr, hu, 1.0, 1.1920928955078125e-05
es, es, 1.0, 1.1920928955078125e-05
es, de, 1.0, 6.9141387939453125e-06
es, ro, 1.0, 8.58306884765625e-06
es, ja, 1.0, 6.9141387939453125e-06
es, en, 1.0, 7.867813110351562e-06
es, ru, 1.0, 6.9141387939453125e-06
es, zh, 1.0, 6.4373016357421875e-06
es, hu, 1.0, 1.1682510375976562e-05
de, de, 1.0, 1.0967254638671875e-05
de, ro, 1.0, 8.344650268554688e-06
de, ja, 1.0, 6.67572021484375e-06
de, en, 1.0, 7.62939453125e-06
de, ru, 1.0, 6.9141387939453125e-06
de, zh, 1.0, 6.4373016357421875e-06
de, hu, 1.0, 6.67572021484375e-06
ro, ro, 1.0, 0.0007345676422119141
ro, ja, 1.0, 1.239776611328125e-05
ro, en, 1.0, 2.09808349609375e-05
ro, ru, 1.0, 1.4781951904296875e-05
ro, zh, 1.0, 9.298324584960938e-06
ro, hu, 1.0, 1.621246337890625e-05
ja, ja, 1.0, 1.239776611328125e-05
ja, en, 1.0, 1.4781951904296875e-05
ja, ru, 1.0, 7.62939453125e-06
ja, zh, 1.0, 1.1920928955078125e-05
ja, hu, 1.0, 1.1444091796875e-05
en, en, 1.0, 0.0004754066467285156
en, ru, 1.0, 1.7642974853515625e-05
en, zh, 1.0, 1.8596649169921875e-05
en, hu, 1.0, 1.0251998901367188e-05
ru, ru, 1.0, 1.2159347534179688e-05
ru, zh, 1.0, 7.152557373046875e-06
ru, hu, 1.0, 1.1205673217773438e-05
zh, zh, 1.0, 1.1444091796875e-05
zh, hu, 1.0, 7.152557373046875e-06
hu, hu, 1.0, 1.2159347534179688e-05
