Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.0002815723419189453
fr, es, 0.0, 0.00010228157043457031
fr, de, 0.0, 9.5367431640625e-05
fr, ro, 0.039285714285714285, 0.00038170814514160156
fr, ja, 0.0029239766081871343, 0.00010418891906738281
fr, en, 0.01694915254237288, 0.0002491474151611328
fr, ru, 0.0029411764705882353, 0.00010085105895996094
fr, zh, 0.0029585798816568047, 9.5367431640625e-05
fr, hu, 0.002890173410404624, 9.751319885253906e-05
fr, union, 0.2015429614511168, 0.0006854534149169922
es, es, 0.5, 1.6689300537109375e-05
es, de, 0.0, 1.0251998901367188e-05
es, ro, 0.0, 0.00025844573974609375
es, ja, 0.0, 1.2159347534179688e-05
es, en, 0.0, 0.00014925003051757812
es, ru, 0.0, 1.1205673217773438e-05
es, zh, 0.0, 9.5367431640625e-06
es, hu, 0.1, 1.0251998901367188e-05
es, union, 0.0006180469715698393, 0.0005185604095458984
de, de, 0.5, 1.2636184692382812e-05
de, ro, 0.0, 0.0002562999725341797
de, ja, 0.0, 1.1444091796875e-05
de, en, 0.0, 0.00014901161193847656
de, ru, 0.0, 1.0728836059570312e-05
de, zh, 0.0, 8.58306884765625e-06
de, hu, 0.0, 9.059906005859375e-06
de, union, 0.0006180469715698393, 0.0005161762237548828
ro, ro, 1.0, 0.0005731582641601562
ro, ja, 0.0, 0.00026726722717285156
ro, en, 0.00510204081632653, 0.0004038810729980469
ro, ru, 0.0011467889908256881, 0.0002682209014892578
ro, zh, 0.0, 0.0002548694610595703
ro, hu, 0.00228310502283105, 0.00025153160095214844
ro, union, 0.5205946186793917, 0.0008554458618164062
ja, ja, 0.5, 1.3589859008789062e-05
ja, en, 0.0019230769230769232, 0.00016999244689941406
ja, ru, 0.0, 1.1920928955078125e-05
ja, zh, 0.16666666666666666, 1.0251998901367188e-05
ja, hu, 0.07142857142857142, 1.049041748046875e-05
ja, union, 0.001854140914709518, 0.0005466938018798828
en, en, 1.0, 0.00033593177795410156
en, ru, 0.0019305019305019305, 0.0001614093780517578
en, zh, 0.001937984496124031, 0.00015234947204589844
en, hu, 0.0, 0.00014901161193847656
en, union, 0.310618909362693, 0.0008254051208496094
ru, ru, 0.5, 1.5735626220703125e-05
ru, zh, 0.0, 9.775161743164062e-06
ru, hu, 0.08333333333333333, 1.0013580322265625e-05
ru, union, 0.0012360939431396785, 0.0005464553833007812
zh, zh, 0.5, 1.2159347534179688e-05
zh, hu, 0.0, 1.0013580322265625e-05
zh, union, 0.0006180469715698393, 0.0005431175231933594
hu, hu, 0.5, 1.3828277587890625e-05
hu, union, 0.0030902348578491965, 0.0005524158477783203
union, union, 1.0, 0.0011587142944335938
