Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.026868820190429688
id, fr, 0.14605995183924272, 0.1874675750732422
id, mr, 0.006313131313131313, 0.04297637939453125
id, tr, 0.05513861234492265, 0.011711597442626953
id, lv, 0.020161883738042678, 0.02393341064453125
id, el, 0.021540880503144653, 0.07065725326538086
id, es, 0.1628270022233786, 0.10557222366333008
id, pl, 0.166996699669967, 0.10163640975952148
id, vi, 0.024505183788878417, 0.03428077697753906
id, de, 0.1359805742036852, 0.12751078605651855
id, ml, 0.008054327226784586, 0.010264873504638672
id, sh, 0.21376697189769497, 0.02532219886779785
id, nl, 0.1995322321298056, 0.11939716339111328
id, si, 0.002213088839709137, 0.010081768035888672
id, pt, 0.21224579693120915, 0.028508424758911133
id, ro, 0.06897067624177139, 0.013411283493041992
id, ja, 0.03531974482651315, 0.011645793914794922
id, simple, 0.11333987936596998, 0.0138397216796875
id, it, 0.14193990549363344, 0.21845674514770508
id, ceb, 0.002055986082555749, 0.04670286178588867
id, he, 0.02810488302716282, 0.04188060760498047
id, da, 0.18798120187981202, 0.06845784187316895
id, en, 0.07672870015733516, 0.5828719139099121
id, sr, 0.06419073819348922, 0.012282609939575195
id, sv, 0.20134043334557472, 0.11539483070373535
id, ckb, 0.001739680531393326, 0.011910676956176758
id, ru, 0.05047604654677346, 0.027185916900634766
id, hi, 0.010581174984207202, 0.026259660720825195
id, arz, 0.003478810879190386, 0.0169370174407959
id, bs, 0.08888269713011981, 0.05728960037231445
id, te, 0.0018963337547408343, 0.05076241493225098
id, zh, 0.03649407361197754, 0.023690223693847656
id, mk, 0.01371374527112232, 0.009921550750732422
id, hu, 0.02600840990499922, 0.03085613250732422
id, ko, 0.033411397345823574, 0.009847640991210938
id, war, 0.0066403162055335965, 0.04592180252075195
id, union, 0.06287350721409607, 0.831632137298584
fr, fr, 1.0, 0.13298249244689941
fr, mr, 0.0021608417888012025, 0.04577279090881348
fr, tr, 0.022273173927284638, 0.046417951583862305
fr, lv, 0.008058945429426664, 0.04563617706298828
fr, el, 0.007182424185522486, 0.04131746292114258
fr, es, 0.23201321160377653, 0.07791733741760254
fr, pl, 0.1618366578848325, 0.10236048698425293
fr, vi, 0.008498051551716042, 0.04912900924682617
fr, de, 0.19023088952258302, 0.09689617156982422
fr, ml, 0.0025838579347928214, 0.04435372352600098
fr, sh, 0.14388116417652647, 0.11169624328613281
fr, nl, 0.21086964912957887, 0.06798267364501953
fr, si, 0.000751809040503712, 0.040381669998168945
fr, pt, 0.20082420727286604, 0.11687231063842773
fr, ro, 0.029291235913197353, 0.11413049697875977
fr, ja, 0.013030842786162932, 0.10379242897033691
fr, simple, 0.04400364797081623, 0.1233205795288086
fr, it, 0.25961954172070906, 0.31354260444641113
fr, ceb, 0.0006108735491753207, 0.10614275932312012
fr, he, 0.009481787457754413, 0.09949254989624023
fr, da, 0.13072969329288844, 0.09247922897338867
fr, en, 0.1563325737134229, 0.3805069923400879
fr, sr, 0.025064297404722935, 0.04205060005187988
fr, sv, 0.14817392728463807, 0.08503031730651855
fr, ckb, 0.0005168930031483483, 0.07180333137512207
fr, ru, 0.020970222284356216, 0.03998565673828125
fr, hi, 0.002864387678437265, 0.05243659019470215
fr, arz, 0.0009396729937981583, 0.10355377197265625
fr, bs, 0.04200219619326501, 0.1265699863433838
fr, te, 0.0007047878588544848, 0.04855036735534668
fr, zh, 0.012845757149554618, 0.05136728286743164
fr, mk, 0.004697261496547513, 0.08991837501525879
fr, hu, 0.0106951871657754, 0.1273038387298584
fr, ko, 0.011722230037042246, 0.11202311515808105
fr, war, 0.0019734060047925574, 0.10521245002746582
fr, union, 0.21161017033420507, 1.2554633617401123
mr, mr, 1.0, 4.1484832763671875e-05
mr, tr, 0.059931506849315065, 0.0002720355987548828
mr, lv, 0.0327613104524181, 0.0004639625549316406
mr, el, 0.15816326530612246, 2.6226043701171875e-05
mr, es, 0.0025184779633178208, 0.08311247825622559
mr, pl, 0.003643176850213386, 0.05419158935546875
mr, vi, 0.13004484304932734, 3.9577484130859375e-05
mr, de, 0.002679284004104435, 0.07310318946838379
mr, ml, 0.2840909090909091, 4.1484832763671875e-05
mr, sh, 0.006503442999234889, 0.012727022171020508
mr, nl, 0.0039596119580281135, 0.04857158660888672
mr, si, 0.07692307692307693, 3.528594970703125e-05
mr, pt, 0.00411764705882353, 0.0322878360748291
mr, ro, 0.03795966785290629, 0.0005691051483154297
mr, ja, 0.13274336283185842, 4.029273986816406e-05
mr, simple, 0.018948655256723717, 0.001794576644897461
mr, it, 0.0018547018665403892, 0.16676783561706543
mr, ceb, 0.03125, 4.744529724121094e-05
mr, he, 0.13934426229508196, 2.9802322387695312e-05
mr, da, 0.005735794945330704, 0.0503542423248291
mr, en, 0.0008627987237090578, 0.38643693923950195
mr, sr, 0.05963302752293578, 0.0003275871276855469
mr, sv, 0.005904059040590406, 0.03759574890136719
mr, ckb, 0.12280701754385964, 3.266334533691406e-05
mr, ru, 0.08267090620031796, 5.1021575927734375e-05
mr, hi, 0.3723404255319149, 2.193450927734375e-05
mr, arz, 0.11764705882352941, 1.5020370483398438e-05
mr, bs, 0.01045751633986928, 0.001809835433959961
mr, te, 0.20689655172413793, 1.71661376953125e-05
mr, zh, 0.12238805970149254, 3.5762786865234375e-05
mr, mk, 0.1258741258741259, 2.1457672119140625e-05
mr, hu, 0.11971830985915492, 8.58306884765625e-05
mr, ko, 0.12218649517684887, 2.765655517578125e-05
mr, war, 0.07777777777777778, 3.981590270996094e-05
mr, union, 0.0005270118428510346, 1.2048823833465576
tr, tr, 1.0, 0.0005810260772705078
tr, lv, 0.07208029197080291, 0.0006921291351318359
tr, el, 0.19547657512116318, 0.0002529621124267578
tr, es, 0.024491128768912594, 0.08714818954467773
tr, pl, 0.03474628082331364, 0.034030914306640625
tr, vi, 0.2028301886792453, 0.00030112266540527344
tr, de, 0.021615215305604153, 0.07306718826293945
tr, ml, 0.07560137457044673, 0.0003132820129394531
tr, sh, 0.057111477210323995, 0.05130195617675781
tr, nl, 0.03226118969192017, 0.05647444725036621
tr, si, 0.019230769230769232, 0.00028228759765625
tr, pt, 0.041444756463639, 0.04300570487976074
tr, ro, 0.14050944946589974, 0.0007920265197753906
tr, ja, 0.23214285714285715, 0.0002849102020263672
tr, simple, 0.07283464566929133, 0.0019156932830810547
tr, it, 0.018361248722182904, 0.2228407859802246
tr, ceb, 0.0034662045060658577, 0.0003082752227783203
tr, he, 0.2301710730948678, 0.0002613067626953125
tr, da, 0.04988856506086062, 0.01480245590209961
tr, en, 0.008704990318749085, 0.21422672271728516
tr, sr, 0.2157258064516129, 0.0006427764892578125
tr, sv, 0.047006715245035004, 0.010807275772094727
tr, ckb, 0.019434628975265017, 0.024372339248657227
tr, ru, 0.278372591006424, 0.0003159046173095703
tr, hi, 0.0899830220713073, 0.0002598762512207031
tr, arz, 0.03152364273204904, 0.00024247169494628906
tr, bs, 0.06134020618556701, 0.0025963783264160156
tr, te, 0.0156794425087108, 0.0002689361572265625
tr, zh, 0.24509803921568626, 0.0002884864807128906
tr, mk, 0.15213675213675212, 0.00025582313537597656
tr, hu, 0.14937759336099585, 0.0003323554992675781
tr, ko, 0.24028776978417266, 0.00026345252990722656
tr, war, 0.042735042735042736, 0.00026345252990722656
tr, union, 0.005628088736861992, 1.2370870113372803
lv, lv, 1.0, 0.001047372817993164
lv, el, 0.08, 0.016597509384155273
lv, es, 0.012178111587982833, 0.05724954605102539
lv, pl, 0.01482734600457757, 0.03103494644165039
lv, vi, 0.08021390374331551, 0.0005214214324951172
lv, de, 0.00917686318131257, 0.04217195510864258
lv, ml, 0.03560371517027864, 0.0004932880401611328
lv, sh, 0.018914185639229423, 0.025586843490600586
lv, nl, 0.014797951052931132, 0.03419041633605957
lv, si, 0.01788617886178862, 0.0004892349243164062
lv, pt, 0.014087152516904584, 0.03500175476074219
lv, ro, 0.05921539600296077, 0.0011370182037353516
lv, ja, 0.0779816513761468, 0.0005156993865966797
lv, simple, 0.031076066790352505, 0.01871514320373535
lv, it, 0.010752688172043012, 0.1909196376800537
lv, ceb, 0.001610305958132045, 0.0005018711090087891
lv, he, 0.08877284595300261, 0.00048613548278808594
lv, da, 0.021364690294799604, 0.029572486877441406
lv, en, 0.004387527118479422, 0.4205813407897949
lv, sr, 0.06569965870307168, 0.0008482933044433594
lv, sv, 0.01767223526163192, 0.0534970760345459
lv, ckb, 0.014729950900163666, 0.00048422813415527344
lv, ru, 0.07192374350086655, 0.0004947185516357422
lv, hi, 0.05061349693251534, 0.0004470348358154297
lv, arz, 0.022653721682847898, 0.0004391670227050781
lv, bs, 0.020883924235065566, 0.027143001556396484
lv, te, 0.006430868167202572, 0.0005078315734863281
lv, zh, 0.08372093023255814, 0.00046896934509277344
lv, mk, 0.059084194977843424, 0.0004298686981201172
lv, hu, 0.07107843137254902, 0.0005176067352294922
lv, ko, 0.07866507747318235, 0.00045013427734375
lv, war, 0.023510971786833857, 0.00046443939208984375
lv, union, 0.006055664382948681, 1.367863655090332
el, el, 1.0, 6.270408630371094e-05
el, es, 0.008811778227792676, 0.06363558769226074
el, pl, 0.013916294526949839, 0.012817144393920898
el, vi, 0.33691756272401435, 5.650520324707031e-05
el, de, 0.0077960507596881575, 0.06070590019226074
el, ml, 0.16417910447761194, 5.745887756347656e-05
el, sh, 0.02474776318294308, 0.020700454711914062
el, nl, 0.012729425695677915, 0.0479736328125
el, si, 0.0670391061452514, 7.891654968261719e-05
el, pt, 0.013992172211350294, 0.056650400161743164
el, ro, 0.10666666666666667, 0.0005636215209960938
el, ja, 0.3219895287958115, 5.984306335449219e-05
el, simple, 0.036521739130434785, 0.0016155242919921875
el, it, 0.006272189349112426, 0.23528742790222168
el, ceb, 0.010810810810810811, 5.7697296142578125e-05
el, he, 0.43010752688172044, 4.315376281738281e-05
el, da, 0.01433374623960361, 0.046407461166381836
el, en, 0.002734642054888173, 0.37499475479125977
el, sr, 0.2113095238095238, 0.0003628730773925781
el, sv, 0.016561629781620988, 0.02733159065246582
el, ckb, 0.06321839080459771, 3.8623809814453125e-05
el, ru, 0.26498422712933756, 6.246566772460938e-05
el, hi, 0.19617224880382775, 2.7179718017578125e-05
el, arz, 0.07650273224043716, 1.8596649169921875e-05
el, bs, 0.025215252152521524, 0.002025604248046875
el, te, 0.03804347826086957, 2.4318695068359375e-05
el, zh, 0.3183023872679045, 4.839897155761719e-05
el, mk, 0.36231884057971014, 3.0994415283203125e-05
el, hu, 0.22969187675070027, 9.965896606445312e-05
el, ko, 0.3314447592067989, 4.124641418457031e-05
el, war, 0.06341463414634146, 4.410743713378906e-05
el, union, 0.001730189823699623, 1.3518378734588623
