Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.0006966590881347656
fr, es, 1.0, 2.4318695068359375e-05
fr, pl, 1.0, 4.4345855712890625e-05
fr, de, 1.0, 2.7894973754882812e-05
fr, nl, 1.0, 3.743171691894531e-05
fr, pt, 0.6666666666666666, 2.574920654296875e-05
fr, ro, 1.0, 2.7418136596679688e-05
fr, ja, 1.0, 2.1696090698242188e-05
fr, it, 0.8571428571428571, 3.0517578125e-05
fr, he, 1.0, 1.33514404296875e-05
fr, da, 1.0, 2.3126602172851562e-05
fr, en, 1.0, 2.765655517578125e-05
fr, sv, 1.0, 4.315376281738281e-05
fr, ru, 1.0, 2.1219253540039062e-05
fr, hi, 1.0, 1.2874603271484375e-05
fr, zh, 1.0, 1.2874603271484375e-05
fr, ko, 1.0, 1.1205673217773438e-05
es, es, 1.0, 0.000118255615234375
es, pl, 1.0, 1.0013580322265625e-05
es, de, 1.0, 1.9311904907226562e-05
es, nl, 1.0, 1.0728836059570312e-05
es, pt, 1.0, 8.344650268554688e-06
es, ro, 1.0, 1.5497207641601562e-05
es, ja, 1.0, 8.106231689453125e-06
es, it, 1.0, 2.956390380859375e-05
es, he, 1.0, 0.024034500122070312
es, da, 1.0, 1.3113021850585938e-05
es, en, 0.8800000000000001, 3.4332275390625e-05
es, sv, 1.0, 9.775161743164062e-06
es, ru, 1.0, 8.106231689453125e-06
es, hi, 1.0, 7.3909759521484375e-06
es, zh, 1.0, 7.62939453125e-06
es, ko, 1.0, 7.152557373046875e-06
pl, pl, 1.0, 0.000133514404296875
pl, de, 1.0, 2.5987625122070312e-05
pl, nl, 1.0, 2.5272369384765625e-05
pl, pt, 1.0, 1.8835067749023438e-05
pl, ro, 1.0, 8.821487426757812e-06
pl, ja, 1.0, 1.2159347534179688e-05
pl, it, 1.0, 7.867813110351562e-06
pl, he, 1.0, 6.9141387939453125e-06
pl, da, 1.0, 1.239776611328125e-05
pl, en, 1.0, 4.172325134277344e-05
pl, sv, 1.0, 1.4543533325195312e-05
pl, ru, 1.0, 1.1920928955078125e-05
pl, hi, 1.0, 8.344650268554688e-06
pl, zh, 1.0, 7.152557373046875e-06
pl, ko, 1.0, 1.0251998901367188e-05
de, de, 1.0, 0.00012731552124023438
de, nl, 1.0, 2.002716064453125e-05
de, pt, 1.0, 2.2172927856445312e-05
de, ro, 1.0, 1.5020370483398438e-05
de, ja, 1.0, 1.3589859008789062e-05
de, it, 1.0, 3.123283386230469e-05
de, he, 1.0, 1.4066696166992188e-05
de, da, 1.0, 1.2636184692382812e-05
de, en, 1.0, 7.390975952148438e-05
de, sv, 1.0, 1.6689300537109375e-05
de, ru, 1.0, 1.4066696166992188e-05
de, hi, 1.0, 1.3828277587890625e-05
de, zh, 1.0, 1.2636184692382812e-05
de, ko, 1.0, 1.2159347534179688e-05
nl, nl, 1.0, 0.00014209747314453125
nl, pt, 1.0, 1.811981201171875e-05
nl, ro, 1.0, 9.775161743164062e-06
nl, ja, 1.0, 1.3113021850585938e-05
nl, it, 1.0, 1.5497207641601562e-05
nl, he, 1.0, 7.867813110351562e-06
nl, da, 1.0, 1.3113021850585938e-05
nl, en, 1.0, 3.2901763916015625e-05
nl, sv, 1.0, 1.2874603271484375e-05
nl, ru, 1.0, 1.2159347534179688e-05
