Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 4.4345855712890625e-05
fr, es, 1.0, 1.33514404296875e-05
fr, de, 0.6666666666666666, 1.1682510375976562e-05
fr, pt, 1.0, 1.0728836059570312e-05
fr, it, 1.0, 1.049041748046875e-05
fr, en, 1.0, 1.049041748046875e-05
fr, union, 0.8571428571428571, 1.0728836059570312e-05
es, es, 1.0, 9.775161743164062e-06
es, de, 0.6666666666666666, 9.775161743164062e-06
es, pt, 1.0, 9.5367431640625e-06
es, it, 1.0, 9.298324584960938e-06
es, en, 1.0, 9.5367431640625e-06
es, union, 0.8571428571428571, 9.775161743164062e-06
de, de, 1.0, 9.5367431640625e-06
de, pt, 0.6666666666666666, 9.5367431640625e-06
de, it, 0.6666666666666666, 9.298324584960938e-06
de, en, 0.6666666666666666, 9.5367431640625e-06
de, union, 0.8571428571428571, 9.5367431640625e-06
pt, pt, 1.0, 9.298324584960938e-06
pt, it, 1.0, 9.775161743164062e-06
pt, en, 1.0, 9.5367431640625e-06
pt, union, 0.8571428571428571, 1.0013580322265625e-05
it, it, 1.0, 1.33514404296875e-05
it, en, 1.0, 9.775161743164062e-06
it, union, 0.8571428571428571, 9.298324584960938e-06
en, en, 1.0, 9.298324584960938e-06
en, union, 0.8571428571428571, 9.5367431640625e-06
union, union, 1.0, 9.5367431640625e-06
