Language1, Language2, SimilarityScore, Time
id, id, 1.0, 5.5789947509765625e-05
id, fr, 0.5583333333333333, 2.2649765014648438e-05
id, el, 0.5116279069767442, 1.52587890625e-05
id, es, 0.5533980582524272, 1.7881393432617188e-05
id, pl, 0.5398230088495575, 1.7642974853515625e-05
id, vi, 0.511904761904762, 1.3589859008789062e-05
id, de, 0.5382262996941897, 6.222724914550781e-05
id, nl, 0.5299145299145299, 1.8835067749023438e-05
id, pt, 0.5306122448979592, 1.5735626220703125e-05
id, ro, 0.5058823529411764, 1.3113021850585938e-05
id, ja, 0.5504587155963303, 1.6450881958007812e-05
id, simple, 0.5116279069767442, 1.3589859008789062e-05
id, it, 0.5555555555555556, 9.822845458984375e-05
id, he, 0.5060240963855421, 1.430511474609375e-05
id, da, 0.5187969924812029, 1.9311904907226562e-05
id, en, 0.5565933697814919, 0.0017826557159423828
id, sr, 0.5, 2.002716064453125e-05
id, sv, 0.503069121964238, 0.0002777576446533203
id, ru, 0.5212765957446809, 1.9550323486328125e-05
id, zh, 0.5425531914893617, 1.5735626220703125e-05
id, hu, 0.5227272727272727, 1.4781951904296875e-05
id, ko, 0.5168539325842697, 1.4066696166992188e-05
id, union, 0.5053334102028998, 0.0024976730346679688
fr, fr, 1.0, 2.5987625122070312e-05
fr, el, 0.6987951807228916, 1.3113021850585938e-05
fr, es, 0.56, 1.5020370483398438e-05
fr, pl, 0.7540983606557377, 1.5020370483398438e-05
fr, vi, 0.7, 1.1682510375976562e-05
fr, de, 0.5296052631578947, 4.6253204345703125e-05
fr, nl, 0.5529411764705883, 1.5974044799804688e-05
fr, pt, 0.7474747474747475, 1.2636184692382812e-05
fr, ro, 0.6829268292682926, 1.1205673217773438e-05
fr, ja, 0.7692307692307692, 1.3589859008789062e-05
fr, simple, 0.7160493827160493, 1.0967254638671875e-05
fr, it, 0.5494505494505494, 8.559226989746094e-05
fr, he, 0.6835443037974683, 1.2874603271484375e-05
fr, da, 0.5242718446601942, 1.5974044799804688e-05
fr, en, 0.5327635327635328, 0.0016999244689941406
fr, sr, 0.6835443037974683, 3.3855438232421875e-05
fr, sv, 0.5021482277121375, 0.0002956390380859375
fr, ru, 0.53125, 1.6927719116210938e-05
fr, zh, 0.72, 1.3828277587890625e-05
fr, hu, 0.7294117647058823, 1.239776611328125e-05
fr, ko, 0.696629213483146, 1.239776611328125e-05
fr, union, 0.5032306163021869, 0.0023148059844970703
el, el, 1.0, 1.430511474609375e-05
el, es, 0.5277777777777778, 1.3113021850585938e-05
el, pl, 0.7301587301587302, 1.3113021850585938e-05
el, vi, 0.6666666666666666, 1.0728836059570312e-05
el, de, 0.5054945054945055, 4.2438507080078125e-05
el, nl, 0.5217391304347826, 1.3589859008789062e-05
el, pt, 0.7368421052631579, 1.1444091796875e-05
el, ro, 0.7692307692307692, 9.775161743164062e-06
el, ja, 0.7096774193548386, 1.239776611328125e-05
el, simple, 0.75, 1.049041748046875e-05
el, it, 0.5192307692307692, 8.296966552734375e-05
el, he, 0.8, 1.0728836059570312e-05
el, da, 0.5166666666666666, 1.3113021850585938e-05
el, en, 0.5046153846153846, 0.0015864372253417969
el, sr, 0.6666666666666666, 1.3828277587890625e-05
el, sv, 0.5002708559046587, 0.00024771690368652344
el, ru, 0.55, 1.4066696166992188e-05
el, zh, 0.7428571428571428, 1.1205673217773438e-05
el, hu, 0.7272727272727273, 1.0728836059570312e-05
el, ko, 0.7272727272727273, 1.0251998901367188e-05
el, union, 0.5003749062734316, 0.002339601516723633
es, es, 1.0, 2.2411346435546875e-05
es, pl, 0.5625, 1.5497207641601562e-05
es, vi, 0.5294117647058824, 1.2636184692382812e-05
es, de, 0.5206896551724138, 4.5299530029296875e-05
es, nl, 0.536231884057971, 1.621246337890625e-05
es, pt, 0.5869565217391304, 5.2928924560546875e-05
es, ro, 0.5142857142857143, 1.4066696166992188e-05
es, ja, 0.5555555555555556, 1.621246337890625e-05
es, simple, 0.5135135135135135, 1.2636184692382812e-05
es, it, 0.5882352941176471, 0.00010061264038085938
es, he, 0.5151515151515151, 1.3113021850585938e-05
es, da, 0.5301204819277109, 1.7642974853515625e-05
es, en, 0.522229171152144, 0.0016720294952392578
es, sr, 0.5, 1.621246337890625e-05
es, sv, 0.5016181229773462, 0.0002696514129638672
es, ru, 0.5581395348837209, 1.6927719116210938e-05
es, zh, 0.5416666666666666, 1.33514404296875e-05
es, hu, 0.5526315789473684, 1.239776611328125e-05
es, ko, 0.5526315789473684, 1.239776611328125e-05
es, union, 0.5021628911722905, 0.002290487289428711
pl, pl, 1.0, 2.4557113647460938e-05
pl, vi, 0.7096774193548386, 1.2874603271484375e-05
pl, de, 0.5183946488294314, 4.696846008300781e-05
pl, nl, 0.5324675324675325, 1.6689300537109375e-05
pl, pt, 0.7654320987654322, 1.33514404296875e-05
pl, ro, 0.6875, 1.1682510375976562e-05
pl, ja, 0.7428571428571428, 1.4066696166992188e-05
pl, simple, 0.6865671641791045, 1.1920928955078125e-05
pl, it, 0.5569620253164557, 8.559226989746094e-05
pl, he, 0.6885245901639344, 1.1920928955078125e-05
pl, da, 0.5217391304347826, 1.52587890625e-05
pl, en, 0.523121387283237, 0.0015773773193359375
pl, sr, 0.6666666666666666, 1.621246337890625e-05
pl, sv, 0.5014796879203659, 0.0002570152282714844
pl, ru, 0.5384615384615384, 1.6689300537109375e-05
pl, zh, 0.7317073170731707, 1.3113021850585938e-05
pl, hu, 0.7462686567164178, 1.2636184692382812e-05
pl, ko, 0.7246376811594204, 1.1682510375976562e-05
pl, union, 0.5024888003982081, 0.0022749900817871094
vi, vi, 1.0, 1.430511474609375e-05
vi, de, 0.5018315018315018, 4.267692565917969e-05
vi, nl, 0.5111111111111111, 1.3113021850585938e-05
vi, pt, 0.7428571428571428, 1.1205673217773438e-05
vi, ro, 0.6666666666666666, 1.0013580322265625e-05
vi, ja, 0.7118644067796611, 1.2636184692382812e-05
vi, simple, 0.6666666666666666, 1.0251998901367188e-05
vi, it, 0.52, 8.225440979003906e-05
vi, he, 0.6666666666666666, 1.049041748046875e-05
vi, da, 0.5084745762711864, 1.3589859008789062e-05
vi, en, 0.5030864197530864, 0.010717391967773438
vi, sr, 0.6666666666666666, 2.765655517578125e-05
