Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.00022149085998535156
fr, tr, 0.0, 0.00022149085998535156
fr, es, 0.0, 0.00022149085998535156
fr, pl, 1.0, 0.00012135505676269531
fr, de, 1.0, 0.00010776519775390625
fr, nl, 1.0, 0.0001289844512939453
fr, pt, 1.0, 0.00014519691467285156
fr, ja, 0.0, 0.00014519691467285156
fr, it, 1.0, 0.00010895729064941406
fr, he, 0.0, 0.00010895729064941406
fr, en, 1.0, 0.00010895729064941406
fr, sv, 0.0, 0.00010895729064941406
fr, ru, 0.0, 0.00010895729064941406
tr, tr, 1.0, 0.0001270771026611328
tr, es, 0.0, 0.0001270771026611328
tr, pl, 0.0, 0.0001270771026611328
tr, de, 1.0, 0.00011277198791503906
tr, nl, 0.0, 0.00011277198791503906
tr, pt, 0.0, 0.00011277198791503906
tr, ja, 0.0, 0.00011277198791503906
tr, it, 1.0, 0.00016880035400390625
tr, he, 1.0, 0.00012230873107910156
tr, en, 1.0, 0.00011205673217773438
tr, sv, 0.0, 0.00011205673217773438
tr, ru, 1.0, 0.00011205673217773438
es, es, 1.0, 0.000110626220703125
es, pl, 0.0, 0.000110626220703125
es, de, 1.0, 0.00010824203491210938
es, nl, 0.0, 0.00010824203491210938
es, pt, 0.0, 0.00010824203491210938
es, ja, 0.0, 0.00010824203491210938
es, it, 1.0, 0.00010895729064941406
es, he, 1.0, 0.00010371208190917969
es, en, 1.0, 0.00015234947204589844
es, sv, 1.0, 0.00010418891906738281
es, ru, 1.0, 9.894371032714844e-05
pl, pl, 1.0, 0.00012421607971191406
pl, de, 1.0, 0.0001087188720703125
pl, nl, 1.0, 0.00010752677917480469
pl, pt, 1.0, 0.00010657310485839844
pl, ja, 1.0, 0.00010156631469726562
pl, it, 1.0, 0.00010776519775390625
pl, he, 1.0, 0.0001506805419921875
pl, en, 1.0, 0.00011205673217773438
pl, sv, 0.0, 0.00011205673217773438
pl, ru, 1.0, 0.00010752677917480469
de, de, 1.0, 0.00015306472778320312
de, nl, 1.0, 0.00010919570922851562
de, pt, 1.0, 0.00011038780212402344
de, ja, 1.0, 0.00010776519775390625
de, it, 1.0, 0.00011777877807617188
de, he, 1.0, 0.00014901161193847656
de, en, 1.0, 0.0001327991485595703
de, sv, 1.0, 0.00011420249938964844
de, ru, 1.0, 0.00011563301086425781
nl, nl, 1.0, 0.00011014938354492188
nl, pt, 1.0, 0.0001068115234375
nl, ja, 0.0, 0.0001068115234375
nl, it, 1.0, 0.00010776519775390625
nl, he, 0.0, 0.00010776519775390625
nl, en, 1.0, 0.00011157989501953125
nl, sv, 0.0, 0.00011157989501953125
nl, ru, 0.0, 0.00011157989501953125
pt, pt, 1.0, 0.00015807151794433594
pt, ja, 0.0, 0.00015807151794433594
pt, it, 1.0, 0.00011110305786132812
pt, he, 0.0, 0.00011110305786132812
pt, en, 1.0, 0.00010657310485839844
pt, sv, 0.0, 0.00010657310485839844
pt, ru, 0.0, 0.00010657310485839844
ja, ja, 1.0, 0.00010776519775390625
ja, it, 1.0, 0.0001049041748046875
ja, he, 1.0, 0.00010204315185546875
ja, en, 1.0, 0.00010180473327636719
ja, sv, 0.0, 0.00010180473327636719
ja, ru, 1.0, 0.00010275840759277344
it, it, 1.0, 0.0001595020294189453
it, he, 1.0, 0.0001404285430908203
it, en, 1.0, 0.00012087821960449219
it, sv, 1.0, 0.00011348724365234375
it, ru, 1.0, 0.0001239776611328125
he, he, 1.0, 0.00013589859008789062
he, en, 1.0, 0.00012445449829101562
he, sv, 1.0, 0.00011467933654785156
he, ru, 1.0, 0.00012159347534179688
en, en, 1.0, 0.00017952919006347656
en, sv, 1.0, 0.00010943412780761719
en, ru, 1.0, 0.00015473365783691406
sv, sv, 1.0, 0.00011181831359863281
sv, ru, 1.0, 0.00010848045349121094
ru, ru, 1.0, 0.00012493133544921875
