Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 8.344650268554688e-05
fr, de, 1.0, 2.1696090698242188e-05
fr, ml, 1.0, 1.7642974853515625e-05
fr, pt, 1.0, 1.7404556274414062e-05
fr, union, 1.0, 1.6689300537109375e-05
de, de, 1.0, 1.5974044799804688e-05
de, ml, 1.0, 1.6450881958007812e-05
de, pt, 1.0, 1.5735626220703125e-05
de, union, 1.0, 1.621246337890625e-05
ml, ml, 1.0, 1.5735626220703125e-05
ml, pt, 1.0, 1.5974044799804688e-05
ml, union, 1.0, 1.5974044799804688e-05
pt, pt, 1.0, 1.5735626220703125e-05
pt, union, 1.0, 1.5735626220703125e-05
union, union, 1.0, 1.5497207641601562e-05
