Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 3.457069396972656e-05
fr, de, 0.0, 1.1682510375976562e-05
fr, ml, 0.0, 1.0013580322265625e-05
fr, pt, 0.0, 9.059906005859375e-06
fr, union, 0.25, 9.5367431640625e-06
de, de, 1.0, 8.106231689453125e-06
de, ml, 0.0, 8.344650268554688e-06
de, pt, 0.0, 8.344650268554688e-06
de, union, 0.25, 8.821487426757812e-06
ml, ml, 1.0, 8.106231689453125e-06
ml, pt, 0.0, 7.867813110351562e-06
ml, union, 0.25, 8.58306884765625e-06
pt, pt, 1.0, 7.867813110351562e-06
pt, union, 0.25, 7.867813110351562e-06
union, union, 1.0, 8.58306884765625e-06
