Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0008919239044189453
id, fr, 0.34524847428073235, 0.001135110855102539
id, mr, 0.0, 4.458427429199219e-05
id, tr, 0.08828828828828829, 0.0004897117614746094
id, lv, 0.04838709677419355, 8.606910705566406e-05
id, el, 0.0, 0.000118255615234375
id, es, 0.14082503556187767, 0.0006134510040283203
id, pl, 0.12857142857142856, 0.0004923343658447266
id, vi, 0.25622775800711745, 0.0002894401550292969
id, de, 0.15584415584415584, 0.0008151531219482422
id, ml, 0.0, 7.224082946777344e-05
id, sh, 0.14395393474088292, 0.0005056858062744141
id, nl, 0.17536534446764093, 0.00046539306640625
id, si, 0.0, 3.7670135498046875e-05
id, pt, 0.2815198618307427, 0.0005216598510742188
id, ro, 0.07323943661971831, 0.00029015541076660156
id, ja, 0.0, 0.0002779960632324219
id, simple, 0.17391304347826086, 0.00010538101196289062
id, it, 0.37618636755823986, 0.0012493133544921875
id, ceb, 0.010416666666666666, 0.00011539459228515625
id, he, 0.0, 0.0001289844512939453
id, da, 0.06928838951310862, 0.0004127025604248047
id, en, 0.2481060606060606, 0.002917766571044922
id, sr, 0.008771929824561403, 0.00011420249938964844
id, sv, 0.13700787401574804, 0.0005109310150146484
id, ckb, 0.0, 2.288818359375e-05
id, ru, 0.0, 0.00035119056701660156
id, hi, 0.0, 6.246566772460938e-05
id, arz, 0.0, 6.0558319091796875e-05
id, bs, 0.12307692307692308, 8.58306884765625e-05
id, te, 0.0, 2.6941299438476562e-05
id, zh, 0.0, 0.00017523765563964844
id, mk, 0.0, 0.00014328956604003906
id, hu, 0.3762962962962963, 0.0006568431854248047
id, ko, 0.0, 0.00011444091796875
id, war, 0.0, 6.914138793945312e-05
fr, fr, 1.0, 0.004759550094604492
fr, mr, 0.0, 6.198883056640625e-05
fr, tr, 0.13768115942028986, 0.0013954639434814453
fr, lv, 0.042105263157894736, 0.00016307830810546875
fr, el, 0.0, 0.0004858970642089844
fr, es, 0.1284246575342466, 0.0020062923431396484
fr, pl, 0.1543661971830986, 0.0016102790832519531
fr, vi, 0.2249690976514215, 0.0007309913635253906
fr, de, 0.1596945551128818, 0.0030629634857177734
fr, ml, 0.0, 0.00012063980102539062
fr, sh, 0.22529313232830822, 0.001094818115234375
fr, nl, 0.18312985571587126, 0.0016863346099853516
fr, si, 0.0, 2.4557113647460938e-05
fr, pt, 0.22094298245614036, 0.0018885135650634766
fr, ro, 0.23121387283236994, 0.0006160736083984375
fr, ja, 0.0, 0.0008149147033691406
fr, simple, 0.14468085106382977, 0.00022268295288085938
fr, it, 0.2758328627893845, 0.0021572113037109375
fr, ceb, 0.002506265664160401, 0.00017523765563964844
fr, he, 0.0, 0.00032138824462890625
fr, da, 0.2007125890736342, 0.0004115104675292969
fr, en, 0.19883853048857467, 0.004897117614746094
fr, sr, 0.0017211703958691911, 0.00025010108947753906
fr, sv, 0.1404833836858006, 0.0009942054748535156
fr, ckb, 0.0, 3.0279159545898438e-05
fr, ru, 0.0027578599007170436, 0.001417398452758789
fr, hi, 0.0, 0.00012803077697753906
fr, arz, 0.0, 0.00018358230590820312
fr, bs, 0.20754716981132076, 0.0001354217529296875
fr, te, 0.0, 5.53131103515625e-05
fr, zh, 0.0, 0.0007352828979492188
fr, mk, 0.0, 0.00030517578125
fr, hu, 0.3433696348494555, 0.0009303092956542969
fr, ko, 0.0, 0.0002472400665283203
fr, war, 0.008695652173913044, 6.842613220214844e-05
mr, mr, 0.0, 1.1682510375976562e-05
mr, tr, 0.0, 3.7670135498046875e-05
mr, lv, 0.0, 1.1444091796875e-05
mr, el, 0.0, 1.0251998901367188e-05
mr, es, 0.0, 2.9087066650390625e-05
mr, pl, 0.0, 2.3126602172851562e-05
mr, vi, 0.0, 1.9550323486328125e-05
mr, de, 0.0, 3.814697265625e-05
mr, ml, 0.0, 1.0013580322265625e-05
mr, sh, 0.0, 2.4080276489257812e-05
mr, nl, 0.0, 2.4557113647460938e-05
mr, si, 0.0, 7.62939453125e-06
mr, pt, 0.0, 3.147125244140625e-05
