Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0007736682891845703
id, fr, 0.2518248175182482, 0.0009958744049072266
id, mr, 0.0, 3.0279159545898438e-05
id, tr, 0.10273972602739725, 0.00018358230590820312
id, lv, 0.0, 3.409385681152344e-05
id, el, 0.0, 6.437301635742188e-05
id, es, 0.10676156583629894, 0.0002617835998535156
id, pl, 0.2, 0.00013065338134765625
id, vi, 0.0, 0.00011444091796875
id, de, 0.34831460674157305, 0.0003840923309326172
id, ml, 0.0, 6.198883056640625e-05
id, sh, 0.06521739130434782, 7.963180541992188e-05
id, nl, 0.15913978494623657, 0.0004334449768066406
id, si, 0.0, 3.147125244140625e-05
id, pt, 0.009345794392523364, 0.00018715858459472656
id, ro, 0.14444444444444443, 0.00011301040649414062
id, ja, 0.0, 0.00013566017150878906
id, simple, 0.18181818181818182, 7.224082946777344e-05
id, it, 0.20098039215686275, 0.0002415180206298828
id, ceb, 0.0, 1.3828277587890625e-05
id, he, 0.0, 0.00021195411682128906
id, da, 0.08108108108108109, 0.00010347366333007812
id, en, 0.2732447817836812, 0.0013592243194580078
id, sr, 0.02054794520547945, 0.00010919570922851562
id, sv, 0.22702702702702704, 0.00015854835510253906
id, ckb, 0.0, 1.5974044799804688e-05
id, ru, 0.0, 0.00020265579223632812
id, hi, 0.0, 6.961822509765625e-05
id, arz, 0.0, 1.4066696166992188e-05
id, bs, 0.26666666666666666, 2.574920654296875e-05
id, te, 0.0, 1.239776611328125e-05
id, zh, 0.0, 0.00016617774963378906
id, mk, 0.0, 2.574920654296875e-05
id, hu, 0.0, 4.744529724121094e-05
id, ko, 0.0, 9.441375732421875e-05
id, war, 0.09090909090909091, 3.123283386230469e-05
fr, fr, 1.0, 0.05823397636413574
fr, mr, 0.0, 2.6702880859375e-05
fr, tr, 0.029714285714285714, 0.0007152557373046875
fr, lv, 0.0, 3.4809112548828125e-05
fr, el, 0.0, 9.298324584960938e-05
fr, es, 0.013455069678039404, 0.0018124580383300781
fr, pl, 0.17475728155339806, 0.0003101825714111328
fr, vi, 0.0, 0.0001888275146484375
fr, de, 0.2964169381107492, 0.0021021366119384766
fr, ml, 0.0, 6.651878356933594e-05
fr, sh, 0.1095890410958904, 8.392333984375e-05
fr, nl, 0.27155599603567887, 0.0009925365447998047
fr, si, 0.0, 3.9577484130859375e-05
fr, pt, 0.00258732212160414, 0.0005919933319091797
fr, ro, 0.059322033898305086, 0.00022864341735839844
fr, ja, 0.0, 0.0012264251708984375
fr, simple, 0.19444444444444445, 8.440017700195312e-05
fr, it, 0.15731370745170192, 0.0012125968933105469
fr, ceb, 0.0, 2.09808349609375e-05
fr, he, 0.0, 0.001810312271118164
fr, da, 0.07333333333333333, 0.0001633167266845703
fr, en, 0.3548090197883111, 0.018307209014892578
fr, sr, 0.011627906976744186, 0.000240325927734375
fr, sv, 0.1903114186851211, 0.0002715587615966797
fr, ckb, 0.0, 3.0517578125e-05
fr, ru, 0.0, 0.0015895366668701172
fr, hi, 0.0, 0.0002033710479736328
fr, arz, 0.0, 2.4557113647460938e-05
fr, bs, 0.0, 5.245208740234375e-05
fr, te, 0.0, 2.384185791015625e-05
fr, zh, 0.0, 0.0006279945373535156
fr, mk, 0.0, 5.7697296142578125e-05
fr, hu, 0.0, 0.00014638900756835938
fr, ko, 0.0, 0.00023674964904785156
fr, war, 0.0, 3.504753112792969e-05
mr, mr, 0.0, 1.6450881958007812e-05
mr, tr, 0.0, 2.2172927856445312e-05
mr, lv, 0.0, 1.049041748046875e-05
mr, el, 0.0, 1.0251998901367188e-05
mr, es, 0.0, 2.5987625122070312e-05
mr, pl, 0.0, 1.7642974853515625e-05
mr, vi, 0.0, 1.33514404296875e-05
mr, de, 0.0, 3.361701965332031e-05
mr, ml, 0.0, 1.4543533325195312e-05
mr, sh, 0.0, 1.2159347534179688e-05
mr, nl, 0.0, 3.5762786865234375e-05
mr, si, 0.0, 1.3828277587890625e-05
mr, pt, 0.0, 1.3828277587890625e-05
mr, ro, 0.0, 1.5020370483398438e-05
mr, ja, 0.0, 1.239776611328125e-05
mr, simple, 0.0, 1.1920928955078125e-05
mr, it, 0.0, 3.2901763916015625e-05
mr, ceb, 0.0, 7.867813110351562e-06
mr, he, 0.0, 1.2874603271484375e-05
mr, da, 0.0, 1.4543533325195312e-05
mr, en, 0.0, 6.794929504394531e-05
mr, sr, 0.0, 1.52587890625e-05
mr, sv, 0.0, 2.288818359375e-05
mr, ckb, 0.0, 1.2159347534179688e-05
mr, ru, 0.0, 1.1682510375976562e-05
mr, hi, 0.0, 1.1920928955078125e-05
mr, arz, 0.0, 5.7220458984375e-06
mr, bs, 0.0, 5.4836273193359375e-06
mr, te, 0.0, 1.0013580322265625e-05
mr, zh, 0.0, 1.1205673217773438e-05
mr, mk, 0.0, 9.5367431640625e-06
mr, hu, 0.0, 1.049041748046875e-05
mr, ko, 0.0, 1.049041748046875e-05
mr, war, 0.0, 9.775161743164062e-06
tr, tr, 1.0, 0.00038051605224609375
tr, lv, 0.0, 2.6464462280273438e-05
tr, el, 0.0, 5.14984130859375e-05
tr, es, 0.0880503144654088, 0.00021076202392578125
tr, pl, 0.19718309859154928, 9.202957153320312e-05
tr, vi, 0.0, 7.009506225585938e-05
tr, de, 0.056338028169014086, 0.0002548694610595703
tr, ml, 0.0, 4.9114227294921875e-05
tr, sh, 0.1, 6.699562072753906e-05
tr, nl, 0.15498154981549817, 0.00028634071350097656
tr, si, 0.0, 3.838539123535156e-05
tr, pt, 0.0, 0.00012493133544921875
tr, ro, 0.11578947368421053, 0.00010180473327636719
tr, ja, 0.0, 7.581710815429688e-05
tr, simple, 0.12903225806451613, 5.555152893066406e-05
tr, it, 0.10483870967741936, 0.0001571178436279297
tr, ceb, 0.0, 1.6927719116210938e-05
tr, he, 0.0, 0.0001087188720703125
tr, da, 0.22857142857142856, 9.584426879882812e-05
tr, en, 0.04554655870445344, 0.004512786865234375
tr, sr, 0.02666666666666667, 9.560585021972656e-05
tr, sv, 0.20833333333333334, 0.000141143798828125
tr, ckb, 0.0, 2.384185791015625e-05
tr, ru, 0.0, 0.0001723766326904297
tr, hi, 0.0, 8.654594421386719e-05
tr, arz, 0.0, 1.811981201171875e-05
tr, bs, 0.0, 3.337860107421875e-05
tr, te, 0.0, 1.9788742065429688e-05
tr, zh, 0.0, 0.000102996826171875
tr, mk, 0.0, 2.5987625122070312e-05
tr, hu, 0.0, 6.651878356933594e-05
tr, ko, 0.0, 7.724761962890625e-05
tr, war, 0.25, 2.09808349609375e-05
lv, lv, 0.0, 1.8835067749023438e-05
lv, el, 0.0, 1.1444091796875e-05
lv, es, 0.0, 3.504753112792969e-05
lv, pl, 0.0, 1.8835067749023438e-05
lv, vi, 0.0, 1.4543533325195312e-05
lv, de, 0.0, 4.935264587402344e-05
lv, ml, 0.0, 1.4543533325195312e-05
lv, sh, 0.0, 2.9325485229492188e-05
lv, nl, 0.0, 5.412101745605469e-05
lv, si, 0.0, 1.4543533325195312e-05
lv, pt, 0.0, 1.9311904907226562e-05
lv, ro, 0.0, 2.0742416381835938e-05
lv, ja, 0.0, 1.239776611328125e-05
lv, simple, 0.0, 1.5974044799804688e-05
lv, it, 0.0, 3.337860107421875e-05
lv, ceb, 0.0, 1.52587890625e-05
lv, he, 0.0, 1.52587890625e-05
lv, da, 0.0, 2.193450927734375e-05
lv, en, 0.0, 7.700920104980469e-05
lv, sr, 0.0, 1.8358230590820312e-05
lv, sv, 0.0, 3.361701965332031e-05
lv, ckb, 0.0, 1.2159347534179688e-05
lv, ru, 0.0, 1.6450881958007812e-05
lv, hi, 0.0, 1.2159347534179688e-05
lv, arz, 0.0, 5.9604644775390625e-06
lv, bs, 0.0, 1.2159347534179688e-05
lv, te, 0.0, 1.049041748046875e-05
lv, zh, 0.0, 1.430511474609375e-05
lv, mk, 0.0, 1.1205673217773438e-05
lv, hu, 0.0, 1.049041748046875e-05
lv, ko, 0.0, 1.1444091796875e-05
lv, war, 0.0, 1.239776611328125e-05
el, el, 0.0, 2.2649765014648438e-05
el, es, 0.0, 6.890296936035156e-05
el, pl, 0.0, 5.650520324707031e-05
el, vi, 0.0, 2.0265579223632812e-05
el, de, 0.0, 5.698204040527344e-05
el, ml, 0.0, 1.621246337890625e-05
el, sh, 0.0, 3.075599670410156e-05
el, nl, 0.0, 0.00013780593872070312
el, si, 0.0, 1.5974044799804688e-05
el, pt, 0.0, 2.2172927856445312e-05
el, ro, 0.0, 4.2438507080078125e-05
el, ja, 0.0, 1.7404556274414062e-05
el, simple, 0.0, 2.574920654296875e-05
el, it, 0.0, 6.413459777832031e-05
el, ceb, 0.0, 7.867813110351562e-06
el, he, 0.0, 1.6689300537109375e-05
el, da, 0.0, 4.3392181396484375e-05
el, en, 0.0, 0.0002849102020263672
el, sr, 0.0, 2.8848648071289062e-05
el, sv, 0.0, 4.863739013671875e-05
el, ckb, 0.0, 1.6689300537109375e-05
el, ru, 0.0, 2.002716064453125e-05
el, hi, 0.0, 1.8835067749023438e-05
el, arz, 0.0, 6.4373016357421875e-06
el, bs, 0.0, 1.6689300537109375e-05
el, te, 0.0, 1.4066696166992188e-05
el, zh, 0.0, 2.2172927856445312e-05
el, mk, 0.0, 1.4543533325195312e-05
el, hu, 0.0, 1.811981201171875e-05
el, ko, 0.0, 1.8835067749023438e-05
el, war, 0.0, 1.3589859008789062e-05
es, es, 1.0, 0.0012297630310058594
es, pl, 0.08461538461538462, 0.0001544952392578125
es, vi, 0.0, 0.00010991096496582031
es, de, 0.027285129604365622, 0.0006930828094482422
es, ml, 0.0, 6.365776062011719e-05
es, sh, 0.06756756756756757, 9.179115295410156e-05
es, nl, 0.039440203562340966, 0.0007154941558837891
es, si, 0.0, 4.076957702636719e-05
es, pt, 0.0055248618784530384, 0.00024962425231933594
es, ro, 0.0546875, 0.0001628398895263672
es, ja, 0.0, 0.00012254714965820312
es, simple, 0.12727272727272726, 8.96453857421875e-05
es, it, 0.0673469387755102, 0.00040984153747558594
es, ceb, 0.0, 1.7642974853515625e-05
es, he, 0.0, 9.846687316894531e-05
es, da, 0.10576923076923077, 0.0001385211944580078
es, en, 0.03062148940025367, 0.0050563812255859375
es, sr, 0.011363636363636364, 0.00013017654418945312
es, sv, 0.045936395759717315, 0.00022292137145996094
es, ckb, 0.0, 2.384185791015625e-05
es, ru, 0.0, 0.00018024444580078125
es, hi, 0.0, 8.440017700195312e-05
es, arz, 0.0, 1.5020370483398438e-05
es, bs, 0.14285714285714285, 3.4809112548828125e-05
es, te, 0.0, 1.8596649169921875e-05
es, zh, 0.007575757575757576, 0.00013375282287597656
es, mk, 0.0, 2.9087066650390625e-05
es, hu, 0.0, 5.91278076171875e-05
es, ko, 0.0, 9.250640869140625e-05
es, war, 0.4, 2.1696090698242188e-05
