Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0006723403930664062
id, fr, 0.0916214587100663, 0.009662151336669922
id, mr, 0.03829787234042553, 0.0003674030303955078
id, tr, 0.17098445595854922, 0.0004642009735107422
id, lv, 0.04727272727272727, 0.00028705596923828125
id, el, 0.1423487544483986, 0.0002880096435546875
id, es, 0.09586206896551724, 0.00078582763671875
id, pl, 0.17223650385604114, 0.0003952980041503906
id, vi, 0.19435736677115986, 0.00030875205993652344
id, de, 0.10459433040078202, 0.0017714500427246094
id, ml, 0.08984375, 0.0002961158752441406
id, sh, 0.1392857142857143, 0.0003197193145751953
id, nl, 0.12962962962962962, 0.0017142295837402344
id, si, 0.0728744939271255, 0.00029277801513671875
id, pt, 0.18543046357615894, 0.0003402233123779297
id, ro, 0.19076923076923077, 0.00034809112548828125
id, ja, 0.17659574468085107, 0.00030612945556640625
id, simple, 0.11070110701107011, 0.0003018379211425781
id, it, 0.14007782101167315, 0.0017664432525634766
id, ceb, 0.008695652173913044, 0.0003039836883544922
id, he, 0.18509615384615385, 0.00031447410583496094
id, da, 0.10702341137123746, 0.0003933906555175781
id, en, 0.05375325597916173, 0.07920646667480469
id, sr, 0.23376623376623376, 0.0004189014434814453
id, sv, 0.15296803652968036, 0.0006310939788818359
id, ckb, 0.042735042735042736, 0.0003039836883544922
id, ru, 0.16899618805590852, 0.0003514289855957031
id, hi, 0.14201183431952663, 0.00032401084899902344
id, arz, 0.01858736059479554, 0.0003082752227783203
id, bs, 0.06854838709677419, 0.0003135204315185547
id, te, 0.02553191489361702, 0.00029850006103515625
id, zh, 0.20342205323193915, 0.00035572052001953125
id, mk, 0.0967741935483871, 0.00031375885009765625
id, hu, 0.13897280966767372, 0.0003039836883544922
id, ko, 0.22063037249283668, 0.0003192424774169922
id, war, 0.03896103896103896, 0.00030803680419921875
id, union, 0.034276305942224215, 0.09808897972106934
fr, fr, 1.0, 0.019257307052612305
fr, mr, 0.00630119722747322, 0.009266138076782227
fr, tr, 0.07058125741399762, 0.009619474411010742
fr, lv, 0.013588634959851761, 0.009217262268066406
fr, el, 0.041044776119402986, 0.009909868240356445
fr, es, 0.17351416035101716, 0.009984493255615234
fr, pl, 0.08, 0.008984088897705078
fr, vi, 0.05860805860805861, 0.009010791778564453
fr, de, 0.1410845588235294, 0.011090755462646484
fr, ml, 0.02127659574468085, 0.008861780166625977
fr, sh, 0.03722084367245657, 0.008764028549194336
fr, nl, 0.09391395592864638, 0.01112985610961914
fr, si, 0.015693659761456372, 0.009842157363891602
fr, pt, 0.1386901485965878, 0.010273218154907227
fr, ro, 0.0668301655426119, 0.00917506217956543
fr, ja, 0.11985898942420682, 0.009447097778320312
fr, simple, 0.024783147459727387, 0.009510040283203125
fr, it, 0.1546818416968443, 0.010933160781860352
fr, ceb, 0.0006313131313131314, 0.00947713851928711
fr, he, 0.1027479091995221, 0.010110139846801758
fr, da, 0.03758471965495995, 0.008920431137084961
fr, en, 0.16409227683049146, 0.08982515335083008
fr, sr, 0.06384284837323512, 0.00980520248413086
fr, sv, 0.07027649769585254, 0.009359359741210938
fr, ckb, 0.008207070707070708, 0.009598255157470703
fr, ru, 0.1813929313929314, 0.00937199592590332
fr, hi, 0.050120772946859904, 0.009877443313598633
fr, arz, 0.004941321803582459, 0.00945734977722168
fr, bs, 0.013784461152882205, 0.00948786735534668
fr, te, 0.004410838059231254, 0.009236574172973633
fr, zh, 0.12076749435665914, 0.00950002670288086
fr, mk, 0.03171641791044776, 0.009347915649414062
