Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 7.05718994140625e-05
fr, es, 1.0, 2.3365020751953125e-05
fr, pl, 1.0, 1.8835067749023438e-05
fr, vi, 1.0, 1.7404556274414062e-05
fr, de, 0.7376607345031153, 1.7404556274414062e-05
fr, sh, 0.34329849728585804, 1.7404556274414062e-05
fr, nl, 0.7376607345031153, 1.7642974853515625e-05
fr, pt, 0.37155996140726755, 1.6927719116210938e-05
fr, ja, 1.0, 1.6927719116210938e-05
fr, it, 1.0, 1.6927719116210938e-05
fr, en, 0.34531954254229397, 1.6927719116210938e-05
fr, sr, 0.3751780377121209, 1.71661376953125e-05
fr, sv, 1.0, 1.71661376953125e-05
fr, ru, 1.0, 1.6927719116210938e-05
fr, zh, 1.0, 1.6689300537109375e-05
fr, hu, 1.0, 1.6689300537109375e-05
fr, union, 0.3515750564065447, 1.6927719116210938e-05
es, es, 1.0, 1.6927719116210938e-05
es, pl, 1.0, 1.6689300537109375e-05
es, vi, 1.0, 1.6927719116210938e-05
es, de, 0.7376607345031153, 1.6450881958007812e-05
es, sh, 0.34329849728585804, 1.6689300537109375e-05
es, nl, 0.7376607345031153, 1.6450881958007812e-05
es, pt, 0.37155996140726755, 1.6689300537109375e-05
es, ja, 1.0, 1.6927719116210938e-05
es, it, 1.0, 1.6927719116210938e-05
es, en, 0.34531954254229397, 1.6689300537109375e-05
es, sr, 0.3751780377121209, 1.4781951904296875e-05
es, sv, 1.0, 1.4781951904296875e-05
es, ru, 1.0, 1.4543533325195312e-05
es, zh, 1.0, 1.3828277587890625e-05
es, hu, 1.0, 1.4781951904296875e-05
es, union, 0.3515750564065447, 2.0265579223632812e-05
pl, pl, 1.0, 1.4543533325195312e-05
pl, vi, 1.0, 1.4066696166992188e-05
pl, de, 0.7376607345031153, 1.4781951904296875e-05
pl, sh, 0.34329849728585804, 1.4543533325195312e-05
pl, nl, 0.7376607345031153, 1.430511474609375e-05
pl, pt, 0.37155996140726755, 1.5020370483398438e-05
pl, ja, 1.0, 1.4543533325195312e-05
pl, it, 1.0, 1.4066696166992188e-05
pl, en, 0.34531954254229397, 1.430511474609375e-05
pl, sr, 0.3751780377121209, 1.4781951904296875e-05
pl, sv, 1.0, 1.4543533325195312e-05
pl, ru, 1.0, 1.4781951904296875e-05
pl, zh, 1.0, 1.4066696166992188e-05
pl, hu, 1.0, 1.4781951904296875e-05
pl, union, 0.3515750564065447, 1.4543533325195312e-05
vi, vi, 1.0, 1.4543533325195312e-05
vi, de, 0.7376607345031153, 1.4543533325195312e-05
vi, sh, 0.34329849728585804, 1.4781951904296875e-05
vi, nl, 0.7376607345031153, 1.4781951904296875e-05
vi, pt, 0.37155996140726755, 1.52587890625e-05
vi, ja, 1.0, 1.52587890625e-05
vi, it, 1.0, 1.52587890625e-05
vi, en, 0.34531954254229397, 1.4543533325195312e-05
vi, sr, 0.3751780377121209, 1.4781951904296875e-05
vi, sv, 1.0, 1.4781951904296875e-05
vi, ru, 1.0, 1.4781951904296875e-05
vi, zh, 1.0, 1.52587890625e-05
vi, hu, 1.0, 1.5020370483398438e-05
vi, union, 0.3515750564065447, 1.4543533325195312e-05
de, de, 1.0, 1.4781951904296875e-05
de, sh, 0.3486018747880638, 1.430511474609375e-05
de, nl, 0.655080932105186, 1.4781951904296875e-05
de, pt, 0.36090101045710543, 1.5020370483398438e-05
de, ja, 0.7376607345031153, 1.5020370483398438e-05
de, it, 0.7376607345031153, 1.5020370483398438e-05
de, en, 0.3406548941515963, 1.5497207641601562e-05
de, sr, 0.36369369423468884, 1.4781951904296875e-05
de, sv, 0.7376607345031153, 1.5020370483398438e-05
de, ru, 0.7376607345031153, 1.4781951904296875e-05
de, zh, 0.7376607345031153, 1.52587890625e-05
de, hu, 0.7376607345031153, 1.5020370483398438e-05
de, union, 0.35769166778628914, 1.52587890625e-05
sh, sh, 1.0, 1.4781951904296875e-05
sh, nl, 0.3350940048952102, 1.5020370483398438e-05
sh, pt, 0.4302642921646699, 1.5020370483398438e-05
sh, ja, 0.34329849728585804, 1.5020370483398438e-05
sh, it, 0.34329849728585804, 1.6927719116210938e-05
sh, en, 0.2917106718982453, 1.5497207641601562e-05
sh, sr, 0.43499764290650533, 1.5020370483398438e-05
sh, sv, 0.34329849728585804, 1.52587890625e-05
sh, ru, 0.34329849728585804, 1.5020370483398438e-05
sh, zh, 0.34329849728585804, 1.52587890625e-05
sh, hu, 0.34329849728585804, 1.52587890625e-05
sh, union, 0.3241462423556593, 1.5020370483398438e-05
nl, nl, 1.0, 1.5497207641601562e-05
nl, pt, 0.36054200756984267, 1.52587890625e-05
nl, ja, 0.7376607345031153, 1.52587890625e-05
nl, it, 0.7376607345031153, 1.5974044799804688e-05
nl, en, 0.34088310682774786, 1.5497207641601562e-05
nl, sr, 0.3632394086785603, 1.5020370483398438e-05
nl, sv, 0.7376607345031153, 1.52587890625e-05
nl, ru, 0.7376607345031153, 1.52587890625e-05
nl, zh, 0.7376607345031153, 1.52587890625e-05
nl, hu, 0.7376607345031153, 1.52587890625e-05
nl, union, 0.3464398332468843, 1.52587890625e-05
pt, pt, 1.0, 1.5020370483398438e-05
pt, ja, 0.37155996140726755, 1.5020370483398438e-05
pt, it, 0.37155996140726755, 1.5735626220703125e-05
pt, en, 0.28266769373714323, 1.5735626220703125e-05
pt, sr, 0.7717843490133046, 1.52587890625e-05
pt, sv, 0.37155996140726755, 1.5020370483398438e-05
pt, ru, 0.37155996140726755, 1.52587890625e-05
pt, zh, 0.37155996140726755, 1.5497207641601562e-05
pt, hu, 0.37155996140726755, 1.5497207641601562e-05
pt, union, 0.315011300878098, 1.52587890625e-05
ja, ja, 1.0, 1.52587890625e-05
ja, it, 1.0, 1.5020370483398438e-05
ja, en, 0.34531954254229397, 1.5020370483398438e-05
ja, sr, 0.3751780377121209, 1.5497207641601562e-05
ja, sv, 1.0, 1.52587890625e-05
ja, ru, 1.0, 1.5497207641601562e-05
ja, zh, 1.0, 1.52587890625e-05
ja, hu, 1.0, 1.4781951904296875e-05
ja, union, 0.3515750564065447, 1.5020370483398438e-05
it, it, 1.0, 1.5735626220703125e-05
it, en, 0.34531954254229397, 1.5497207641601562e-05
it, sr, 0.3751780377121209, 1.5020370483398438e-05
it, sv, 1.0, 1.5020370483398438e-05
it, ru, 1.0, 1.4781951904296875e-05
