Language1, Language2, SimilarityScore, Time
pt, pt, 0.5, 3.314018249511719e-05
pt, it, 0.25, 1.1444091796875e-05
pt, en, 0.25, 1.0728836059570312e-05
pt, ru, 0.25, 9.5367431640625e-06
pt, union, 0.5, 1.0013580322265625e-05
it, it, 0.5, 8.58306884765625e-06
it, en, 0.0, 8.58306884765625e-06
it, ru, 0.0, 8.821487426757812e-06
it, union, 0.25, 9.298324584960938e-06
en, en, 0.5, 8.58306884765625e-06
en, ru, 0.5, 8.344650268554688e-06
en, union, 0.25, 8.58306884765625e-06
ru, ru, 0.5, 8.344650268554688e-06
ru, union, 0.25, 8.821487426757812e-06
union, union, 0.5, 8.821487426757812e-06
