Language1, Language2, SimilarityScore, Time
id, id, 0.5, 3.170967102050781e-05
id, fr, 0.0, 5.030632019042969e-05
id, mr, 0.0, 1.0728836059570312e-05
id, tr, 0.0, 9.775161743164062e-06
id, el, 0.0, 8.821487426757812e-06
id, es, 0.0, 2.3126602172851562e-05
id, pl, 0.05555555555555555, 1.049041748046875e-05
id, vi, 0.0, 9.059906005859375e-06
id, de, 0.0, 2.2411346435546875e-05
id, ml, 0.0, 8.821487426757812e-06
id, nl, 0.023809523809523808, 1.1682510375976562e-05
id, pt, 0.0, 1.1444091796875e-05
id, ro, 0.0, 9.059906005859375e-06
id, ja, 0.0, 9.298324584960938e-06
id, simple, 0.0, 9.775161743164062e-06
id, it, 0.0, 0.00011086463928222656
id, he, 0.0, 1.239776611328125e-05
id, en, 0.0029239766081871343, 0.00037360191345214844
id, sr, 0.0, 1.1444091796875e-05
id, sv, 0.0, 1.5497207641601562e-05
id, ru, 0.0, 9.775161743164062e-06
id, te, 0.0, 9.298324584960938e-06
id, zh, 0.0, 1.0013580322265625e-05
id, mk, 0.0, 9.5367431640625e-06
id, hu, 0.0, 9.775161743164062e-06
id, ko, 0.0, 9.775161743164062e-06
id, union, 0.0013123359580052493, 0.0005238056182861328
fr, fr, 1.0, 6.747245788574219e-05
fr, mr, 0.0, 3.2901763916015625e-05
fr, tr, 0.014705882352941176, 3.1948089599609375e-05
fr, el, 0.0, 3.170967102050781e-05
fr, es, 0.0425531914893617, 4.5299530029296875e-05
fr, pl, 0.05405405405405406, 3.314018249511719e-05
fr, vi, 0.015625, 3.24249267578125e-05
fr, de, 0.058823529411764705, 4.673004150390625e-05
fr, ml, 0.0, 3.266334533691406e-05
fr, nl, 0.0196078431372549, 3.3855438232421875e-05
fr, pt, 0.07777777777777778, 3.552436828613281e-05
fr, ro, 0.0, 3.1948089599609375e-05
fr, ja, 0.022222222222222223, 3.24249267578125e-05
fr, simple, 0.03125, 3.1948089599609375e-05
fr, it, 0.16927083333333334, 0.000125885009765625
fr, he, 0.015873015873015872, 3.6716461181640625e-05
fr, en, 0.09089325529542922, 0.00037789344787597656
