Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 3.8623809814453125e-05
fr, de, 1.0, 1.33514404296875e-05
fr, it, 1.0, 1.0967254638671875e-05
fr, en, 1.0, 1.0251998901367188e-05
fr, union, 1.0, 1.0013580322265625e-05
de, de, 1.0, 9.298324584960938e-06
de, it, 1.0, 9.775161743164062e-06
de, en, 1.0, 9.775161743164062e-06
de, union, 1.0, 9.5367431640625e-06
it, it, 1.0, 9.5367431640625e-06
it, en, 1.0, 9.775161743164062e-06
it, union, 1.0, 1.0013580322265625e-05
en, en, 1.0, 9.298324584960938e-06
en, union, 1.0, 9.298324584960938e-06
union, union, 1.0, 9.298324584960938e-06
