Language1, Language2, SimilarityScore, Time
id, id, 1.0, 4.5299530029296875e-05
id, fr, 0.2857142857142857, 1.7404556274414062e-05
id, tr, 0.4, 1.4781951904296875e-05
id, lv, 0.2, 1.3113021850585938e-05
id, el, 0.2, 1.2636184692382812e-05
id, es, 0.4, 1.3828277587890625e-05
id, pl, 0.16666666666666666, 1.4543533325195312e-05
id, vi, 0.4, 1.2874603271484375e-05
id, de, 0.2, 1.3589859008789062e-05
id, ml, 0.2, 1.2636184692382812e-05
id, sh, 0.4, 1.1920928955078125e-05
id, nl, 0.2222222222222222, 1.430511474609375e-05
id, pt, 0.21428571428571427, 1.9311904907226562e-05
id, ro, 0.4, 1.430511474609375e-05
id, ja, 0.5, 1.33514404296875e-05
id, simple, 0.4, 1.2874603271484375e-05
id, it, 0.2857142857142857, 1.3589859008789062e-05
id, he, 0.4, 1.2874603271484375e-05
id, da, 0.4, 1.2159347534179688e-05
id, en, 0.25, 3.814697265625e-05
id, sr, 0.4, 1.2874603271484375e-05
id, sv, 0.5, 1.3589859008789062e-05
id, ckb, 0.2, 1.3113021850585938e-05
id, ru, 0.3333333333333333, 1.33514404296875e-05
id, hi, 0.2, 1.2874603271484375e-05
id, bs, 0.14285714285714285, 1.2636184692382812e-05
id, zh, 0.2857142857142857, 1.2636184692382812e-05
id, mk, 0.2, 1.2159347534179688e-05
id, ko, 0.4, 1.2159347534179688e-05
id, union, 0.20833333333333334, 4.7206878662109375e-05
fr, fr, 1.0, 1.1444091796875e-05
fr, tr, 0.15384615384615385, 1.1444091796875e-05
fr, lv, 0.07692307692307693, 9.5367431640625e-06
fr, el, 0.07692307692307693, 9.298324584960938e-06
fr, es, 0.5714285714285714, 1.0251998901367188e-05
fr, pl, 0.29411764705882354, 1.239776611328125e-05
fr, vi, 0.15384615384615385, 9.298324584960938e-06
fr, de, 0.3333333333333333, 1.0013580322265625e-05
fr, ml, 0.07692307692307693, 8.821487426757812e-06
fr, sh, 0.15384615384615385, 9.059906005859375e-06
fr, nl, 0.26666666666666666, 1.1920928955078125e-05
fr, pt, 0.5625, 1.52587890625e-05
fr, ro, 0.15384615384615385, 1.0728836059570312e-05
fr, ja, 0.5384615384615384, 1.0013580322265625e-05
fr, simple, 0.15384615384615385, 9.298324584960938e-06
fr, it, 0.3076923076923077, 1.049041748046875e-05
fr, he, 0.15384615384615385, 9.059906005859375e-06
fr, da, 0.15384615384615385, 9.059906005859375e-06
fr, en, 0.5, 3.0040740966796875e-05
fr, sr, 0.15384615384615385, 9.059906005859375e-06
fr, sv, 0.3076923076923077, 1.0251998901367188e-05
fr, ckb, 0.07692307692307693, 1.0013580322265625e-05
fr, ru, 0.3333333333333333, 9.775161743164062e-06
fr, hi, 0.07692307692307693, 9.298324584960938e-06
fr, bs, 0.14285714285714285, 8.821487426757812e-06
fr, zh, 0.21428571428571427, 9.059906005859375e-06
fr, mk, 0.07692307692307693, 8.821487426757812e-06
fr, ko, 0.15384615384615385, 9.298324584960938e-06
fr, union, 0.5416666666666666, 4.315376281738281e-05
tr, tr, 1.0, 1.1444091796875e-05
tr, lv, 0.5, 9.059906005859375e-06
tr, el, 0.5, 9.5367431640625e-06
tr, es, 0.2222222222222222, 9.775161743164062e-06
tr, pl, 0.2222222222222222, 1.1682510375976562e-05
tr, vi, 1.0, 9.5367431640625e-06
tr, de, 0.2857142857142857, 9.5367431640625e-06
tr, ml, 0.5, 9.775161743164062e-06
tr, sh, 1.0, 9.775161743164062e-06
tr, nl, 0.3333333333333333, 1.0728836059570312e-05
tr, pt, 0.16666666666666666, 1.52587890625e-05
tr, ro, 1.0, 1.0967254638671875e-05
tr, ja, 0.2857142857142857, 9.5367431640625e-06
tr, simple, 1.0, 1.0251998901367188e-05
tr, it, 0.5, 1.1205673217773438e-05
tr, he, 1.0, 9.298324584960938e-06
tr, da, 1.0, 9.5367431640625e-06
tr, en, 0.1, 3.075599670410156e-05
tr, sr, 1.0, 1.0013580322265625e-05
tr, sv, 0.5, 1.1444091796875e-05
tr, ckb, 0.5, 9.5367431640625e-06
tr, ru, 0.2857142857142857, 1.0013580322265625e-05
tr, hi, 0.5, 9.775161743164062e-06
tr, bs, 0.25, 9.775161743164062e-06
tr, zh, 0.5, 9.775161743164062e-06
tr, mk, 0.5, 9.5367431640625e-06
tr, ko, 1.0, 9.5367431640625e-06
tr, union, 0.08333333333333333, 4.076957702636719e-05
lv, lv, 1.0, 9.059906005859375e-06
lv, el, 1.0, 8.344650268554688e-06
lv, es, 0.1111111111111111, 9.5367431640625e-06
lv, pl, 0.1111111111111111, 1.1205673217773438e-05
lv, vi, 0.5, 8.58306884765625e-06
lv, de, 0.14285714285714285, 9.059906005859375e-06
lv, ml, 1.0, 9.298324584960938e-06
lv, sh, 0.5, 8.821487426757812e-06
lv, nl, 0.16666666666666666, 1.0728836059570312e-05
lv, pt, 0.08333333333333333, 1.430511474609375e-05
lv, ro, 0.5, 1.0251998901367188e-05
lv, ja, 0.14285714285714285, 8.821487426757812e-06
lv, simple, 0.5, 8.58306884765625e-06
lv, it, 0.25, 9.5367431640625e-06
lv, he, 0.5, 8.58306884765625e-06
lv, da, 0.5, 8.106231689453125e-06
lv, en, 0.05, 2.7894973754882812e-05
lv, sr, 0.5, 9.059906005859375e-06
lv, sv, 0.25, 1.0728836059570312e-05
lv, ckb, 1.0, 8.821487426757812e-06
lv, ru, 0.14285714285714285, 9.059906005859375e-06
lv, hi, 1.0, 8.106231689453125e-06
lv, bs, 0.3333333333333333, 9.5367431640625e-06
lv, zh, 0.25, 1.0728836059570312e-05
lv, mk, 1.0, 7.867813110351562e-06
lv, ko, 0.5, 8.106231689453125e-06
lv, union, 0.041666666666666664, 4.1484832763671875e-05
el, el, 1.0, 9.059906005859375e-06
el, es, 0.1111111111111111, 9.5367431640625e-06
el, pl, 0.1111111111111111, 1.0967254638671875e-05
el, vi, 0.5, 8.821487426757812e-06
el, de, 0.14285714285714285, 8.821487426757812e-06
el, ml, 1.0, 8.58306884765625e-06
el, sh, 0.5, 8.344650268554688e-06
el, nl, 0.16666666666666666, 1.0728836059570312e-05
el, pt, 0.08333333333333333, 1.4543533325195312e-05
el, ro, 0.5, 1.049041748046875e-05
el, ja, 0.14285714285714285, 9.298324584960938e-06
el, simple, 0.5, 8.106231689453125e-06
el, it, 0.25, 1.0013580322265625e-05
el, he, 0.5, 8.821487426757812e-06
el, da, 0.5, 8.106231689453125e-06
el, en, 0.05, 2.7418136596679688e-05
el, sr, 0.5, 9.059906005859375e-06
el, sv, 0.25, 1.0013580322265625e-05
el, ckb, 1.0, 8.821487426757812e-06
el, ru, 0.14285714285714285, 9.298324584960938e-06
el, hi, 1.0, 8.344650268554688e-06
el, bs, 0.3333333333333333, 9.298324584960938e-06
el, zh, 0.25, 8.106231689453125e-06
el, mk, 1.0, 8.106231689453125e-06
el, ko, 0.5, 7.867813110351562e-06
el, union, 0.041666666666666664, 3.886222839355469e-05
es, es, 1.0, 1.0251998901367188e-05
es, pl, 0.38461538461538464, 1.1682510375976562e-05
es, vi, 0.2222222222222222, 8.821487426757812e-06
es, de, 0.3333333333333333, 9.298324584960938e-06
es, ml, 0.1111111111111111, 9.059906005859375e-06
es, sh, 0.2222222222222222, 8.344650268554688e-06
es, nl, 0.25, 1.049041748046875e-05
es, pt, 0.5, 1.6689300537109375e-05
es, ro, 0.2222222222222222, 1.0967254638671875e-05
es, ja, 0.45454545454545453, 9.298324584960938e-06
es, simple, 0.2222222222222222, 9.059906005859375e-06
es, it, 0.18181818181818182, 1.049041748046875e-05
es, he, 0.2222222222222222, 8.821487426757812e-06
es, da, 0.2222222222222222, 8.58306884765625e-06
es, en, 0.38095238095238093, 2.8133392333984375e-05
es, sr, 0.2222222222222222, 9.5367431640625e-06
es, sv, 0.4444444444444444, 1.0728836059570312e-05
es, ckb, 0.1111111111111111, 8.58306884765625e-06
es, ru, 0.3333333333333333, 1.0013580322265625e-05
es, hi, 0.1111111111111111, 9.298324584960938e-06
es, bs, 0.3333333333333333, 9.059906005859375e-06
es, zh, 0.18181818181818182, 8.821487426757812e-06
es, mk, 0.1111111111111111, 8.344650268554688e-06
es, ko, 0.2222222222222222, 8.344650268554688e-06
es, union, 0.375, 4.029273986816406e-05
pl, pl, 1.0, 1.33514404296875e-05
pl, vi, 0.2222222222222222, 1.0251998901367188e-05
pl, de, 0.45454545454545453, 1.1205673217773438e-05
pl, ml, 0.1111111111111111, 1.0013580322265625e-05
pl, sh, 0.2222222222222222, 1.0251998901367188e-05
pl, nl, 0.6666666666666666, 1.2159347534179688e-05
pl, pt, 0.6153846153846154, 1.5735626220703125e-05
pl, ro, 0.2222222222222222, 1.1444091796875e-05
pl, ja, 0.3333333333333333, 1.0967254638671875e-05
pl, simple, 0.2222222222222222, 1.049041748046875e-05
pl, it, 0.3, 1.1205673217773438e-05
pl, he, 0.2222222222222222, 1.0013580322265625e-05
pl, da, 0.2222222222222222, 1.0251998901367188e-05
pl, en, 0.38095238095238093, 2.8848648071289062e-05
pl, sr, 0.2222222222222222, 1.0251998901367188e-05
pl, sv, 0.3, 1.0967254638671875e-05
pl, ckb, 0.1111111111111111, 1.049041748046875e-05
pl, ru, 0.6, 1.0967254638671875e-05
pl, hi, 0.1111111111111111, 9.775161743164062e-06
pl, bs, 0.2, 1.0728836059570312e-05
pl, zh, 0.3, 1.0251998901367188e-05
pl, mk, 0.1111111111111111, 9.775161743164062e-06
pl, ko, 0.2222222222222222, 1.0251998901367188e-05
pl, union, 0.375, 4.458427429199219e-05
vi, vi, 1.0, 1.049041748046875e-05
vi, de, 0.2857142857142857, 8.58306884765625e-06
vi, ml, 0.5, 8.58306884765625e-06
vi, sh, 1.0, 8.344650268554688e-06
vi, nl, 0.3333333333333333, 1.0013580322265625e-05
vi, pt, 0.16666666666666666, 1.3828277587890625e-05
vi, ro, 1.0, 1.0013580322265625e-05
vi, ja, 0.2857142857142857, 8.58306884765625e-06
vi, simple, 1.0, 8.344650268554688e-06
vi, it, 0.5, 9.5367431640625e-06
vi, he, 1.0, 8.106231689453125e-06
vi, da, 1.0, 7.867813110351562e-06
vi, en, 0.1, 2.7418136596679688e-05
vi, sr, 1.0, 8.58306884765625e-06
vi, sv, 0.5, 8.821487426757812e-06
vi, ckb, 0.5, 8.58306884765625e-06
vi, ru, 0.2857142857142857, 9.059906005859375e-06
vi, hi, 0.5, 8.106231689453125e-06
vi, bs, 0.25, 8.58306884765625e-06
vi, zh, 0.5, 8.821487426757812e-06
vi, mk, 0.5, 7.62939453125e-06
vi, ko, 1.0, 8.344650268554688e-06
vi, union, 0.08333333333333333, 3.886222839355469e-05
de, de, 1.0, 9.775161743164062e-06
de, ml, 0.14285714285714285, 8.344650268554688e-06
de, sh, 0.2857142857142857, 8.344650268554688e-06
de, nl, 0.4444444444444444, 1.0728836059570312e-05
de, pt, 0.35714285714285715, 1.4543533325195312e-05
de, ro, 0.2857142857142857, 1.0251998901367188e-05
de, ja, 0.4, 9.298324584960938e-06
de, simple, 0.2857142857142857, 8.344650268554688e-06
de, it, 0.375, 9.775161743164062e-06
de, he, 0.2857142857142857, 8.58306884765625e-06
de, da, 0.2857142857142857, 8.58306884765625e-06
de, en, 0.17391304347826086, 2.6941299438476562e-05
de, sr, 0.2857142857142857, 9.298324584960938e-06
de, sv, 0.375, 9.775161743164062e-06
de, ckb, 0.14285714285714285, 8.58306884765625e-06
de, ru, 0.4, 9.059906005859375e-06
de, hi, 0.14285714285714285, 8.58306884765625e-06
de, bs, 0.1111111111111111, 8.58306884765625e-06
de, zh, 0.2222222222222222, 9.059906005859375e-06
de, mk, 0.14285714285714285, 2.0503997802734375e-05
de, ko, 0.2857142857142857, 9.298324584960938e-06
de, union, 0.2916666666666667, 4.172325134277344e-05
ml, ml, 1.0, 9.298324584960938e-06
ml, sh, 0.5, 8.344650268554688e-06
ml, nl, 0.16666666666666666, 1.0251998901367188e-05
ml, pt, 0.08333333333333333, 1.3828277587890625e-05
ml, ro, 0.5, 1.0013580322265625e-05
ml, ja, 0.14285714285714285, 8.821487426757812e-06
ml, simple, 0.5, 8.106231689453125e-06
ml, it, 0.25, 9.059906005859375e-06
ml, he, 0.5, 8.821487426757812e-06
ml, da, 0.5, 7.867813110351562e-06
ml, en, 0.05, 2.5987625122070312e-05
ml, sr, 0.5, 8.821487426757812e-06
ml, sv, 0.25, 9.5367431640625e-06
ml, ckb, 1.0, 8.106231689453125e-06
ml, ru, 0.14285714285714285, 8.344650268554688e-06
ml, hi, 1.0, 8.344650268554688e-06
ml, bs, 0.3333333333333333, 8.344650268554688e-06
ml, zh, 0.25, 8.344650268554688e-06
ml, mk, 1.0, 8.106231689453125e-06
ml, ko, 0.5, 8.344650268554688e-06
ml, union, 0.041666666666666664, 3.933906555175781e-05
sh, sh, 1.0, 9.298324584960938e-06
sh, nl, 0.3333333333333333, 1.0967254638671875e-05
sh, pt, 0.16666666666666666, 1.3589859008789062e-05
sh, ro, 1.0, 1.049041748046875e-05
sh, ja, 0.2857142857142857, 8.344650268554688e-06
sh, simple, 1.0, 8.344650268554688e-06
sh, it, 0.5, 9.298324584960938e-06
sh, he, 1.0, 8.58306884765625e-06
sh, da, 1.0, 8.344650268554688e-06
sh, en, 0.1, 2.6941299438476562e-05
sh, sr, 1.0, 8.58306884765625e-06
sh, sv, 0.5, 9.059906005859375e-06
sh, ckb, 0.5, 8.344650268554688e-06
sh, ru, 0.2857142857142857, 8.821487426757812e-06
sh, hi, 0.5, 7.867813110351562e-06
sh, bs, 0.25, 8.344650268554688e-06
sh, zh, 0.5, 8.821487426757812e-06
sh, mk, 0.5, 8.106231689453125e-06
sh, ko, 1.0, 8.344650268554688e-06
sh, union, 0.08333333333333333, 3.8623809814453125e-05
nl, nl, 1.0, 1.2159347534179688e-05
nl, pt, 0.38461538461538464, 1.52587890625e-05
nl, ro, 0.3333333333333333, 1.1682510375976562e-05
nl, ja, 0.3, 1.0251998901367188e-05
nl, simple, 0.3333333333333333, 9.775161743164062e-06
nl, it, 0.42857142857142855, 1.1444091796875e-05
nl, he, 0.3333333333333333, 9.298324584960938e-06
nl, da, 0.3333333333333333, 9.5367431640625e-06
nl, en, 0.3, 2.765655517578125e-05
nl, sr, 0.3333333333333333, 1.0251998901367188e-05
nl, sv, 0.25, 1.0967254638671875e-05
nl, ckb, 0.16666666666666666, 1.0251998901367188e-05
nl, ru, 0.8571428571428571, 1.0728836059570312e-05
nl, hi, 0.16666666666666666, 1.0013580322265625e-05
nl, bs, 0.125, 1.0251998901367188e-05
nl, zh, 0.42857142857142855, 1.049041748046875e-05
nl, mk, 0.16666666666666666, 1.0251998901367188e-05
nl, ko, 0.3333333333333333, 1.0251998901367188e-05
nl, union, 0.25, 4.1961669921875e-05
pt, pt, 1.0, 2.002716064453125e-05
pt, ro, 0.16666666666666666, 1.5735626220703125e-05
pt, ja, 0.46153846153846156, 1.4543533325195312e-05
pt, simple, 0.16666666666666666, 1.3113021850585938e-05
pt, it, 0.23076923076923078, 1.4543533325195312e-05
pt, he, 0.16666666666666666, 1.3589859008789062e-05
pt, da, 0.16666666666666666, 1.3589859008789062e-05
pt, en, 0.5238095238095238, 3.24249267578125e-05
pt, sr, 0.16666666666666666, 1.4066696166992188e-05
pt, sv, 0.3333333333333333, 1.4066696166992188e-05
pt, ckb, 0.08333333333333333, 1.3589859008789062e-05
pt, ru, 0.46153846153846156, 1.4543533325195312e-05
pt, hi, 0.08333333333333333, 1.4066696166992188e-05
pt, bs, 0.25, 1.3589859008789062e-05
pt, zh, 0.14285714285714285, 1.3828277587890625e-05
pt, mk, 0.08333333333333333, 1.3113021850585938e-05
pt, ko, 0.16666666666666666, 1.33514404296875e-05
pt, union, 0.5, 4.553794860839844e-05
ro, ro, 1.0, 1.239776611328125e-05
ro, ja, 0.2857142857142857, 1.0013580322265625e-05
ro, simple, 1.0, 9.298324584960938e-06
ro, it, 0.5, 1.0728836059570312e-05
ro, he, 1.0, 1.0013580322265625e-05
ro, da, 1.0, 9.5367431640625e-06
ro, en, 0.1, 2.765655517578125e-05
ro, sr, 1.0, 1.0251998901367188e-05
ro, sv, 0.5, 1.049041748046875e-05
ro, ckb, 0.5, 9.298324584960938e-06
ro, ru, 0.2857142857142857, 1.0251998901367188e-05
ro, hi, 0.5, 9.5367431640625e-06
ro, bs, 0.25, 9.775161743164062e-06
ro, zh, 0.5, 1.0013580322265625e-05
ro, mk, 0.5, 1.0013580322265625e-05
ro, ko, 1.0, 1.0013580322265625e-05
ro, union, 0.08333333333333333, 4.00543212890625e-05
ja, ja, 1.0, 9.775161743164062e-06
ja, simple, 0.2857142857142857, 8.58306884765625e-06
ja, it, 0.375, 9.775161743164062e-06
ja, he, 0.2857142857142857, 8.106231689453125e-06
ja, da, 0.2857142857142857, 8.58306884765625e-06
ja, en, 0.2857142857142857, 2.6464462280273438e-05
ja, sr, 0.2857142857142857, 8.58306884765625e-06
ja, sv, 0.5714285714285714, 9.775161743164062e-06
ja, ckb, 0.14285714285714285, 8.58306884765625e-06
ja, ru, 0.4, 9.059906005859375e-06
ja, hi, 0.14285714285714285, 8.344650268554688e-06
ja, bs, 0.1111111111111111, 8.58306884765625e-06
ja, zh, 0.2222222222222222, 9.059906005859375e-06
ja, mk, 0.14285714285714285, 8.344650268554688e-06
ja, ko, 0.2857142857142857, 8.58306884765625e-06
ja, union, 0.2916666666666667, 3.886222839355469e-05
simple, simple, 1.0, 8.821487426757812e-06
simple, it, 0.5, 9.775161743164062e-06
simple, he, 1.0, 8.344650268554688e-06
simple, da, 1.0, 8.344650268554688e-06
simple, en, 0.1, 7.462501525878906e-05
simple, sr, 1.0, 1.7404556274414062e-05
simple, sv, 0.5, 1.1205673217773438e-05
simple, ckb, 0.5, 9.059906005859375e-06
simple, ru, 0.2857142857142857, 8.821487426757812e-06
simple, hi, 0.5, 8.58306884765625e-06
simple, bs, 0.25, 8.821487426757812e-06
simple, zh, 0.5, 1.0251998901367188e-05
simple, mk, 0.5, 8.58306884765625e-06
simple, ko, 1.0, 7.62939453125e-06
simple, union, 0.08333333333333333, 4.1961669921875e-05
it, it, 1.0, 1.1444091796875e-05
it, he, 0.5, 1.0013580322265625e-05
it, da, 0.5, 8.821487426757812e-06
it, en, 0.14285714285714285, 2.8371810913085938e-05
it, sr, 0.5, 1.0013580322265625e-05
it, sv, 0.3333333333333333, 9.775161743164062e-06
it, ckb, 0.25, 8.821487426757812e-06
it, ru, 0.375, 9.5367431640625e-06
it, hi, 0.25, 9.059906005859375e-06
it, bs, 0.16666666666666666, 9.059906005859375e-06
it, zh, 0.3333333333333333, 9.5367431640625e-06
it, mk, 0.25, 9.059906005859375e-06
it, ko, 0.5, 9.059906005859375e-06
it, union, 0.16666666666666666, 3.886222839355469e-05
he, he, 1.0, 9.059906005859375e-06
he, da, 1.0, 8.344650268554688e-06
he, en, 0.1, 2.5987625122070312e-05
he, sr, 1.0, 8.58306884765625e-06
he, sv, 0.5, 9.298324584960938e-06
he, ckb, 0.5, 8.106231689453125e-06
he, ru, 0.2857142857142857, 9.5367431640625e-06
he, hi, 0.5, 8.106231689453125e-06
he, bs, 0.25, 8.344650268554688e-06
he, zh, 0.5, 8.106231689453125e-06
he, mk, 0.5, 7.62939453125e-06
he, ko, 1.0, 8.106231689453125e-06
he, union, 0.08333333333333333, 3.8623809814453125e-05
da, da, 1.0, 8.58306884765625e-06
da, en, 0.1, 2.5987625122070312e-05
da, sr, 1.0, 8.821487426757812e-06
da, sv, 0.5, 9.059906005859375e-06
da, ckb, 0.5, 8.58306884765625e-06
da, ru, 0.2857142857142857, 8.344650268554688e-06
da, hi, 0.5, 7.867813110351562e-06
da, bs, 0.25, 8.106231689453125e-06
da, zh, 0.5, 8.106231689453125e-06
da, mk, 0.5, 7.62939453125e-06
da, ko, 1.0, 7.867813110351562e-06
da, union, 0.08333333333333333, 3.838539123535156e-05
en, en, 1.0, 4.7206878662109375e-05
en, sr, 0.1, 2.6464462280273438e-05
en, sv, 0.14285714285714285, 2.6702880859375e-05
en, ckb, 0.05, 2.574920654296875e-05
en, ru, 0.35, 2.6464462280273438e-05
en, hi, 0.05, 2.5033950805664062e-05
en, bs, 0.15, 2.574920654296875e-05
en, zh, 0.2, 2.5272369384765625e-05
en, mk, 0.05, 2.5033950805664062e-05
en, ko, 0.1, 2.4557113647460938e-05
en, union, 0.8333333333333334, 5.7220458984375e-05
sr, sr, 1.0, 9.059906005859375e-06
sr, sv, 0.5, 9.298324584960938e-06
sr, ckb, 0.5, 8.344650268554688e-06
sr, ru, 0.2857142857142857, 8.344650268554688e-06
sr, hi, 0.5, 7.867813110351562e-06
sr, bs, 0.25, 8.58306884765625e-06
sr, zh, 0.5, 8.106231689453125e-06
sr, mk, 0.5, 7.867813110351562e-06
sr, ko, 1.0, 8.344650268554688e-06
sr, union, 0.08333333333333333, 3.8623809814453125e-05
sv, sv, 1.0, 1.0251998901367188e-05
sv, ckb, 0.25, 9.059906005859375e-06
sv, ru, 0.375, 9.775161743164062e-06
sv, hi, 0.25, 9.298324584960938e-06
sv, bs, 0.16666666666666666, 9.775161743164062e-06
sv, zh, 0.3333333333333333, 9.5367431640625e-06
sv, mk, 0.25, 8.58306884765625e-06
sv, ko, 0.5, 8.821487426757812e-06
sv, union, 0.16666666666666666, 3.8623809814453125e-05
ckb, ckb, 1.0, 8.58306884765625e-06
ckb, ru, 0.14285714285714285, 8.344650268554688e-06
ckb, hi, 1.0, 8.344650268554688e-06
ckb, bs, 0.3333333333333333, 8.106231689453125e-06
ckb, zh, 0.25, 8.106231689453125e-06
ckb, mk, 1.0, 7.62939453125e-06
ckb, ko, 0.5, 7.867813110351562e-06
ckb, union, 0.041666666666666664, 3.790855407714844e-05
ru, ru, 1.0, 1.0251998901367188e-05
ru, hi, 0.14285714285714285, 7.867813110351562e-06
ru, bs, 0.1111111111111111, 8.344650268554688e-06
ru, zh, 0.375, 8.821487426757812e-06
ru, mk, 0.14285714285714285, 9.059906005859375e-06
ru, ko, 0.2857142857142857, 8.106231689453125e-06
ru, union, 0.2916666666666667, 3.886222839355469e-05
hi, hi, 1.0, 8.58306884765625e-06
