Language1, Language2, SimilarityScore, Time
id, id, 1.0, 1.8596649169921875e-05
id, fr, 1.0, 1.2874603271484375e-05
id, tr, 0.0, 1.0251998901367188e-05
id, el, 1.0, 1.1682510375976562e-05
id, es, 1.0, 1.2636184692382812e-05
id, pl, 1.0, 1.0967254638671875e-05
id, de, 1.0, 1.1444091796875e-05
id, nl, 1.0, 1.0967254638671875e-05
id, pt, 1.0, 1.1205673217773438e-05
id, ja, 1.0, 1.0967254638671875e-05
id, it, 1.0, 1.0967254638671875e-05
id, he, 1.0, 1.0728836059570312e-05
id, da, 1.0, 1.1205673217773438e-05
id, en, 1.0, 1.1444091796875e-05
id, sr, 0.0, 8.106231689453125e-06
id, sv, 1.0, 1.1682510375976562e-05
id, ru, 1.0, 1.1682510375976562e-05
id, zh, 1.0, 1.1444091796875e-05
fr, fr, 1.0, 3.3855438232421875e-05
fr, tr, 1.0, 1.1920928955078125e-05
fr, el, 1.0, 1.1682510375976562e-05
fr, es, 1.0, 1.4066696166992188e-05
fr, pl, 1.0, 1.1205673217773438e-05
fr, de, 1.0, 1.2159347534179688e-05
fr, nl, 1.0, 1.1205673217773438e-05
fr, pt, 1.0, 1.33514404296875e-05
fr, ja, 1.0, 1.1444091796875e-05
fr, it, 1.0, 1.0728836059570312e-05
fr, he, 1.0, 1.1205673217773438e-05
fr, da, 1.0, 1.0967254638671875e-05
fr, en, 1.0, 1.5974044799804688e-05
fr, sr, 1.0, 1.0967254638671875e-05
fr, sv, 1.0, 1.1444091796875e-05
fr, ru, 1.0, 1.2636184692382812e-05
fr, zh, 1.0, 1.1444091796875e-05
tr, tr, 1.0, 1.1205673217773438e-05
tr, el, 1.0, 1.1444091796875e-05
tr, es, 1.0, 1.1920928955078125e-05
tr, pl, 0.0, 8.344650268554688e-06
tr, de, 1.0, 1.1682510375976562e-05
tr, nl, 0.0, 6.67572021484375e-06
tr, pt, 1.0, 1.1682510375976562e-05
tr, ja, 1.0, 1.1205673217773438e-05
tr, it, 0.0, 6.9141387939453125e-06
tr, he, 0.0, 6.67572021484375e-06
tr, da, 0.0, 6.198883056640625e-06
tr, en, 1.0, 1.239776611328125e-05
tr, sr, 0.0, 6.198883056640625e-06
tr, sv, 1.0, 1.1682510375976562e-05
tr, ru, 1.0, 1.0967254638671875e-05
tr, zh, 0.0, 6.4373016357421875e-06
el, el, 1.0, 1.1920928955078125e-05
el, es, 1.0, 1.2874603271484375e-05
el, pl, 1.0, 1.1682510375976562e-05
el, de, 1.0, 1.1682510375976562e-05
el, nl, 1.0, 1.1205673217773438e-05
el, pt, 1.0, 1.1444091796875e-05
el, ja, 1.0, 1.1205673217773438e-05
el, it, 1.0, 1.0967254638671875e-05
el, he, 1.0, 1.1444091796875e-05
el, da, 1.0, 1.0728836059570312e-05
el, en, 1.0, 1.1444091796875e-05
el, sr, 0.0, 7.3909759521484375e-06
el, sv, 1.0, 1.1920928955078125e-05
el, ru, 1.0, 1.0967254638671875e-05
el, zh, 1.0, 1.1205673217773438e-05
es, es, 1.0, 2.6226043701171875e-05
es, pl, 1.0, 1.239776611328125e-05
es, de, 1.0, 1.2159347534179688e-05
es, nl, 1.0, 1.1205673217773438e-05
es, pt, 1.0, 1.3113021850585938e-05
es, ja, 1.0, 1.1682510375976562e-05
es, it, 1.0, 1.2159347534179688e-05
es, he, 1.0, 1.0967254638671875e-05
es, da, 1.0, 1.1205673217773438e-05
es, en, 1.0, 1.5497207641601562e-05
