Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.02525615692138672
id, fr, 0.05861775970605629, 0.03230714797973633
id, mr, 0.05661752384981117, 0.03882932662963867
id, tr, 0.06617931126253297, 0.03432774543762207
id, lv, 0.05964204957046862, 0.059337615966796875
id, el, 0.05661752384981117, 0.027933120727539062
id, es, 0.06495717084544507, 0.039934396743774414
id, pl, 0.0600433767118216, 0.03994894027709961
id, vi, 0.07378579033982233, 0.03192925453186035
id, de, 0.056237127870394435, 0.047950029373168945
id, ml, 0.05661752384981117, 0.011131048202514648
id, sh, 0.054771112987833555, 0.03689122200012207
id, nl, 0.055806972495434704, 0.03196406364440918
id, si, 0.05661752384981117, 0.0287930965423584
id, pt, 0.06265476841563897, 0.03895878791809082
id, ro, 0.061555700284928, 0.039901018142700195
id, ja, 0.05658785041498249, 0.03301572799682617
id, simple, 0.06236211006775308, 0.03366589546203613
id, it, 0.05545398875148252, 0.041382551193237305
id, ceb, 0.05661752384981117, 0.0396728515625
id, he, 0.05681066899389399, 0.0287325382232666
id, da, 0.058440123103778906, 0.035204172134399414
id, en, 0.04838404550848771, 0.023920536041259766
id, sr, 0.05068373048697363, 0.023947954177856445
id, sv, 0.053569072771511406, 0.023932695388793945
id, ckb, 0.05661752384981117, 0.015952348709106445
id, ru, 0.05660029859816475, 0.023930788040161133
id, hi, 0.05661752384981117, 0.02393507957458496
id, arz, 0.05661752384981117, 0.02394866943359375
id, bs, 0.06014065111064252, 0.04817342758178711
id, te, 0.05661752384981117, 0.03570699691772461
id, zh, 0.05661752384981117, 0.04394102096557617
id, mk, 0.05661752384981117, 0.031943559646606445
id, hu, 0.061323036383025976, 0.02827739715576172
id, ko, 0.05661752384981117, 0.031597137451171875
id, war, 0.05676744484451543, 0.02794194221496582
id, union, 0.04759438873844583, 0.02396082878112793
fr, fr, 1.0, 0.023935556411743164
fr, mr, 0.06757632829489667, 0.0239412784576416
fr, tr, 0.06109977358733571, 0.023944854736328125
fr, lv, 0.06871675439499364, 0.02394700050354004
fr, el, 0.06757632829489667, 0.015930891036987305
fr, es, 0.05831984576539566, 0.015928268432617188
fr, pl, 0.05364783898901073, 0.0239565372467041
fr, vi, 0.06586602265587699, 0.021108150482177734
fr, de, 0.046971541705488146, 0.030762672424316406
fr, ml, 0.06757632829489667, 0.031957149505615234
fr, sh, 0.05275044039520359, 0.03198409080505371
fr, nl, 0.046075347246978655, 0.03991246223449707
fr, si, 0.06757632829489667, 0.03194689750671387
fr, pt, 0.05997632200755101, 0.022319793701171875
fr, ro, 0.06400363871642577, 0.03753018379211426
fr, ja, 0.06752897568333431, 0.02501058578491211
fr, simple, 0.06257116105136727, 0.03098273277282715
fr, it, 0.047916758709098325, 0.027525663375854492
fr, ceb, 0.06757632829489667, 0.05225324630737305
fr, he, 0.0676551145094643, 0.028054237365722656
fr, da, 0.05415425067329649, 0.02711200714111328
fr, en, 0.04637405755295882, 0.03665900230407715
fr, sr, 0.05311146975380189, 0.02611088752746582
fr, sv, 0.04530810153149749, 0.030612707138061523
fr, ckb, 0.06757632829489667, 0.035094261169433594
fr, ru, 0.067550716080307, 0.03995084762573242
fr, hi, 0.06757632829489667, 0.02239394187927246
fr, arz, 0.06757632829489667, 0.03747057914733887
fr, bs, 0.05676513057907673, 0.028857707977294922
fr, te, 0.06757632829489667, 0.03504800796508789
fr, zh, 0.06757632829489667, 0.031928062438964844
fr, mk, 0.06757632829489667, 0.025429248809814453
fr, hu, 0.06257053838567625, 0.030692338943481445
fr, ko, 0.06757632829489667, 0.0272064208984375
fr, war, 0.06771885916741455, 0.03656435012817383
fr, union, 0.04399699329037309, 0.026450634002685547
mr, mr, 1.0, 0.031030893325805664
mr, tr, 0.07666154689748625, 0.048688411712646484
mr, lv, 0.22192180351465016, 0.037566184997558594
mr, el, 1.0, 0.027363300323486328
mr, es, 0.060011191466826735, 0.032492637634277344
mr, pl, 0.05002984057695403, 0.031276702880859375
mr, vi, 0.07617688426476435, 0.04779338836669922
mr, de, 0.04279948474487016, 0.03167533874511719
mr, ml, 1.0, 0.03144955635070801
mr, sh, 0.05912084426288334, 0.041417837142944336
mr, nl, 0.04178931835659807, 0.051939964294433594
mr, si, 1.0, 0.02226853370666504
mr, pt, 0.0712903046317857, 0.061623573303222656
mr, ro, 0.0826374191041695, 0.041403770446777344
mr, ja, 0.6785186747318415, 0.030454397201538086
mr, simple, 0.07422401066543266, 0.04138469696044922
mr, it, 0.04351440071648761, 0.05189323425292969
mr, ceb, 1.0, 0.026653766632080078
mr, he, 0.6316948472366998, 0.03989362716674805
mr, da, 0.06053059224653689, 0.024219274520874023
mr, en, 0.04207275024812668, 0.026177644729614258
mr, sr, 0.07109039765102813, 0.045363426208496094
mr, sv, 0.042882663734029575, 0.03204512596130371
mr, ckb, 1.0, 0.022893905639648438
mr, ru, 0.6442711974342243, 0.040900468826293945
mr, hi, 1.0, 0.03194427490234375
mr, arz, 1.0, 0.02795100212097168
mr, bs, 0.06454008885301565, 0.030251502990722656
mr, te, 1.0, 0.03363513946533203
mr, zh, 1.0, 0.025205612182617188
mr, mk, 1.0, 0.038674116134643555
mr, hu, 0.08145463527321643, 0.025719165802001953
mr, ko, 1.0, 0.050164222717285156
mr, war, 0.7225992751068193, 0.02433037757873535
mr, union, 0.03905641539770792, 0.02657485008239746
tr, tr, 1.0, 0.03064751625061035
tr, lv, 0.081702667484824, 0.03423881530761719
tr, el, 0.07666154689748625, 0.026704788208007812
tr, es, 0.06745973869873237, 0.03726387023925781
tr, pl, 0.05841988685975296, 0.026890277862548828
tr, vi, 0.076841445350849, 0.03314042091369629
tr, de, 0.048101150061365255, 0.031722307205200195
tr, ml, 0.07666154689748625, 0.03602170944213867
tr, sh, 0.06361879060383357, 0.025936603546142578
tr, nl, 0.049607562595634404, 0.026534318923950195
tr, si, 0.07666154689748625, 0.025342226028442383
tr, pt, 0.07913467746271118, 0.022064924240112305
tr, ro, 0.0756624735170142, 0.02487802505493164
tr, ja, 0.07659481046431889, 0.019272565841674805
tr, simple, 0.066677686682015, 0.02741837501525879
tr, it, 0.04973960447604421, 0.020135164260864258
tr, ceb, 0.07666154689748625, 0.022227764129638672
tr, he, 0.07710252934738608, 0.03871417045593262
tr, da, 0.0667312571244953, 0.034821510314941406
tr, en, 0.04565358929667973, 0.03236556053161621
tr, sr, 0.06089107626074939, 0.04069256782531738
tr, sv, 0.053001878882744456, 0.026784420013427734
tr, ckb, 0.07666154689748625, 0.0249326229095459
tr, ru, 0.07668746239694893, 0.023080110549926758
tr, hi, 0.07666154689748625, 0.02346658706665039
tr, arz, 0.07666154689748625, 0.021535634994506836
tr, bs, 0.06978998586614557, 0.021780014038085938
tr, te, 0.07666154689748625, 0.021977901458740234
tr, zh, 0.07666154689748625, 0.021487951278686523
tr, mk, 0.07666154689748625, 0.02116537094116211
tr, hu, 0.07732044246972912, 0.022274017333984375
tr, ko, 0.07666154689748625, 0.028844594955444336
tr, war, 0.07701732619317253, 0.031233549118041992
tr, union, 0.04432936762115037, 0.0226438045501709
lv, lv, 1.0, 0.03503060340881348
lv, el, 0.22192180351465016, 0.028630971908569336
lv, es, 0.06447380738728288, 0.030959129333496094
lv, pl, 0.053118510691531756, 0.024934768676757812
lv, vi, 0.08229560829057939, 0.023662805557250977
lv, de, 0.044511950068024025, 0.022970199584960938
lv, ml, 0.22192180351465016, 0.02242255210876465
lv, sh, 0.06118499580097742, 0.021935462951660156
lv, nl, 0.044279280172057095, 0.02136826515197754
lv, si, 0.22192180351465016, 0.02981853485107422
lv, pt, 0.07783737872770033, 0.032959699630737305
lv, ro, 0.08544440040999336, 0.0400233268737793
lv, ja, 0.22191853915453827, 0.03133225440979004
lv, simple, 0.07542082713835757, 0.029367446899414062
lv, it, 0.04517525371823644, 0.02182483673095703
lv, ceb, 0.22192180351465016, 0.02283787727355957
lv, he, 0.2229344668590721, 0.021750926971435547
lv, da, 0.06273878616817317, 0.02141284942626953
lv, en, 0.04306900024787778, 0.02225947380065918
lv, sr, 0.07078398238524491, 0.021718263626098633
lv, sv, 0.04534134510011559, 0.023784875869750977
lv, ckb, 0.22192180351465016, 0.026668310165405273
lv, ru, 0.2200756762506766, 0.030641794204711914
lv, hi, 0.22192180351465016, 0.029315948486328125
lv, arz, 0.22192180351465016, 0.029742002487182617
lv, bs, 0.06910766752944177, 0.028545141220092773
lv, te, 0.22192180351465016, 0.031061649322509766
lv, zh, 0.22192180351465016, 0.030218839645385742
lv, mk, 0.22192180351465016, 0.03130936622619629
lv, hu, 0.08505881429556969, 0.02160811424255371
lv, ko, 0.22192180351465016, 0.02445840835571289
lv, war, 0.22345600183787082, 0.02383255958557129
lv, union, 0.04035127074473048, 0.02205824851989746
el, el, 1.0, 0.03557991981506348
el, es, 0.060011191466826735, 0.021680593490600586
el, pl, 0.05002984057695403, 0.021944761276245117
el, vi, 0.07617688426476435, 0.02259063720703125
el, de, 0.04279948474487016, 0.02171945571899414
el, ml, 1.0, 0.027933835983276367
el, sh, 0.05912084426288334, 0.033297061920166016
el, nl, 0.04178931835659807, 0.0283052921295166
el, si, 1.0, 0.03493309020996094
el, pt, 0.0712903046317857, 0.03027510643005371
el, ro, 0.0826374191041695, 0.030331850051879883
el, ja, 0.6785186747318415, 0.0627748966217041
el, simple, 0.07422401066543266, 0.02971363067626953
el, it, 0.04351440071648761, 0.03193354606628418
el, ceb, 1.0, 0.031310319900512695
el, he, 0.6316948472366998, 0.0352628231048584
el, da, 0.06053059224653689, 0.030956268310546875
el, en, 0.04207275024812668, 0.03030705451965332
el, sr, 0.07109039765102813, 0.038355112075805664
el, sv, 0.042882663734029575, 0.03226518630981445
el, ckb, 1.0, 0.030673980712890625
el, ru, 0.6442711974342243, 0.027181148529052734
el, hi, 1.0, 0.04004526138305664
el, arz, 1.0, 0.03055095672607422
el, bs, 0.06454008885301565, 0.031107664108276367
el, te, 1.0, 0.030771493911743164
el, zh, 1.0, 0.02919316291809082
el, mk, 1.0, 0.029548168182373047
el, hu, 0.08145463527321643, 0.03425025939941406
el, ko, 1.0, 0.06070375442504883
el, war, 0.7225992751068193, 0.03688192367553711
el, union, 0.03905641539770792, 0.03215742111206055
es, es, 1.0, 0.03819394111633301
es, pl, 0.06286518350673906, 0.031054258346557617
es, vi, 0.06965217681323756, 0.023764610290527344
es, de, 0.05227579390124806, 0.02314472198486328
es, ml, 0.060011191466826735, 0.022583484649658203
es, sh, 0.05633177455295363, 0.022359371185302734
es, nl, 0.05628468761059088, 0.02572464942932129
es, si, 0.060011191466826735, 0.02344536781311035
es, pt, 0.07251665771615118, 0.0236053466796875
es, ro, 0.06439859095975868, 0.022510051727294922
es, ja, 0.06001413925612945, 0.041001319885253906
es, simple, 0.060886263367589295, 0.029771089553833008
es, it, 0.05133867771624399, 0.03101801872253418
es, ceb, 0.060011191466826735, 0.02126169204711914
es, he, 0.060225253354159895, 0.030796527862548828
es, da, 0.05812552488868142, 0.046854257583618164
es, en, 0.04756027601725551, 0.022449731826782227
es, sr, 0.052601171832471795, 0.024291515350341797
es, sv, 0.05550689515913112, 0.022704124450683594
es, ckb, 0.060011191466826735, 0.022500991821289062
es, ru, 0.06004330156366103, 0.02228689193725586
es, hi, 0.060011191466826735, 0.025490522384643555
es, arz, 0.060011191466826735, 0.022476911544799805
es, bs, 0.06080803159505012, 0.02226567268371582
es, te, 0.060011191466826735, 0.02182936668395996
es, zh, 0.060011191466826735, 0.021495819091796875
es, mk, 0.060011191466826735, 0.028122901916503906
es, hu, 0.06311661685806727, 0.03996157646179199
es, ko, 0.060011191466826735, 0.02186727523803711
es, war, 0.06019637843700976, 0.030971765518188477
es, union, 0.04706001589048483, 0.04261159896850586
pl, pl, 1.0, 0.02283501625061035
pl, vi, 0.059625586717638984, 0.022058725357055664
pl, de, 0.05089859880050452, 0.02274942398071289
pl, ml, 0.05002984057695403, 0.022278785705566406
pl, sh, 0.053403258198416535, 0.022090911865234375
pl, nl, 0.055973664764585304, 0.021932363510131836
pl, si, 0.05002984057695403, 0.031023740768432617
pl, pt, 0.06079372093133597, 0.0317690372467041
pl, ro, 0.05534511018528293, 0.03104424476623535
pl, ja, 0.05003003415560729, 0.04353904724121094
pl, simple, 0.05518853533007874, 0.031026601791381836
pl, it, 0.051824644726807034, 0.021777868270874023
pl, ceb, 0.05002984057695403, 0.021698474884033203
pl, he, 0.05013501337113389, 0.02357625961303711
pl, da, 0.052244738161072675, 0.022274255752563477
pl, en, 0.048235946582084875, 0.02498173713684082
pl, sr, 0.047618997697654576, 0.023278236389160156
pl, sv, 0.05412561326554647, 0.02345561981201172
pl, ckb, 0.05002984057695403, 0.029926776885986328
pl, ru, 0.05005624678936379, 0.030614852905273438
pl, hi, 0.05002984057695403, 0.03488421440124512
pl, arz, 0.05002984057695403, 0.029619693756103516
pl, bs, 0.059996057659474966, 0.029153823852539062
pl, te, 0.05002984057695403, 0.03134560585021973
pl, zh, 0.05002984057695403, 0.0315399169921875
pl, mk, 0.05002984057695403, 0.029858827590942383
pl, hu, 0.0574305793323, 0.019945383071899414
pl, ko, 0.05002984057695403, 0.02185535430908203
pl, war, 0.050201162524933035, 0.022066831588745117
pl, union, 0.048805375995668976, 0.019556760787963867
vi, vi, 1.0, 0.0219573974609375
vi, de, 0.05088567920072562, 0.030264616012573242
vi, ml, 0.07617688426476435, 0.020810842514038086
vi, sh, 0.05858475308821682, 0.022030353546142578
vi, nl, 0.052275663010433716, 0.029068470001220703
vi, si, 0.07617688426476435, 0.03456997871398926
vi, pt, 0.07245185672577524, 0.06934833526611328
vi, ro, 0.07122729575414141, 0.019822120666503906
vi, ja, 0.07610759814102666, 0.015948772430419922
vi, simple, 0.07257492687217816, 0.019933700561523438
vi, it, 0.05243598207820489, 0.019947052001953125
vi, ceb, 0.07617688426476435, 0.01994013786315918
vi, he, 0.07658905534616399, 0.01994776725769043
vi, da, 0.06614260125595929, 0.019940853118896484
vi, en, 0.047493380941335, 0.01995539665222168
vi, sr, 0.057569215037001874, 0.016082286834716797
vi, sv, 0.05070763643261606, 0.02117466926574707
vi, ckb, 0.07617688426476435, 0.030629396438598633
vi, ru, 0.07612680477648394, 0.014445304870605469
vi, hi, 0.07617688426476435, 0.029380083084106445
vi, arz, 0.07617688426476435, 0.02180337905883789
vi, bs, 0.06670502093215201, 0.026158571243286133
vi, te, 0.07617688426476435, 0.021483659744262695
vi, zh, 0.07617688426476435, 0.03032207489013672
vi, mk, 0.07617688426476435, 0.02098250389099121
vi, hu, 0.07379078143021925, 0.02300548553466797
vi, ko, 0.07617688426476435, 0.01928877830505371
vi, war, 0.07644009115919438, 0.02137470245361328
vi, union, 0.04563915346717819, 0.0231783390045166
de, de, 1.0, 0.02659010887145996
de, ml, 0.04279948474487016, 0.025292396545410156
de, sh, 0.043748034219217524, 0.020369768142700195
de, nl, 0.05229763690333786, 0.021775245666503906
de, si, 0.04279948474487016, 0.02969980239868164
de, pt, 0.048721650866056905, 0.021087646484375
de, ro, 0.04682670622191782, 0.03081369400024414
de, ja, 0.042821023077410605, 0.026594161987304688
de, simple, 0.04860416485163794, 0.022492408752441406
de, it, 0.047952960103196905, 0.02669811248779297
de, ceb, 0.04279948474487016, 0.020816802978515625
de, he, 0.042853313481664074, 0.02190685272216797
de, da, 0.04582750904622315, 0.029114961624145508
de, en, 0.045616306964075946, 0.021923303604125977
de, sr, 0.04099694017698088, 0.022082805633544922
de, sv, 0.04710505163583891, 0.022732019424438477
de, ckb, 0.04279948474487016, 0.021826505661010742
de, ru, 0.04279486899260349, 0.03113532066345215
de, hi, 0.04279948474487016, 0.026536226272583008
de, arz, 0.04279948474487016, 0.02936244010925293
de, bs, 0.04692198304982938, 0.022819995880126953
de, te, 0.04279948474487016, 0.02900218963623047
de, zh, 0.04279948474487016, 0.02239513397216797
de, mk, 0.04279948474487016, 0.02955794334411621
de, hu, 0.04619764074508114, 0.022617340087890625
de, ko, 0.04279948474487016, 0.029201030731201172
de, war, 0.04291210382627394, 0.021849870681762695
de, union, 0.04628293110401116, 0.05803108215332031
ml, ml, 1.0, 0.021405458450317383
ml, sh, 0.05912084426288334, 0.022758007049560547
ml, nl, 0.04178931835659807, 0.023274898529052734
ml, si, 1.0, 0.02438664436340332
ml, pt, 0.0712903046317857, 0.01980447769165039
ml, ro, 0.0826374191041695, 0.02234649658203125
ml, ja, 0.6785186747318415, 0.0226438045501709
ml, simple, 0.07422401066543266, 0.03092169761657715
ml, it, 0.04351440071648761, 0.014769554138183594
