Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.002777576446533203
id, fr, 0.25688457805113907, 0.004422903060913086
id, mr, 0.04339622641509434, 0.0011391639709472656
id, tr, 0.2681036585825916, 0.002086639404296875
id, lv, 0.23555555555555555, 0.0012845993041992188
id, el, 0.24074074074074073, 0.0010781288146972656
id, es, 0.28379687771176504, 0.0023479461669921875
id, pl, 0.29414730216166296, 0.0042154788970947266
id, vi, 0.3402654102543, 0.0014808177947998047
id, de, 0.23501953896257377, 0.0017151832580566406
id, ml, 0.14738805970149255, 0.0006020069122314453
id, sh, 0.1712405084953849, 0.0033245086669921875
id, nl, 0.311379113705515, 0.0016529560089111328
id, si, 0.03639846743295019, 0.0005929470062255859
id, pt, 0.23814205795388116, 0.0013325214385986328
id, ro, 0.29198060475195065, 0.0013556480407714844
id, ja, 0.19212218649517684, 0.0006127357482910156
id, simple, 0.28412102700370506, 0.0007011890411376953
id, it, 0.29408900020238815, 0.0029854774475097656
id, ceb, 0.0057692307692307696, 0.0005979537963867188
id, he, 0.2522711309281271, 0.0005843639373779297
id, da, 0.26460589055480005, 0.0007445812225341797
id, en, 0.21055126449544986, 0.008400917053222656
id, sr, 0.1513415882139405, 0.0030875205993652344
id, sv, 0.2809943071850932, 0.0013954639434814453
id, ckb, 0.038314176245210725, 0.0006215572357177734
id, ru, 0.17365771812080538, 0.00061798095703125
id, hi, 0.21583850931677018, 0.0005972385406494141
id, arz, 0.009615384615384616, 0.0005478858947753906
id, bs, 0.21545239053624937, 0.0008900165557861328
id, te, 0.08362989323843416, 0.0006132125854492188
id, zh, 0.21354166666666666, 0.0006315708160400391
id, mk, 0.18363636363636363, 0.0005824565887451172
id, hu, 0.3220357788700119, 0.0012826919555664062
id, ko, 0.27811550151975684, 0.0005967617034912109
id, war, 0.07585812356979404, 0.000576019287109375
id, union, 0.1533016562657194, 0.041605234146118164
fr, fr, 1.0, 0.006857633590698242
fr, mr, 0.02118003025718608, 0.003202676773071289
fr, tr, 0.1477290445856261, 0.0040242671966552734
fr, lv, 0.12813991459432303, 0.0031213760375976562
fr, el, 0.15259259259259259, 0.0029265880584716797
fr, es, 0.38128548893146685, 0.004212379455566406
fr, pl, 0.37615938874438215, 0.0058193206787109375
fr, vi, 0.28613059025681514, 0.0045316219329833984
fr, de, 0.4201854216778901, 0.0053899288177490234
fr, ml, 0.0649546827794562, 0.003508329391479492
fr, sh, 0.26460259934947206, 0.016452312469482422
fr, nl, 0.3781005039193729, 0.014962434768676758
fr, si, 0.014350453172205438, 0.002873659133911133
fr, pt, 0.2302694516888365, 0.003891468048095703
fr, ro, 0.1847446593724253, 0.014274120330810547
fr, ja, 0.35617367706919945, 0.002948760986328125
fr, simple, 0.14890098825862014, 0.013431310653686523
fr, it, 0.4077610631072043, 0.0071065425872802734
fr, ceb, 0.0022692889561270802, 0.008096933364868164
fr, he, 0.13288288288288289, 0.002785205841064453
fr, da, 0.13194657044974123, 0.0031189918518066406
fr, en, 0.4553972134158863, 0.016905784606933594
fr, sr, 0.24701857221023768, 0.007786750793457031
fr, sv, 0.21968821280206277, 0.0041730403900146484
fr, ckb, 0.01588502269288956, 0.003003835678100586
fr, ru, 0.20657276995305165, 0.0030744075775146484
fr, hi, 0.14232488822652756, 0.0028600692749023438
fr, arz, 0.0037821482602118004, 0.00270843505859375
fr, bs, 0.10583692252044663, 0.0034241676330566406
fr, te, 0.04, 0.003101348876953125
fr, zh, 0.33310626702997276, 0.0031881332397460938
fr, mk, 0.08685800604229607, 0.0031218528747558594
fr, hu, 0.2656522864364263, 0.004240989685058594
fr, ko, 0.18543543543543545, 0.003070354461669922
fr, war, 0.029500756429652043, 0.0031092166900634766
fr, union, 0.378076338245789, 0.05335402488708496
mr, mr, 0.5, 4.7206878662109375e-05
mr, tr, 0.0575, 0.0007569789886474609
mr, lv, 0.06609195402298851, 0.00015091896057128906
mr, el, 0.046255506607929514, 3.361701965332031e-05
mr, es, 0.025911708253358926, 0.0010998249053955078
mr, pl, 0.028242677824267783, 0.0029730796813964844
mr, vi, 0.036585365853658534, 0.001238107681274414
mr, de, 0.01730769230769231, 0.023394107818603516
mr, ml, 0.08080808080808081, 3.790855407714844e-05
mr, sh, 0.016817593790426907, 0.016258716583251953
mr, nl, 0.02702702702702703, 0.001501321792602539
mr, si, 0.05813953488372093, 2.6702880859375e-05
mr, pt, 0.02385685884691849, 0.0008325576782226562
mr, ro, 0.033783783783783786, 0.0008344650268554688
mr, ja, 0.02329450915141431, 4.9591064453125e-05
mr, simple, 0.05958549222797927, 0.00022673606872558594
mr, it, 0.02158273381294964, 0.003827810287475586
mr, ceb, 0.034482758620689655, 2.6464462280273438e-05
mr, he, 0.05555555555555555, 2.956390380859375e-05
mr, da, 0.055248618784530384, 0.0002288818359375
mr, en, 0.017456359102244388, 0.04147982597351074
mr, sr, 0.01668806161745828, 0.004503488540649414
mr, sv, 0.033783783783783786, 0.0009546279907226562
mr, ckb, 0.06976744186046512, 3.266334533691406e-05
mr, ru, 0.022893772893772892, 5.626678466796875e-05
mr, hi, 0.04265402843601896, 2.7894973754882812e-05
mr, arz, 0.015625, 1.5735626220703125e-05
mr, bs, 0.05, 0.0005137920379638672
mr, te, 0.045454545454545456, 2.3126602172851562e-05
mr, zh, 0.02491103202846975, 4.792213439941406e-05
mr, mk, 0.0625, 2.3126602172851562e-05
mr, hu, 0.03729281767955801, 0.0009284019470214844
mr, ko, 0.0533596837944664, 3.6716461181640625e-05
mr, war, 0.09821428571428571, 2.2172927856445312e-05
mr, union, 0.012939001848428836, 0.04984903335571289
tr, tr, 1.0, 0.0016727447509765625
tr, lv, 0.2226887126304632, 0.0008146762847900391
tr, el, 0.1893687707641196, 0.0006773471832275391
tr, es, 0.17858560324351389, 0.0019102096557617188
tr, pl, 0.18322753771723915, 0.001889944076538086
tr, vi, 0.19887964214347537, 0.0011472702026367188
tr, de, 0.13580533186087776, 0.0014584064483642578
tr, ml, 0.13513513513513514, 0.0003495216369628906
tr, sh, 0.157860507075348, 0.0029633045196533203
tr, nl, 0.1907421647716957, 0.0013294219970703125
