Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.025936365127563477
id, fr, 0.17101957099529383, 0.00023984909057617188
id, mr, 0.14432888364240645, 0.00018835067749023438
id, tr, 0.2229954156198804, 0.0001919269561767578
id, lv, 0.19900067736997348, 0.00018930435180664062
id, el, 0.14432888364240645, 0.00018835067749023438
id, es, 0.3137548304280758, 0.000186920166015625
id, pl, 0.25053505033856377, 0.0001888275146484375
id, vi, 0.28887223015025437, 0.00018644332885742188
id, de, 0.5573148467296936, 0.00018739700317382812
id, ml, 0.14432888364240645, 0.00018739700317382812
id, sh, 0.15657819243054624, 0.00018715858459472656
id, nl, 0.5011634232534128, 0.00018525123596191406
id, si, 0.14432888364240645, 0.00018668174743652344
id, pt, 0.15434439322143959, 0.00018668174743652344
id, ro, 0.3503985547457229, 0.00018715858459472656
id, ja, 0.14432888364240645, 0.00018835067749023438
id, simple, 0.5830980734195966, 0.00018739700317382812
id, it, 0.4049133043611905, 0.0001976490020751953
id, ceb, 0.3004991563594993, 0.0001876354217529297
id, he, 0.14432888364240645, 0.00018668174743652344
id, da, 0.3866139051241194, 0.00018596649169921875
id, en, 0.4840106391482528, 0.0001862049102783203
id, sr, 0.14432888364240645, 0.0001857280731201172
id, sv, 0.4357749456844411, 0.000186920166015625
id, ckb, 0.14432888364240645, 0.00018668174743652344
id, ru, 0.14432888364240645, 0.0001850128173828125
id, hi, 0.14432888364240645, 0.00018525123596191406
id, arz, 0.14432888364240645, 0.0001842975616455078
id, bs, 0.4004760537560473, 0.00018715858459472656
id, te, 0.14432888364240645, 0.00018739700317382812
id, zh, 0.1473943415078312, 0.00018668174743652344
id, mk, 0.14432888364240645, 0.00018739700317382812
id, hu, 0.16989597446068397, 0.0001862049102783203
id, ko, 0.14432888364240645, 0.00018787384033203125
id, war, 0.1447862137762999, 0.00018668174743652344
id, union, 0.3125908714999275, 0.00018477439880371094
fr, fr, 1.0, 0.0002913475036621094
fr, mr, 0.2935819100199253, 0.000186920166015625
fr, tr, 0.23033966130968186, 0.0001876354217529297
fr, lv, 0.33387014097764245, 0.00018668174743652344
fr, el, 0.2935819100199253, 0.0001862049102783203
fr, es, 0.24638724957691086, 0.00018906593322753906
fr, pl, 0.25610262290893215, 0.00018930435180664062
fr, vi, 0.25997669097633863, 0.01061868667602539
fr, de, 0.1871853053695943, 0.00023627281188964844
fr, ml, 0.2935819100199253, 0.00019121170043945312
