Language1, Language2, SimilarityScore, Time
id, id, 1.0, 6.437301635742188e-05
id, fr, 0.5834120026972354, 5.030632019042969e-05
id, mr, 0.5396825396825397, 2.0265579223632812e-05
id, tr, 0.6720977596741344, 2.6702880859375e-05
id, lv, 0.5652173913043479, 2.002716064453125e-05
id, el, 0.5774647887323944, 1.9550323486328125e-05
id, es, 0.6416152551878856, 3.1948089599609375e-05
id, pl, 0.6512977099236642, 3.409385681152344e-05
id, vi, 0.5831775700934579, 4.9591064453125e-05
id, de, 0.585631067961165, 4.291534423828125e-05
id, ml, 0.5714285714285714, 1.9550323486328125e-05
id, sh, 0.5837563451776651, 2.9325485229492188e-05
id, nl, 0.6442891859052248, 3.0040740966796875e-05
id, si, 0.5084745762711864, 1.811981201171875e-05
id, pt, 0.6026954177897574, 3.170967102050781e-05
id, ro, 0.6428571428571428, 2.6464462280273438e-05
id, ja, 0.589041095890411, 2.3126602172851562e-05
id, simple, 0.6325301204819277, 2.2411346435546875e-05
id, it, 0.6611927398444253, 3.647804260253906e-05
id, ceb, 0.6037735849056604, 2.09808349609375e-05
id, he, 0.5913978494623656, 2.0265579223632812e-05
id, da, 0.6674907292954265, 2.6226043701171875e-05
id, en, 0.5447714691914456, 0.00030922889709472656
id, sr, 0.5712774398307326, 3.4332275390625e-05
id, sv, 0.6215139442231076, 2.9325485229492188e-05
id, ckb, 0.5538461538461539, 1.8835067749023438e-05
id, ru, 0.5748502994011976, 2.3365020751953125e-05
id, hi, 0.5857142857142857, 1.8596649169921875e-05
id, bs, 0.6573033707865169, 2.2411346435546875e-05
id, te, 0.5384615384615384, 1.811981201171875e-05
id, zh, 0.6014492753623188, 2.2172927856445312e-05
id, mk, 0.5454545454545455, 1.8358230590820312e-05
id, hu, 0.6043956043956044, 2.1696090698242188e-05
id, ko, 0.6116504854368933, 2.1457672119140625e-05
id, war, 0.532258064516129, 1.71661376953125e-05
id, union, 0.5357298449292939, 0.0004253387451171875
fr, fr, 1.0, 5.888938903808594e-05
fr, mr, 0.5163398692810457, 3.0040740966796875e-05
fr, tr, 0.5674653215636822, 3.6716461181640625e-05
fr, lv, 0.5316455696202532, 2.8848648071289062e-05
fr, el, 0.5341614906832298, 2.9087066650390625e-05
fr, es, 0.6175525852243291, 4.172325134277344e-05
fr, pl, 0.6208277703604806, 4.38690185546875e-05
fr, vi, 0.5708832205448551, 5.91278076171875e-05
fr, de, 0.6132718524458701, 5.53131103515625e-05
fr, ml, 0.53125, 3.266334533691406e-05
fr, sh, 0.5761663856098932, 4.1484832763671875e-05
fr, nl, 0.5995577550805518, 4.172325134277344e-05
fr, si, 0.5033557046979865, 2.7894973754882812e-05
fr, pt, 0.6236070539868008, 4.3392181396484375e-05
fr, ro, 0.5817490494296578, 3.528594970703125e-05
fr, ja, 0.5954545454545455, 3.457069396972656e-05
fr, simple, 0.5623640319071791, 3.266334533691406e-05
fr, it, 0.6452798970493612, 4.863739013671875e-05
fr, ceb, 0.5176982400632786, 3.1948089599609375e-05
fr, he, 0.5586592178770949, 3.3855438232421875e-05
fr, da, 0.5796610169491525, 3.790855407714844e-05
fr, en, 0.5889097802299418, 0.0002999305725097656
fr, sr, 0.5829015544041452, 4.601478576660156e-05
fr, sv, 0.6054852320675106, 4.1961669921875e-05
fr, ckb, 0.5225806451612903, 2.956390380859375e-05
fr, ru, 0.5899581589958159, 3.743171691894531e-05
fr, hi, 0.5341614906832298, 3.0040740966796875e-05
fr, bs, 0.5361702127659574, 3.361701965332031e-05
fr, te, 0.5194805194805194, 2.8371810913085938e-05
fr, zh, 0.5953488372093023, 3.4332275390625e-05
fr, mk, 0.5225806451612903, 2.9087066650390625e-05
fr, hu, 0.5751258087706685, 3.337860107421875e-05
fr, ko, 0.5806451612903225, 3.2901763916015625e-05
fr, war, 0.5131578947368421, 2.8371810913085938e-05
fr, union, 0.5868977410632544, 0.0004591941833496094
mr, mr, 1.0, 1.71661376953125e-05
mr, tr, 0.5344827586206896, 1.6927719116210938e-05
mr, lv, 0.7692307692307692, 1.1920928955078125e-05
mr, el, 0.7906976744186047, 1.0967254638671875e-05
mr, es, 0.5161290322580645, 2.002716064453125e-05
mr, pl, 0.5238095238095238, 2.193450927734375e-05
mr, vi, 0.5142857142857143, 3.743171691894531e-05
mr, de, 0.5139664804469274, 3.218650817871094e-05
mr, ml, 0.8, 1.1920928955078125e-05
mr, sh, 0.5137614678899083, 1.9550323486328125e-05
mr, nl, 0.5167785234899329, 1.8358230590820312e-05
mr, si, 0.6666666666666666, 1.0967254638671875e-05
mr, pt, 0.5210084033613445, 2.0742416381835938e-05
mr, ro, 0.532258064516129, 1.4781951904296875e-05
mr, ja, 0.7045454545454545, 1.3828277587890625e-05
mr, simple, 0.5434782608695652, 1.3828277587890625e-05
mr, it, 0.5196850393700787, 2.5272369384765625e-05
mr, ceb, 0.5714285714285714, 1.239776611328125e-05
mr, he, 0.7294117647058823, 1.2636184692382812e-05
mr, da, 0.5357142857142857, 1.5735626220703125e-05
mr, en, 0.5071633237822349, 0.0002751350402832031
mr, sr, 0.5233644859813085, 2.3365020751953125e-05
mr, sv, 0.5242718446601942, 1.9311904907226562e-05
mr, ckb, 0.8571428571428571, 1.1444091796875e-05
mr, ru, 0.6923076923076923, 1.4543533325195312e-05
mr, hi, 0.7906976744186047, 1.1444091796875e-05
mr, bs, 0.5555555555555556, 1.4066696166992188e-05
mr, te, 0.8148148148148148, 1.0967254638671875e-05
mr, zh, 0.7065868263473054, 1.3113021850585938e-05
mr, mk, 0.8, 1.1205673217773438e-05
mr, hu, 0.543859649122807, 1.3828277587890625e-05
mr, ko, 0.7289719626168224, 1.3828277587890625e-05
mr, war, 0.8571428571428571, 1.049041748046875e-05
mr, union, 0.5052854122621564, 0.0004143714904785156
