Language1, Language2, SimilarityScore, Time
id, id, 0.04545661363843182, 0.037335872650146484
id, fr, 0.058823529411764705, 0.00043129920959472656
id, mr, 0.3333333333333333, 0.0001647472381591797
id, tr, 0.1, 0.0001842975616455078
id, lv, 0.2, 0.0001575946807861328
id, el, 0.14285714285714285, 0.00016379356384277344
id, es, 0.058823529411764705, 0.00026869773864746094
id, pl, 0.0625, 0.00026917457580566406
id, vi, 0.09090909090909091, 0.00018978118896484375
id, de, 0.058823529411764705, 0.0002655982971191406
id, ml, 0.5, 0.00013947486877441406
id, sh, 0.142877571449, 0.000202178955078125
id, nl, 0.07692307692307693, 0.00022268295288085938
id, si, 1.0, 0.0001285076141357422
id, pt, 0.0625, 0.0002987384796142578
id, ro, 0.125, 0.00017976760864257812
id, ja, 0.1111111111111111, 0.004138469696044922
id, simple, 0.14285714285714285, 0.00024819374084472656
id, it, 0.07142857142857142, 0.0002434253692626953
id, he, 0.08333333333333333, 0.00019168853759765625
id, da, 0.14285714285714285, 0.00016450881958007812
id, en, 0.047621317462587305, 0.020734548568725586
id, sr, 0.1111111111111111, 0.0065081119537353516
id, sv, 0.09090909090909091, 0.014649152755737305
id, ckb, 0.5, 0.010979175567626953
id, ru, 0.07142857142857142, 0.0007424354553222656
id, hi, 0.16666666666666666, 0.0003941059112548828
id, arz, 1.0, 0.00013136863708496094
id, bs, 0.2, 0.0004992485046386719
id, te, 0.5, 0.0003247261047363281
id, zh, 0.08333333333333333, 0.0004055500030517578
id, mk, 0.3333333333333333, 0.0003161430358886719
id, hu, 0.16666666666666666, 0.0003387928009033203
id, ko, 0.1111111111111111, 0.0003647804260253906
id, war, 1.0, 0.00012445449829101562
id, union, 0.04545661363843182, 0.009961843490600586
fr, fr, 0.007938967947807896, 0.43596839904785156
fr, mr, 0.3333333333333333, 0.0006489753723144531
fr, tr, 0.058823529411764705, 0.0069429874420166016
fr, lv, 0.2, 0.003938198089599609
fr, el, 0.14285714285714285, 0.0039310455322265625
fr, es, 0.016131374090010926, 0.22820281982421875
fr, pl, 0.014494014493384373, 0.07601690292358398
fr, vi, 0.045454545454545456, 0.00360107421875
fr, de, 0.015385562604024145, 0.08906841278076172
fr, ml, 0.25, 0.001092672348022461
fr, sh, 0.06252348446893788, 0.0010197162628173828
fr, nl, 0.026317175901663437, 0.056884765625
fr, si, 1.0, 0.0002529621124267578
fr, pt, 0.01639694169257569, 0.13559222221374512
