Language1, Language2, SimilarityScore, Time
id, id, 1.0, 5.316734313964844e-05
id, fr, 0.1297709923664122, 6.079673767089844e-05
id, mr, 0.13636363636363635, 1.8596649169921875e-05
id, tr, 0.29411764705882354, 2.0265579223632812e-05
id, lv, 0.22727272727272727, 1.6927719116210938e-05
id, el, 0.28, 1.5974044799804688e-05
id, es, 0.136, 6.008148193359375e-05
id, pl, 0.10126582278481013, 6.532669067382812e-05
id, vi, 0.28205128205128205, 1.9311904907226562e-05
id, de, 0.12686567164179105, 5.936622619628906e-05
id, ml, 0.08333333333333333, 1.71661376953125e-05
id, sh, 0.20588235294117646, 4.553794860839844e-05
id, nl, 0.20634920634920634, 3.528594970703125e-05
id, si, 0.045454545454545456, 1.621246337890625e-05
id, pt, 0.1568627450980392, 8.893013000488281e-05
id, ro, 0.23529411764705882, 1.9073486328125e-05
id, ja, 0.15, 1.7642974853515625e-05
id, simple, 0.21875, 1.6927719116210938e-05
id, it, 0.125, 4.363059997558594e-05
id, he, 0.3157894736842105, 1.7404556274414062e-05
id, da, 0.21875, 1.621246337890625e-05
id, en, 0.057692307692307696, 0.0007994174957275391
id, sr, 0.19148936170212766, 3.075599670410156e-05
id, sv, 0.21568627450980393, 2.5272369384765625e-05
id, ckb, 0.08, 1.3589859008789062e-05
id, ru, 0.1686746987951807, 1.8835067749023438e-05
id, hi, 0.24, 1.4066696166992188e-05
id, arz, 0.045454545454545456, 1.2874603271484375e-05
id, bs, 0.2, 1.621246337890625e-05
id, te, 0.08695652173913043, 1.1920928955078125e-05
id, zh, 0.20689655172413793, 1.7404556274414062e-05
id, mk, 0.125, 1.3113021850585938e-05
id, hu, 0.1935483870967742, 1.5020370483398438e-05
id, ko, 0.25, 1.5497207641601562e-05
id, war, 0.045454545454545456, 1.239776611328125e-05
id, union, 0.05057471264367816, 0.001336812973022461
fr, fr, 1.0, 9.918212890625e-05
fr, mr, 0.023809523809523808, 4.2438507080078125e-05
fr, tr, 0.1297709923664122, 4.553794860839844e-05
fr, lv, 0.03968253968253968, 4.1961669921875e-05
fr, el, 0.05426356589147287, 4.267692565917969e-05
fr, es, 0.33695652173913043, 8.58306884765625e-05
fr, pl, 0.33014354066985646, 9.226799011230469e-05
fr, vi, 0.16666666666666666, 4.601478576660156e-05
fr, de, 0.34210526315789475, 8.630752563476562e-05
fr, ml, 0.031746031746031744, 4.3392181396484375e-05
fr, sh, 0.12403100775193798, 7.390975952148438e-05
fr, nl, 0.2676056338028169, 6.556510925292969e-05
fr, si, 0.007936507936507936, 4.1961669921875e-05
fr, pt, 0.37888198757763975, 0.00011992454528808594
fr, ro, 0.13178294573643412, 4.649162292480469e-05
fr, ja, 0.2097902097902098, 4.744529724121094e-05
fr, simple, 0.0916030534351145, 4.649162292480469e-05
fr, it, 0.3372093023255814, 7.700920104980469e-05
fr, he, 0.15789473684210525, 4.7206878662109375e-05
fr, da, 0.12598425196850394, 4.5299530029296875e-05
fr, en, 0.266839378238342, 0.00084686279296875
fr, sr, 0.17647058823529413, 6.604194641113281e-05
fr, sv, 0.25757575757575757, 5.888938903808594e-05
fr, ckb, 0.0234375, 4.482269287109375e-05
fr, ru, 0.3137254901960784, 5.221366882324219e-05
fr, hi, 0.07142857142857142, 4.482269287109375e-05
fr, arz, 0.007936507936507936, 4.315376281738281e-05
fr, bs, 0.05511811023622047, 4.458427429199219e-05
fr, te, 0.023809523809523808, 4.220008850097656e-05
fr, zh, 0.23404255319148937, 4.863739013671875e-05
fr, mk, 0.031496062992125984, 4.1961669921875e-05
fr, hu, 0.1015625, 4.363059997558594e-05
fr, ko, 0.12878787878787878, 4.458427429199219e-05
fr, war, 0.007936507936507936, 3.981590270996094e-05
fr, union, 0.2896551724137931, 0.0012471675872802734
mr, mr, 1.0, 1.5735626220703125e-05
mr, tr, 0.13636363636363635, 1.5497207641601562e-05
mr, lv, 0.6, 1.0967254638671875e-05
mr, el, 0.3, 1.0728836059570312e-05
mr, es, 0.025, 5.269050598144531e-05
mr, pl, 0.019736842105263157, 5.6743621826171875e-05
mr, vi, 0.10714285714285714, 1.33514404296875e-05
mr, de, 0.023255813953488372, 5.221366882324219e-05
mr, ml, 0.4, 1.1205673217773438e-05
mr, sh, 0.15789473684210525, 4.076957702636719e-05
mr, nl, 0.05555555555555555, 3.0279159545898438e-05
mr, si, 0.3333333333333333, 1.0967254638671875e-05
mr, pt, 0.03125, 7.987022399902344e-05
mr, ro, 0.15, 1.5497207641601562e-05
mr, ja, 0.06382978723404255, 1.3828277587890625e-05
mr, simple, 0.17647058823529413, 1.430511474609375e-05
mr, it, 0.028846153846153848, 4.029273986816406e-05
mr, he, 0.10714285714285714, 1.3589859008789062e-05
mr, da, 0.17647058823529413, 1.3828277587890625e-05
mr, en, 0.008264462809917356, 0.0007612705230712891
mr, sr, 0.08823529411764706, 4.0531158447265625e-05
mr, sv, 0.075, 2.2411346435546875e-05
mr, ckb, 0.3333333333333333, 1.2159347534179688e-05
mr, ru, 0.04, 1.5735626220703125e-05
mr, hi, 0.3333333333333333, 1.0967254638671875e-05
mr, arz, 0.3333333333333333, 9.5367431640625e-06
mr, bs, 0.2222222222222222, 1.239776611328125e-05
mr, te, 0.5, 9.298324584960938e-06
mr, zh, 0.0625, 1.2874603271484375e-05
mr, mk, 0.14285714285714285, 9.5367431640625e-06
mr, hu, 0.2, 1.1444091796875e-05
mr, ko, 0.13043478260869565, 1.1682510375976562e-05
mr, war, 0.3333333333333333, 9.5367431640625e-06
mr, union, 0.006896551724137931, 0.0011472702026367188
tr, tr, 1.0, 2.2411346435546875e-05
tr, lv, 0.22727272727272727, 1.430511474609375e-05
tr, el, 0.23076923076923078, 1.3113021850585938e-05
tr, es, 0.136, 5.3882598876953125e-05
tr, pl, 0.12987012987012986, 6.0558319091796875e-05
tr, vi, 0.35135135135135137, 1.621246337890625e-05
tr, de, 0.15267175572519084, 5.5789947509765625e-05
tr, ml, 0.08333333333333333, 1.33514404296875e-05
tr, sh, 0.20588235294117646, 4.363059997558594e-05
tr, nl, 0.22580645161290322, 3.314018249511719e-05
tr, si, 0.045454545454545456, 1.2874603271484375e-05
tr, pt, 0.20408163265306123, 8.511543273925781e-05
tr, ro, 0.2, 1.7404556274414062e-05
tr, ja, 0.21052631578947367, 1.621246337890625e-05
tr, simple, 0.3, 1.621246337890625e-05
tr, it, 0.16666666666666666, 4.315376281738281e-05
tr, he, 0.35135135135135137, 1.621246337890625e-05
tr, da, 0.21875, 1.4781951904296875e-05
tr, en, 0.057692307692307696, 0.0007829666137695312
tr, sr, 0.24444444444444444, 3.314018249511719e-05
tr, sv, 0.24, 2.4557113647460938e-05
tr, ckb, 0.08, 1.2636184692382812e-05
tr, ru, 0.22784810126582278, 1.7404556274414062e-05
tr, hi, 0.2916666666666667, 1.2636184692382812e-05
tr, arz, 0.045454545454545456, 1.1205673217773438e-05
tr, bs, 0.15384615384615385, 1.3828277587890625e-05
tr, te, 0.08695652173913043, 1.1205673217773438e-05
tr, zh, 0.1864406779661017, 1.52587890625e-05
tr, mk, 0.125, 1.1682510375976562e-05
