Language1, Language2, SimilarityScore, Time
id, id, 1.0, 4.601478576660156e-05
id, fr, 0.6526806526806528, 2.5987625122070312e-05
id, mr, 0.5357142857142857, 1.3589859008789062e-05
id, tr, 0.6936416184971098, 1.6689300537109375e-05
id, lv, 0.5806451612903225, 1.2636184692382812e-05
id, el, 0.6885245901639344, 1.4543533325195312e-05
id, es, 0.625, 2.1219253540039062e-05
id, pl, 0.6216216216216216, 1.5974044799804688e-05
id, vi, 0.6616541353383459, 1.52587890625e-05
id, de, 0.6454689984101749, 1.9311904907226562e-05
id, ml, 0.5882352941176471, 1.4543533325195312e-05
id, sh, 0.6315789473684211, 1.4781951904296875e-05
id, nl, 0.6942148760330579, 1.9550323486328125e-05
id, si, 0.5517241379310345, 1.3589859008789062e-05
id, pt, 0.7485604606525912, 1.9311904907226562e-05
id, ro, 0.6060606060606061, 1.52587890625e-05
id, ja, 0.6341463414634146, 1.6450881958007812e-05
id, simple, 0.6285714285714286, 1.5020370483398438e-05
id, it, 0.7202216066481995, 2.3603439331054688e-05
id, he, 0.6111111111111112, 2.3126602172851562e-05
id, da, 0.638888888888889, 1.5974044799804688e-05
id, en, 0.6449934980494149, 4.3392181396484375e-05
id, sr, 0.5806451612903225, 1.4781951904296875e-05
id, sv, 0.6729411764705883, 1.811981201171875e-05
id, ckb, 0.5357142857142857, 1.3113021850585938e-05
id, ru, 0.641025641025641, 1.7881393432617188e-05
id, hi, 0.59375, 1.3828277587890625e-05
id, arz, 0.5357142857142857, 1.2874603271484375e-05
id, bs, 0.5517241379310345, 1.3113021850585938e-05
id, te, 0.5357142857142857, 1.2636184692382812e-05
id, zh, 0.6835443037974684, 1.9311904907226562e-05
id, mk, 0.5757575757575757, 1.5735626220703125e-05
id, hu, 0.6707317073170731, 1.6927719116210938e-05
id, ko, 0.641025641025641, 1.3589859008789062e-05
id, war, 0.5185185185185185, 1.2159347534179688e-05
id, union, 0.5886026541764247, 9.989738464355469e-05
fr, fr, 1.0, 2.5510787963867188e-05
fr, mr, 0.5217391304347826, 1.52587890625e-05
fr, tr, 0.6233766233766235, 1.8596649169921875e-05
fr, lv, 0.5510204081632653, 1.5497207641601562e-05
fr, el, 0.5769230769230769, 1.71661376953125e-05
fr, es, 0.5833333333333333, 2.3126602172851562e-05
fr, pl, 0.5818181818181818, 1.8596649169921875e-05
fr, vi, 0.6104078762306611, 1.71661376953125e-05
fr, de, 0.59375, 2.0503997802734375e-05
fr, ml, 0.5686274509803921, 1.5735626220703125e-05
fr, sh, 0.5471698113207547, 1.8358230590820312e-05
fr, nl, 0.6283018867924529, 2.2411346435546875e-05
fr, si, 0.5319148936170213, 1.6450881958007812e-05
fr, pt, 0.6861111111111111, 2.3126602172851562e-05
fr, ro, 0.5686274509803921, 1.8358230590820312e-05
fr, ja, 0.6687898089171974, 2.002716064453125e-05
fr, simple, 0.5740740740740741, 1.8358230590820312e-05
fr, it, 0.6962509563886764, 2.7179718017578125e-05
fr, he, 0.5849056603773585, 1.71661376953125e-05
fr, da, 0.5818181818181818, 1.9311904907226562e-05
fr, en, 0.6658446362515412, 4.363059997558594e-05
fr, sr, 0.5510204081632653, 1.811981201171875e-05
fr, sv, 0.6370449678800857, 2.1457672119140625e-05
fr, ckb, 0.5217391304347826, 1.6689300537109375e-05
fr, ru, 0.6415094339622641, 2.09808349609375e-05
fr, hi, 0.56, 1.6689300537109375e-05
fr, arz, 0.5217391304347826, 1.5974044799804688e-05
fr, bs, 0.5319148936170213, 1.6689300537109375e-05
fr, te, 0.5217391304347826, 1.6450881958007812e-05
fr, zh, 0.6545454545454545, 2.2172927856445312e-05
fr, mk, 0.5714285714285714, 1.9311904907226562e-05
fr, hu, 0.6310432569974554, 2.0265579223632812e-05
fr, ko, 0.6071428571428572, 1.7404556274414062e-05
fr, war, 0.5111111111111111, 1.6450881958007812e-05
fr, union, 0.6593208593208594, 0.00011181831359863281
mr, mr, 1.0, 1.3113021850585938e-05
mr, tr, 0.5416666666666666, 1.33514404296875e-05
mr, lv, 0.6666666666666666, 1.0728836059570312e-05
mr, el, 0.5555555555555556, 1.049041748046875e-05
mr, es, 0.5238095238095238, 1.6689300537109375e-05
mr, pl, 0.5454545454545455, 1.2159347534179688e-05
mr, vi, 0.55, 1.1205673217773438e-05
mr, de, 0.5294117647058824, 1.4543533325195312e-05
mr, ml, 0.6666666666666666, 1.049041748046875e-05
mr, sh, 0.5625, 1.049041748046875e-05
mr, nl, 0.53125, 1.3113021850585938e-05
mr, si, 0.7692307692307692, 9.298324584960938e-06
mr, pt, 0.5277777777777778, 1.2874603271484375e-05
mr, ro, 0.5625, 9.5367431640625e-06
mr, ja, 0.5357142857142857, 1.33514404296875e-05
mr, simple, 0.55, 1.0967254638671875e-05
mr, it, 0.5357142857142857, 1.7881393432617188e-05
mr, he, 0.7586206896551725, 1.0728836059570312e-05
mr, da, 0.5454545454545455, 1.1682510375976562e-05
mr, en, 0.5263157894736842, 3.4332275390625e-05
mr, sr, 0.5, 1.0251998901367188e-05
mr, sv, 0.5357142857142857, 1.3113021850585938e-05
