Language1, Language2, SimilarityScore, Time
id, id, 1.0, 4.291534423828125e-05
id, fr, 0.564755838641189, 3.7670135498046875e-05
id, tr, 0.6363636363636364, 1.5974044799804688e-05
id, lv, 0.625, 1.430511474609375e-05
id, el, 0.625, 1.3589859008789062e-05
id, es, 0.5683060109289617, 2.2411346435546875e-05
id, pl, 0.546, 4.220008850097656e-05
id, vi, 0.5714285714285714, 3.218650817871094e-05
id, de, 0.557504873294347, 2.3126602172851562e-05
id, ml, 0.5714285714285714, 1.3828277587890625e-05
id, sh, 0.5714285714285714, 1.2874603271484375e-05
id, nl, 0.6372549019607843, 1.6450881958007812e-05
id, pt, 0.5555555555555556, 1.621246337890625e-05
id, ro, 0.5192851344921209, 0.0006041526794433594
id, ja, 0.5515832482124617, 3.4809112548828125e-05
id, simple, 0.6363636363636364, 1.621246337890625e-05
id, it, 0.6306306306306306, 1.71661376953125e-05
id, he, 0.5714285714285714, 1.4066696166992188e-05
id, da, 0.6363636363636364, 1.33514404296875e-05
id, en, 0.5190950601909506, 4.172325134277344e-05
id, sr, 0.65625, 1.5735626220703125e-05
id, sv, 0.717391304347826, 1.52587890625e-05
id, ckb, 0.625, 1.3828277587890625e-05
id, ru, 0.5283018867924528, 1.8358230590820312e-05
id, hi, 0.5714285714285714, 1.3113021850585938e-05
id, bs, 0.5714285714285714, 1.4066696166992188e-05
id, te, 0.5714285714285714, 1.239776611328125e-05
id, zh, 0.5714285714285714, 1.4543533325195312e-05
id, mk, 0.5714285714285714, 1.2874603271484375e-05
id, hu, 0.5555555555555556, 1.6689300537109375e-05
id, ko, 0.5789473684210527, 1.430511474609375e-05
id, union, 0.5062792652179133, 0.0007009506225585938
fr, fr, 1.0, 3.409385681152344e-05
fr, tr, 0.5555555555555556, 2.09808349609375e-05
fr, lv, 0.5294117647058824, 2.002716064453125e-05
fr, el, 0.5294117647058824, 1.9788742065429688e-05
fr, es, 0.5904617713853142, 2.7894973754882812e-05
fr, pl, 0.576271186440678, 4.458427429199219e-05
fr, vi, 0.610909090909091, 2.3603439331054688e-05
fr, de, 0.6169188445667125, 2.9087066650390625e-05
fr, ml, 0.5151515151515151, 2.0265579223632812e-05
fr, sh, 0.5151515151515151, 1.8835067749023438e-05
fr, nl, 0.6130374479889044, 2.288818359375e-05
fr, pt, 0.6363636363636364, 2.288818359375e-05
fr, ro, 0.5248720095820569, 0.0005390644073486328
fr, ja, 0.6355555555555555, 4.172325134277344e-05
fr, simple, 0.5405405405405405, 2.2172927856445312e-05
fr, it, 0.6392757660167131, 2.384185791015625e-05
fr, he, 0.5813953488372093, 2.0503997802734375e-05
fr, da, 0.5405405405405405, 1.9788742065429688e-05
fr, en, 0.6443239691145064, 4.9591064453125e-05
fr, sr, 0.569620253164557, 2.3126602172851562e-05
fr, sv, 0.5797101449275363, 2.193450927734375e-05
fr, ckb, 0.5294117647058824, 1.9550323486328125e-05
fr, ru, 0.5891800507185122, 2.5987625122070312e-05
fr, hi, 0.5151515151515151, 1.9311904907226562e-05
fr, bs, 0.5151515151515151, 2.1696090698242188e-05
fr, te, 0.5151515151515151, 1.9550323486328125e-05
fr, zh, 0.5952380952380952, 2.193450927734375e-05
fr, mk, 0.5151515151515151, 1.9311904907226562e-05
fr, hu, 0.56, 2.3365020751953125e-05
fr, ko, 0.5581395348837209, 2.0265579223632812e-05
fr, union, 0.5341604100081321, 0.0006668567657470703
tr, tr, 1.0, 1.7404556274414062e-05
tr, lv, 0.8571428571428571, 1.239776611328125e-05
tr, el, 0.8571428571428571, 1.2159347534179688e-05
tr, es, 0.54, 1.8835067749023438e-05
tr, pl, 0.55, 3.528594970703125e-05
tr, vi, 0.6000000000000001, 1.3828277587890625e-05
tr, de, 0.54, 1.9311904907226562e-05
tr, ml, 0.7692307692307692, 1.1920928955078125e-05
tr, sh, 0.7692307692307692, 1.1682510375976562e-05
tr, nl, 0.5833333333333333, 1.430511474609375e-05
tr, pt, 0.5714285714285714, 1.33514404296875e-05
tr, ro, 0.5185185185185185, 0.0005695819854736328
tr, ja, 0.5526315789473684, 3.075599670410156e-05
tr, simple, 0.6153846153846154, 1.2636184692382812e-05
tr, it, 0.5769230769230769, 1.4543533325195312e-05
tr, he, 0.8387096774193549, 1.2636184692382812e-05
tr, da, 0.8888888888888888, 1.1682510375976562e-05
tr, en, 0.5166666666666666, 3.910064697265625e-05
tr, sr, 0.5555555555555556, 1.3828277587890625e-05
tr, sv, 0.6000000000000001, 1.239776611328125e-05
tr, ckb, 0.8571428571428571, 1.239776611328125e-05
tr, ru, 0.5370370370370371, 1.621246337890625e-05
tr, hi, 0.7692307692307692, 1.1444091796875e-05
tr, bs, 0.7692307692307692, 1.1444091796875e-05
tr, te, 0.7692307692307692, 1.1444091796875e-05
tr, zh, 0.5909090909090909, 1.2159347534179688e-05
tr, mk, 0.7692307692307692, 1.1205673217773438e-05
tr, hu, 0.5714285714285714, 1.430511474609375e-05
tr, ko, 0.8571428571428571, 1.2159347534179688e-05
tr, union, 0.508, 0.0006911754608154297
lv, lv, 1.0, 1.3828277587890625e-05
lv, el, 1.0, 1.1920928955078125e-05
lv, es, 0.5208333333333334, 1.8358230590820312e-05
lv, pl, 0.5263157894736842, 3.5762786865234375e-05
lv, vi, 0.5833333333333333, 1.3828277587890625e-05
lv, de, 0.5208333333333334, 1.9073486328125e-05
lv, ml, 0.8571428571428571, 1.1682510375976562e-05
lv, sh, 0.8571428571428571, 1.0967254638671875e-05
lv, nl, 0.5454545454545455, 1.3589859008789062e-05
lv, pt, 0.5384615384615384, 1.2874603271484375e-05
lv, ro, 0.5128205128205129, 0.0006124973297119141
lv, ja, 0.5277777777777778, 3.147125244140625e-05
lv, simple, 0.6000000000000001, 1.2159347534179688e-05
lv, it, 0.5416666666666666, 1.4781951904296875e-05
lv, he, 0.7586206896551725, 1.33514404296875e-05
lv, da, 0.8571428571428571, 1.1682510375976562e-05
lv, en, 0.5084745762711864, 3.933906555175781e-05
lv, sr, 0.52, 1.2874603271484375e-05
lv, sv, 0.5555555555555556, 1.239776611328125e-05
lv, ckb, 1.0, 1.1444091796875e-05
lv, ru, 0.5192307692307692, 1.6689300537109375e-05
lv, hi, 0.8571428571428571, 1.239776611328125e-05
lv, bs, 0.8571428571428571, 1.1920928955078125e-05
lv, te, 0.8571428571428571, 1.1682510375976562e-05
lv, zh, 0.55, 1.2636184692382812e-05
lv, mk, 0.8571428571428571, 1.1205673217773438e-05
lv, hu, 0.5384615384615384, 1.4543533325195312e-05
lv, ko, 0.7692307692307692, 1.1920928955078125e-05
lv, union, 0.5040322580645161, 0.0007686614990234375
el, el, 1.0, 2.765655517578125e-05
el, es, 0.5208333333333334, 3.5762786865234375e-05
el, pl, 0.5263157894736842, 3.600120544433594e-05
el, vi, 0.5833333333333333, 1.5497207641601562e-05
el, de, 0.5208333333333334, 2.09808349609375e-05
el, ml, 0.8571428571428571, 1.3113021850585938e-05
el, sh, 0.8571428571428571, 1.2636184692382812e-05
el, nl, 0.5454545454545455, 1.5497207641601562e-05
el, pt, 0.5384615384615384, 1.430511474609375e-05
el, ro, 0.5128205128205129, 0.0005924701690673828
el, ja, 0.5277777777777778, 3.314018249511719e-05
el, simple, 0.6000000000000001, 1.33514404296875e-05
el, it, 0.5416666666666666, 1.621246337890625e-05
el, he, 0.7586206896551725, 1.52587890625e-05
el, da, 0.8571428571428571, 1.3113021850585938e-05
el, en, 0.5084745762711864, 4.00543212890625e-05
el, sr, 0.52, 1.4543533325195312e-05
el, sv, 0.5555555555555556, 1.3828277587890625e-05
el, ckb, 1.0, 1.2636184692382812e-05
el, ru, 0.5192307692307692, 1.7881393432617188e-05
el, hi, 0.8571428571428571, 1.2874603271484375e-05
el, bs, 0.8571428571428571, 1.33514404296875e-05
el, te, 0.8571428571428571, 1.2636184692382812e-05
el, zh, 0.55, 1.430511474609375e-05
el, mk, 0.8571428571428571, 1.2874603271484375e-05
el, hu, 0.5384615384615384, 1.6689300537109375e-05
el, ko, 0.7692307692307692, 1.2636184692382812e-05
el, union, 0.5040322580645161, 0.012883186340332031
es, es, 1.0, 4.0531158447265625e-05
es, pl, 0.5609607783520827, 4.696846008300781e-05
es, vi, 0.5283018867924528, 2.1696090698242188e-05
es, de, 0.6554903604358759, 2.9325485229492188e-05
es, ml, 0.5106382978723405, 2.3365020751953125e-05
es, sh, 0.5106382978723405, 1.7881393432617188e-05
es, nl, 0.6, 2.1696090698242188e-05
es, pt, 0.5833333333333333, 2.1696090698242188e-05
es, ro, 0.5216660721326248, 0.0005650520324707031
es, ja, 0.6119610570236439, 4.029273986816406e-05
es, simple, 0.5669291338582677, 2.002716064453125e-05
es, it, 0.6317567567567567, 2.3126602172851562e-05
es, he, 0.5614035087719298, 1.9311904907226562e-05
es, da, 0.5294117647058824, 1.7642974853515625e-05
es, en, 0.603998096144693, 4.8160552978515625e-05
es, sr, 0.5645756457564576, 2.2411346435546875e-05
es, sv, 0.6186252771618626, 2.0265579223632812e-05
es, ckb, 0.5208333333333334, 1.8596649169921875e-05
es, ru, 0.5952649379932357, 2.574920654296875e-05
es, hi, 0.5106382978723405, 1.811981201171875e-05
es, bs, 0.5106382978723405, 1.6689300537109375e-05
es, te, 0.5106382978723405, 1.7642974853515625e-05
es, zh, 0.6153846153846154, 1.9550323486328125e-05
es, mk, 0.5106382978723405, 1.8358230590820312e-05
es, hu, 0.6179775280898876, 2.1696090698242188e-05
es, ko, 0.543859649122807, 1.8835067749023438e-05
es, union, 0.5448002719198427, 0.0006935596466064453
pl, pl, 1.0, 6.508827209472656e-05
pl, vi, 0.5348837209302326, 3.933906555175781e-05
pl, de, 0.560524067217317, 4.506111145019531e-05
pl, ml, 0.5135135135135135, 3.528594970703125e-05
pl, sh, 0.5135135135135135, 3.4809112548828125e-05
pl, nl, 0.5562913907284768, 4.267692565917969e-05
pl, pt, 0.5660377358490566, 3.886222839355469e-05
pl, ro, 0.5190899787451783, 0.0006017684936523438
pl, ja, 0.5798602122702563, 5.650520324707031e-05
pl, simple, 0.5365853658536585, 3.7670135498046875e-05
pl, it, 0.5651972157772622, 3.933906555175781e-05
pl, he, 0.5510204081632653, 3.552436828613281e-05
pl, da, 0.55, 3.504753112792969e-05
pl, en, 0.5464601769911505, 7.009506225585938e-05
pl, sr, 0.5343159834177797, 3.790855407714844e-05
pl, sv, 0.5609492988133765, 3.647804260253906e-05
pl, ckb, 0.5263157894736842, 3.361701965332031e-05
pl, ru, 0.5659667815731746, 4.0531158447265625e-05
pl, hi, 0.5135135135135135, 3.504753112792969e-05
pl, bs, 0.5135135135135135, 3.457069396972656e-05
pl, te, 0.5135135135135135, 3.4332275390625e-05
pl, zh, 0.5625, 3.504753112792969e-05
pl, mk, 0.5135135135135135, 3.528594970703125e-05
pl, hu, 0.5932203389830508, 4.00543212890625e-05
pl, ko, 0.5531914893617021, 3.528594970703125e-05
pl, union, 0.5447106499521276, 0.0006878376007080078
vi, vi, 1.0, 1.9550323486328125e-05
vi, de, 0.5283018867924528, 2.3365020751953125e-05
vi, ml, 0.5454545454545455, 1.430511474609375e-05
vi, sh, 0.5454545454545455, 1.430511474609375e-05
vi, nl, 0.5555555555555556, 1.9311904907226562e-05
vi, pt, 0.5666666666666667, 1.5735626220703125e-05
vi, ro, 0.5180722891566265, 0.0005550384521484375
vi, ja, 0.55, 3.3855438232421875e-05
vi, simple, 0.5625, 1.52587890625e-05
vi, it, 0.5517241379310345, 1.8835067749023438e-05
vi, he, 0.56, 1.5020370483398438e-05
vi, da, 0.5625, 1.5020370483398438e-05
vi, en, 0.533582824502659, 4.38690185546875e-05
vi, sr, 0.5333333333333333, 1.6689300537109375e-05
vi, sv, 0.5652173913043479, 1.6450881958007812e-05
vi, ckb, 0.5833333333333333, 1.5974044799804688e-05
vi, ru, 0.5357142857142857, 2.1457672119140625e-05
vi, hi, 0.5454545454545455, 1.3828277587890625e-05
vi, bs, 0.5454545454545455, 1.5735626220703125e-05
vi, te, 0.5454545454545455, 1.5020370483398438e-05
vi, zh, 0.56, 1.7404556274414062e-05
vi, mk, 0.5454545454545455, 1.4066696166992188e-05
vi, hu, 0.5483870967741935, 1.7642974853515625e-05
vi, ko, 0.5652173913043479, 1.430511474609375e-05
vi, union, 0.5107368654857569, 0.0006763935089111328
de, de, 1.0, 3.504753112792969e-05
de, ml, 0.5106382978723405, 2.09808349609375e-05
de, sh, 0.5106382978723405, 1.8835067749023438e-05
de, nl, 0.652542372881356, 2.4318695068359375e-05
de, pt, 0.5950540958268934, 2.3603439331054688e-05
de, ro, 0.5261647933712711, 0.0005755424499511719
de, ja, 0.6206896551724138, 4.1484832763671875e-05
de, simple, 0.5678776290630975, 2.2172927856445312e-05
de, it, 0.7041420118343196, 2.4080276489257812e-05
de, he, 0.5517241379310345, 2.09808349609375e-05
de, da, 0.5294117647058824, 2.0742416381835938e-05
de, en, 0.5943645435867332, 5.14984130859375e-05
de, sr, 0.5828571428571429, 2.1696090698242188e-05
de, sv, 0.6098360655737706, 2.288818359375e-05
de, ckb, 0.5208333333333334, 2.09808349609375e-05
de, ru, 0.5517241379310345, 2.47955322265625e-05
de, hi, 0.5106382978723405, 1.8835067749023438e-05
de, bs, 0.5106382978723405, 1.9073486328125e-05
de, te, 0.5106382978723405, 2.6702880859375e-05
de, zh, 0.5714285714285714, 2.1457672119140625e-05
de, mk, 0.5106382978723405, 1.9311904907226562e-05
de, hu, 0.5882352941176471, 2.3365020751953125e-05
de, ko, 0.5535714285714286, 2.384185791015625e-05
de, union, 0.5456745757959246, 0.0006866455078125
ml, ml, 1.0, 1.7642974853515625e-05
ml, sh, 1.0, 1.2636184692382812e-05
ml, nl, 0.5238095238095238, 1.5735626220703125e-05
ml, pt, 0.52, 1.430511474609375e-05
ml, ro, 0.5064935064935064, 0.0005779266357421875
ml, ja, 0.5142857142857143, 3.528594970703125e-05
ml, simple, 0.5555555555555556, 1.4066696166992188e-05
ml, it, 0.5217391304347826, 1.5020370483398438e-05
ml, he, 0.7142857142857143, 1.6689300537109375e-05
ml, da, 0.7692307692307692, 1.4543533325195312e-05
ml, en, 0.5042735042735043, 4.1484832763671875e-05
ml, sr, 0.5217391304347826, 1.4066696166992188e-05
ml, sv, 0.5294117647058824, 1.4066696166992188e-05
ml, ckb, 0.8571428571428571, 1.3113021850585938e-05
ml, ru, 0.5098039215686274, 1.8358230590820312e-05
ml, hi, 1.0, 1.2636184692382812e-05
ml, bs, 1.0, 1.239776611328125e-05
ml, te, 1.0, 1.1920928955078125e-05
ml, zh, 0.5263157894736842, 1.4066696166992188e-05
ml, mk, 1.0, 3.0279159545898438e-05
ml, hu, 0.52, 1.7881393432617188e-05
ml, ko, 0.72, 1.33514404296875e-05
ml, union, 0.5020242914979757, 0.0007126331329345703
sh, sh, 1.0, 1.7404556274414062e-05
sh, nl, 0.5238095238095238, 1.621246337890625e-05
sh, pt, 0.52, 1.3828277587890625e-05
sh, ro, 0.5064935064935064, 0.0005738735198974609
sh, ja, 0.5142857142857143, 3.4809112548828125e-05
sh, simple, 0.5555555555555556, 1.3113021850585938e-05
sh, it, 0.5217391304347826, 1.7404556274414062e-05
sh, he, 0.7142857142857143, 1.621246337890625e-05
sh, da, 0.7692307692307692, 1.5020370483398438e-05
sh, en, 0.5042735042735043, 4.124641418457031e-05
sh, sr, 0.5217391304347826, 1.4066696166992188e-05
sh, sv, 0.5294117647058824, 1.3828277587890625e-05
sh, ckb, 0.8571428571428571, 1.4066696166992188e-05
sh, ru, 0.5098039215686274, 1.7881393432617188e-05
sh, hi, 1.0, 1.2159347534179688e-05
sh, bs, 1.0, 1.2159347534179688e-05
sh, te, 1.0, 1.2636184692382812e-05
sh, zh, 0.5263157894736842, 2.002716064453125e-05
sh, mk, 1.0, 1.3113021850585938e-05
sh, hu, 0.52, 1.5735626220703125e-05
sh, ko, 0.72, 1.3828277587890625e-05
sh, union, 0.5020242914979757, 0.0007083415985107422
nl, nl, 1.0, 2.1219253540039062e-05
nl, pt, 0.5641025641025641, 1.7404556274414062e-05
nl, ro, 0.5164225792691597, 0.0005543231964111328
nl, ja, 0.5947136563876652, 3.814697265625e-05
nl, simple, 0.6306306306306306, 1.621246337890625e-05
nl, it, 0.721030042918455, 1.9788742065429688e-05
nl, he, 0.5588235294117647, 1.71661376953125e-05
nl, da, 0.56, 1.621246337890625e-05
nl, en, 0.5536639526276832, 4.291534423828125e-05
nl, sr, 0.5915492957746479, 0.01607036590576172
nl, sv, 0.75, 2.1696090698242188e-05
nl, ckb, 0.5454545454545455, 1.7404556274414062e-05
nl, ru, 0.5303030303030303, 2.3603439331054688e-05
nl, hi, 0.5238095238095238, 1.621246337890625e-05
nl, bs, 0.5238095238095238, 1.5974044799804688e-05
nl, te, 0.5238095238095238, 1.5974044799804688e-05
nl, zh, 0.59375, 1.621246337890625e-05
nl, mk, 0.5238095238095238, 1.4543533325195312e-05
nl, hu, 0.5641025641025641, 1.8835067749023438e-05
nl, ko, 0.5625, 1.5974044799804688e-05
nl, union, 0.5206056129985229, 0.000774383544921875
pt, pt, 1.0, 1.9311904907226562e-05
pt, ro, 0.5208333333333334, 0.0005745887756347656
pt, ja, 0.5927327781983346, 3.5762786865234375e-05
pt, simple, 0.5517241379310345, 1.6450881958007812e-05
pt, it, 0.6686046511627907, 1.8358230590820312e-05
pt, he, 0.5833333333333333, 1.4066696166992188e-05
pt, da, 0.5517241379310345, 1.33514404296875e-05
pt, en, 0.5499137765855527, 4.410743713378906e-05
pt, sr, 0.6699029126213593, 1.811981201171875e-05
pt, sv, 0.5714285714285714, 1.5020370483398438e-05
pt, ckb, 0.5384615384615384, 1.239776611328125e-05
pt, ru, 0.5522388059701493, 2.0742416381835938e-05
pt, hi, 0.52, 1.4543533325195312e-05
pt, bs, 0.52, 1.4066696166992188e-05
pt, te, 0.52, 1.239776611328125e-05
pt, zh, 0.6000000000000001, 1.52587890625e-05
pt, mk, 0.52, 1.2874603271484375e-05
pt, hu, 0.5714285714285714, 1.7881393432617188e-05
pt, ko, 0.5714285714285714, 1.5020370483398438e-05
pt, union, 0.5235286619775432, 0.0007030963897705078
ro, ro, 1.0, 0.0012791156768798828
ro, ja, 0.5244002460529014, 0.0005817413330078125
ro, simple, 0.5185185185185185, 0.015244483947753906
ro, it, 0.5215760289790512, 0.0005712509155273438
ro, he, 0.5222222222222223, 0.0005636215209960938
ro, da, 0.5185185185185185, 0.0005581378936767578
ro, en, 0.5194900486104742, 0.0005869865417480469
ro, sr, 0.5160832819892817, 0.0005407333374023438
ro, sv, 0.5171489551794312, 0.0006239414215087891
ro, ckb, 0.5128205128205129, 0.0005567073822021484
ro, ru, 0.5294117647058824, 0.0005490779876708984
ro, hi, 0.5064935064935064, 0.0005517005920410156
ro, bs, 0.5064935064935064, 0.0005402565002441406
ro, te, 0.5064935064935064, 0.0005528926849365234
ro, zh, 0.5222222222222223, 0.0005552768707275391
ro, mk, 0.5064935064935064, 0.0005764961242675781
ro, hu, 0.5154639175257733, 0.0005488395690917969
ro, ko, 0.5227272727272727, 0.0005466938018798828
ro, union, 0.7752345698962742, 0.0014026165008544922
ja, ja, 1.0, 5.53131103515625e-05
ja, simple, 0.5494186046511628, 2.9087066650390625e-05
ja, it, 0.6471494607087828, 3.4332275390625e-05
ja, he, 0.5652173913043479, 3.075599670410156e-05
ja, da, 0.5384615384615384, 2.8848648071289062e-05
ja, en, 0.5956678700361011, 5.984306335449219e-05
ja, sr, 0.56, 3.0994415283203125e-05
ja, sv, 0.5785123966942148, 3.24249267578125e-05
ja, ckb, 0.5277777777777778, 2.956390380859375e-05
ja, ru, 0.5675675675675675, 3.504753112792969e-05
ja, hi, 0.5142857142857143, 2.8848648071289062e-05
ja, bs, 0.5142857142857143, 2.8371810913085938e-05
ja, te, 0.5142857142857143, 2.7418136596679688e-05
ja, zh, 0.5777777777777777, 3.0994415283203125e-05
ja, mk, 0.5142857142857143, 2.9325485229492188e-05
ja, hu, 0.5576923076923077, 3.2901763916015625e-05
ja, ko, 0.5681818181818182, 2.9087066650390625e-05
ja, union, 0.5395768333289636, 0.0007519721984863281
simple, simple, 1.0, 1.7404556274414062e-05
simple, it, 0.6521739130434783, 1.7404556274414062e-05
simple, he, 0.5909090909090909, 1.4066696166992188e-05
simple, da, 0.6153846153846154, 1.430511474609375e-05
simple, en, 0.5232606010703993, 4.267692565917969e-05
simple, sr, 0.5357142857142857, 1.5020370483398438e-05
simple, sv, 0.7058823529411765, 1.5735626220703125e-05
simple, ckb, 0.6000000000000001, 1.6927719116210938e-05
simple, ru, 0.5272727272727272, 2.0265579223632812e-05
simple, hi, 0.5555555555555556, 1.2874603271484375e-05
simple, bs, 0.5555555555555556, 1.3828277587890625e-05
simple, te, 0.5555555555555556, 1.430511474609375e-05
simple, zh, 0.5652173913043479, 1.621246337890625e-05
simple, mk, 0.5555555555555556, 1.239776611328125e-05
simple, hu, 0.5714285714285714, 1.6689300537109375e-05
simple, ko, 0.6000000000000001, 1.3828277587890625e-05
simple, union, 0.5082571659764104, 0.0006673336029052734
it, it, 1.0, 2.384185791015625e-05
it, he, 0.5882352941176471, 1.7881393432617188e-05
it, da, 0.5555555555555556, 1.5020370483398438e-05
it, en, 0.566840926064227, 4.220008850097656e-05
it, sr, 0.673469387755102, 1.9311904907226562e-05
it, sv, 0.7125, 1.7404556274414062e-05
it, ckb, 0.5416666666666666, 1.4543533325195312e-05
it, ru, 0.5625, 2.0742416381835938e-05
it, hi, 0.5217391304347826, 1.4781951904296875e-05
it, bs, 0.5217391304347826, 1.5497207641601562e-05
it, te, 0.5217391304347826, 1.4066696166992188e-05
it, zh, 0.6060606060606061, 1.621246337890625e-05
it, mk, 0.5217391304347826, 1.4543533325195312e-05
it, hu, 0.5897435897435898, 1.8835067749023438e-05
it, ko, 0.59375, 1.7404556274414062e-05
it, union, 0.5224828953431192, 0.0006539821624755859
he, he, 1.0, 1.7881393432617188e-05
he, da, 0.787878787878788, 1.4781951904296875e-05
he, en, 0.5317460317460317, 4.220008850097656e-05
he, sr, 0.5405405405405405, 1.5020370483398438e-05
he, sv, 0.5666666666666667, 1.4066696166992188e-05
he, ckb, 0.7586206896551725, 1.3113021850585938e-05
he, ru, 0.5573770491803278, 1.8596649169921875e-05
he, hi, 0.7142857142857143, 1.71661376953125e-05
he, bs, 0.7142857142857143, 1.3589859008789062e-05
he, te, 0.7142857142857143, 1.1920928955078125e-05
he, zh, 0.6000000000000001, 1.4066696166992188e-05
he, mk, 0.7142857142857143, 1.52587890625e-05
he, hu, 0.5675675675675675, 1.7881393432617188e-05
he, ko, 0.8717948717948718, 1.3589859008789062e-05
he, union, 0.5176470588235293, 0.0006620883941650391
da, da, 1.0, 1.4781951904296875e-05
da, en, 0.512396694214876, 4.029273986816406e-05
da, sr, 0.5357142857142857, 1.52587890625e-05
da, sv, 0.5714285714285714, 1.6689300537109375e-05
da, ckb, 0.8571428571428571, 1.2636184692382812e-05
da, ru, 0.5272727272727272, 1.6689300537109375e-05
da, hi, 0.7692307692307692, 1.4543533325195312e-05
da, bs, 0.7692307692307692, 1.4066696166992188e-05
da, te, 0.7692307692307692, 1.3589859008789062e-05
da, zh, 0.5652173913043479, 1.2874603271484375e-05
da, mk, 0.7692307692307692, 1.2636184692382812e-05
da, hu, 0.5517241379310345, 1.52587890625e-05
da, ko, 0.8, 1.3589859008789062e-05
da, union, 0.508, 0.0006465911865234375
en, en, 1.0, 8.082389831542969e-05
en, sr, 0.5360710321864595, 4.3392181396484375e-05
en, sv, 0.5416178194607268, 4.220008850097656e-05
en, ckb, 0.5084745762711864, 3.910064697265625e-05
en, ru, 0.5641897111076781, 4.506111145019531e-05
en, hi, 0.5042735042735043, 3.981590270996094e-05
en, bs, 0.5042735042735043, 3.910064697265625e-05
en, te, 0.5042735042735043, 3.9577484130859375e-05
en, zh, 0.536, 4.38690185546875e-05
en, mk, 0.5042735042735043, 3.886222839355469e-05
en, hu, 0.5409202669476642, 4.1484832763671875e-05
en, ko, 0.532258064516129, 4.00543212890625e-05
en, union, 0.6093076247772986, 0.0007781982421875
sr, sr, 1.0, 2.09808349609375e-05
sr, sv, 0.628099173553719, 1.5974044799804688e-05
sr, ckb, 0.52, 1.5497207641601562e-05
sr, ru, 0.5294117647058824, 2.09808349609375e-05
sr, hi, 0.5217391304347826, 1.4781951904296875e-05
sr, bs, 0.5217391304347826, 1.2874603271484375e-05
sr, te, 0.5217391304347826, 1.3589859008789062e-05
sr, zh, 0.5405405405405405, 1.5020370483398438e-05
sr, mk, 0.5217391304347826, 1.4066696166992188e-05
sr, hu, 0.5476190476190476, 1.7642974853515625e-05
sr, ko, 0.5428571428571428, 1.430511474609375e-05
sr, union, 0.5219423526356791, 0.016825199127197266
sv, sv, 1.0, 2.7894973754882812e-05
sv, ckb, 0.5555555555555556, 1.5974044799804688e-05
sv, ru, 0.532258064516129, 2.1219253540039062e-05
sv, hi, 0.5294117647058824, 1.5497207641601562e-05
sv, bs, 0.5294117647058824, 1.4543533325195312e-05
sv, te, 0.5294117647058824, 1.4543533325195312e-05
sv, zh, 0.6071428571428572, 1.6689300537109375e-05
sv, mk, 0.5294117647058824, 1.33514404296875e-05
sv, hu, 0.5714285714285714, 1.7881393432617188e-05
sv, ko, 0.5714285714285714, 1.52587890625e-05
sv, union, 0.5162779206926842, 0.0006697177886962891
ckb, ckb, 1.0, 1.7404556274414062e-05
ckb, ru, 0.5192307692307692, 1.811981201171875e-05
ckb, hi, 0.8571428571428571, 1.33514404296875e-05
ckb, bs, 0.8571428571428571, 1.33514404296875e-05
ckb, te, 0.8571428571428571, 1.2159347534179688e-05
ckb, zh, 0.55, 1.5020370483398438e-05
ckb, mk, 0.8571428571428571, 1.239776611328125e-05
ckb, hu, 0.5384615384615384, 1.52587890625e-05
ckb, ko, 0.7692307692307692, 1.2874603271484375e-05
ckb, union, 0.5040322580645161, 0.0006566047668457031
ru, ru, 1.0, 2.86102294921875e-05
ru, hi, 0.5098039215686274, 1.811981201171875e-05
ru, bs, 0.5098039215686274, 1.6689300537109375e-05
ru, te, 0.5098039215686274, 1.5974044799804688e-05
ru, zh, 0.6273062730627306, 1.9073486328125e-05
ru, mk, 0.5098039215686274, 1.6689300537109375e-05
ru, hu, 0.593186372745491, 2.09808349609375e-05
ru, ko, 0.540983606557377, 1.7404556274414062e-05
ru, union, 0.5473127559170783, 0.0006518363952636719
hi, hi, 1.0, 1.4781951904296875e-05
hi, bs, 1.0, 1.33514404296875e-05
hi, te, 1.0, 1.4066696166992188e-05
hi, zh, 0.5263157894736842, 1.5974044799804688e-05
hi, mk, 1.0, 1.3113021850585938e-05
hi, hu, 0.52, 1.430511474609375e-05
hi, ko, 0.72, 1.239776611328125e-05
hi, union, 0.5020242914979757, 0.0006339550018310547
bs, bs, 1.0, 1.3828277587890625e-05
bs, te, 1.0, 1.1920928955078125e-05
bs, zh, 0.5263157894736842, 1.33514404296875e-05
bs, mk, 1.0, 1.33514404296875e-05
bs, hu, 0.52, 1.4543533325195312e-05
bs, ko, 0.72, 1.239776611328125e-05
bs, union, 0.5020242914979757, 0.0006186962127685547
te, te, 1.0, 1.3828277587890625e-05
te, zh, 0.5263157894736842, 1.2874603271484375e-05
te, mk, 1.0, 1.1444091796875e-05
te, hu, 0.52, 1.52587890625e-05
te, ko, 0.72, 1.3589859008789062e-05
te, union, 0.5020242914979757, 0.0006220340728759766
zh, zh, 1.0, 1.7404556274414062e-05
zh, mk, 0.5263157894736842, 1.239776611328125e-05
zh, hu, 0.6402439024390244, 1.6450881958007812e-05
zh, ko, 0.5862068965517242, 1.621246337890625e-05
zh, union, 0.5179140874132433, 0.0006473064422607422
mk, mk, 1.0, 1.5974044799804688e-05
