Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.9087066650390625e-05
id, fr, 0.6666666666666666, 1.8835067749023438e-05
id, mr, 1.0, 1.7642974853515625e-05
id, tr, 0.6666666666666666, 1.8358230590820312e-05
id, lv, 0.6666666666666666, 1.5735626220703125e-05
id, el, 1.0, 1.4781951904296875e-05
id, es, 1.0, 1.8596649169921875e-05
id, pl, 0.6666666666666666, 1.621246337890625e-05
id, vi, 0.6666666666666666, 1.5497207641601562e-05
id, de, 0.6666666666666666, 1.6689300537109375e-05
id, ml, 1.0, 1.4781951904296875e-05
id, sh, 0.6666666666666666, 1.4781951904296875e-05
id, nl, 0.6666666666666666, 1.6450881958007812e-05
id, si, 1.0, 1.4781951904296875e-05
id, pt, 0.6666666666666666, 1.6689300537109375e-05
id, ro, 0.6666666666666666, 1.6689300537109375e-05
id, ja, 0.6666666666666666, 1.5735626220703125e-05
id, simple, 0.6666666666666666, 1.6450881958007812e-05
id, it, 0.6666666666666666, 1.5974044799804688e-05
id, ceb, 1.0, 9.775161743164062e-06
id, he, 0.6666666666666666, 1.6689300537109375e-05
id, da, 0.6666666666666666, 1.5497207641601562e-05
id, en, 0.8, 2.0265579223632812e-05
id, sr, 0.6666666666666666, 1.5735626220703125e-05
id, sv, 0.6666666666666666, 1.5974044799804688e-05
id, ckb, 1.0, 9.5367431640625e-06
id, ru, 1.0, 1.5497207641601562e-05
id, hi, 0.6666666666666666, 1.5735626220703125e-05
id, bs, 1.0, 1.430511474609375e-05
id, te, 1.0, 1.3828277587890625e-05
id, zh, 0.6666666666666666, 1.6450881958007812e-05
id, mk, 1.0, 1.430511474609375e-05
id, hu, 0.6666666666666666, 1.52587890625e-05
id, ko, 0.6666666666666666, 1.5974044799804688e-05
fr, fr, 1.0, 1.6450881958007812e-05
fr, mr, 1.0, 1.430511474609375e-05
fr, tr, 1.0, 1.52587890625e-05
fr, lv, 1.0, 1.3828277587890625e-05
fr, el, 1.0, 1.33514404296875e-05
fr, es, 0.6666666666666666, 1.621246337890625e-05
fr, pl, 1.0, 1.6689300537109375e-05
fr, vi, 1.0, 1.430511474609375e-05
fr, de, 1.0, 1.5020370483398438e-05
fr, ml, 1.0, 1.3828277587890625e-05
fr, sh, 1.0, 1.430511474609375e-05
fr, nl, 1.0, 1.52587890625e-05
fr, si, 1.0, 1.3828277587890625e-05
fr, pt, 1.0, 1.52587890625e-05
fr, ro, 1.0, 1.3828277587890625e-05
fr, ja, 1.0, 1.5497207641601562e-05
fr, simple, 1.0, 1.52587890625e-05
fr, it, 1.0, 1.5020370483398438e-05
fr, ceb, 1.0, 9.298324584960938e-06
fr, he, 1.0, 1.5497207641601562e-05
fr, da, 1.0, 1.4543533325195312e-05
fr, en, 0.6666666666666666, 1.8835067749023438e-05
fr, sr, 1.0, 1.430511474609375e-05
fr, sv, 1.0, 1.5020370483398438e-05
fr, ckb, 1.0, 8.344650268554688e-06
fr, ru, 1.0, 1.5735626220703125e-05
fr, hi, 1.0, 1.4066696166992188e-05
fr, bs, 1.0, 1.3828277587890625e-05
fr, te, 1.0, 1.3828277587890625e-05
fr, zh, 1.0, 1.52587890625e-05
fr, mk, 1.0, 1.430511474609375e-05
fr, hu, 1.0, 1.430511474609375e-05
fr, ko, 1.0, 1.5497207641601562e-05
mr, mr, 1.0, 1.3589859008789062e-05
mr, tr, 1.0, 1.3589859008789062e-05
mr, lv, 1.0, 1.3589859008789062e-05
mr, el, 1.0, 1.33514404296875e-05
mr, es, 1.0, 1.430511474609375e-05
