Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.1451122760772705
id, fr, 0.05457862814080792, 0.14229583740234375
id, mr, 0.08894827603939388, 0.1616220474243164
id, tr, 0.08147777243166224, 0.13383269309997559
id, lv, 0.08894827603939388, 0.1366565227508545
id, el, 0.08894827603939388, 0.13764524459838867
id, es, 0.0784841699250798, 0.12236523628234863
id, pl, 0.08079034270492277, 0.12246322631835938
id, vi, 0.08894827603939388, 0.12990283966064453
id, de, 0.05654098914220214, 0.13698458671569824
id, ml, 0.08894827603939388, 0.17405128479003906
id, sh, 0.0875682321943859, 0.12972521781921387
id, nl, 0.03897925772369328, 0.11300826072692871
id, si, 0.08894827603939388, 0.15259289741516113
id, pt, 0.08110597621421639, 0.18474602699279785
id, ro, 0.08607963555891521, 0.14899778366088867
id, ja, 0.08769524133640745, 0.14982390403747559
id, simple, 0.08339775491148882, 0.19444680213928223
id, it, 0.04731796550032331, 0.150498628616333
id, ceb, 0.08894827603939388, 0.1442265510559082
id, he, 0.08894827603939388, 0.12720012664794922
id, da, 0.08236047810315394, 0.12834906578063965
id, en, 0.03473629969331965, 0.08493638038635254
id, sr, 0.08894827603939388, 0.16396307945251465
id, sv, 0.07145351211831903, 0.14112615585327148
id, ckb, 0.08894827603939388, 0.10710597038269043
id, ru, 0.08769524133640745, 0.12997126579284668
id, hi, 0.08894827603939388, 0.0964059829711914
id, arz, 0.08894827603939388, 0.1508028507232666
id, bs, 0.08894827603939388, 0.15013360977172852
id, te, 0.08894827603939388, 0.1699051856994629
id, zh, 0.08894827603939388, 0.14121103286743164
id, mk, 0.08894827603939388, 0.15957212448120117
id, hu, 0.08751318317978936, 0.14053869247436523
id, ko, 0.08894827603939388, 0.14150524139404297
id, war, 0.08894827603939388, 0.12589216232299805
id, union, 0.031297030274914255, 0.1408839225769043
fr, fr, 1.0, 0.16374921798706055
fr, mr, 0.06463360974219257, 0.13800263404846191
fr, tr, 0.06328764445274436, 0.11573648452758789
fr, lv, 0.06463360974219257, 0.15526437759399414
fr, el, 0.06463360974219257, 0.09548544883728027
fr, es, 0.0644827909497472, 0.14824128150939941
fr, pl, 0.0640512628645797, 0.15218567848205566
fr, vi, 0.06463360974219257, 0.11597132682800293
fr, de, 0.052276821948190645, 0.15549659729003906
fr, ml, 0.06463360974219257, 0.10466337203979492
fr, sh, 0.06464362192494412, 0.14278507232666016
fr, nl, 0.03705683425392417, 0.0926523208618164
fr, si, 0.06463360974219257, 0.1403493881225586
fr, pt, 0.06167771095183655, 0.09529876708984375
fr, ro, 0.06382947268660118, 0.1277294158935547
fr, ja, 0.06414856370331964, 0.12396860122680664
fr, simple, 0.06302141482523804, 0.10827207565307617
fr, it, 0.04566195384197914, 0.1192319393157959
fr, ceb, 0.06463360974219257, 0.1290292739868164
fr, he, 0.06463360974219257, 0.13095784187316895
fr, da, 0.0627408829662941, 0.11412739753723145
fr, en, 0.03479269781714169, 0.11458539962768555
fr, sr, 0.06463360974219257, 0.10115265846252441
fr, sv, 0.05855943747456031, 0.1273050308227539
fr, ckb, 0.06463360974219257, 0.13309764862060547
fr, ru, 0.06414856370331964, 0.12372612953186035
fr, hi, 0.06463360974219257, 0.11793851852416992
fr, arz, 0.06463360974219257, 0.09861040115356445
fr, bs, 0.06463360974219257, 0.1417250633239746
fr, te, 0.06463360974219257, 0.13811755180358887
fr, zh, 0.06463360974219257, 0.04767441749572754
fr, mk, 0.06463360974219257, 0.11704397201538086
fr, hu, 0.06462582444274859, 0.1020212173461914
fr, ko, 0.06463360974219257, 0.10233330726623535
fr, war, 0.06463360974219257, 0.12163019180297852
fr, union, 0.03286481499561273, 0.11332535743713379
mr, mr, 1.0, 0.1101226806640625
mr, tr, 0.1725899146660962, 0.1410369873046875
mr, lv, 1.0, 0.1281125545501709
mr, el, 1.0, 0.09384012222290039
mr, es, 0.14676317937283717, 0.09941291809082031
mr, pl, 0.16496413146339245, 0.1372079849243164
mr, vi, 1.0, 0.12257051467895508
mr, de, 0.06770029640062945, 0.11058497428894043
mr, ml, 1.0, 0.11833906173706055
mr, sh, 0.3464243791433677, 0.08014249801635742
mr, nl, 0.04143573814507994, 0.11589908599853516
mr, si, 1.0, 0.09594225883483887
mr, pt, 0.17000474089738413, 0.1041407585144043
mr, ro, 0.2633430525576496, 0.09490633010864258
