Language1, Language2, SimilarityScore, Time
id, id, 1.0, 4.458427429199219e-05
id, fr, 0.5348837209302326, 2.0742416381835938e-05
id, mr, 0.5, 1.2159347534179688e-05
id, tr, 0.5263157894736842, 2.2411346435546875e-05
id, lv, 0.5, 1.1682510375976562e-05
id, el, 0.5151515151515151, 1.1920928955078125e-05
id, es, 0.5384615384615384, 1.5497207641601562e-05
id, pl, 0.5294117647058824, 1.33514404296875e-05
id, vi, 0.5405405405405405, 1.2636184692382812e-05
id, de, 0.5428571428571428, 1.2874603271484375e-05
id, ml, 0.5, 1.1444091796875e-05
id, sh, 0.5, 1.1444091796875e-05
id, nl, 0.5161290322580645, 1.2636184692382812e-05
id, pt, 0.5339805825242718, 4.8160552978515625e-05
id, ro, 0.53125, 1.5735626220703125e-05
id, ja, 0.5714285714285714, 1.1682510375976562e-05
id, simple, 0.5, 1.0728836059570312e-05
id, it, 0.5227272727272727, 1.239776611328125e-05
id, he, 0.5357142857142857, 1.1205673217773438e-05
id, da, 0.5, 1.0967254638671875e-05
id, en, 0.5101663585951941, 0.0010349750518798828
id, sr, 0.5, 1.4066696166992188e-05
id, sv, 0.5333333333333333, 1.33514404296875e-05
id, ru, 0.5208333333333334, 1.4781951904296875e-05
id, hi, 0.5, 1.239776611328125e-05
id, arz, 0.5, 1.0728836059570312e-05
id, bs, 0.5217391304347826, 1.1205673217773438e-05
id, te, 0.5, 1.0967254638671875e-05
id, zh, 0.543859649122807, 1.4066696166992188e-05
id, mk, 0.5, 1.1444091796875e-05
id, ko, 0.5151515151515151, 1.1205673217773438e-05
id, union, 0.5097272506272845, 0.0010294914245605469
fr, fr, 1.0, 2.3603439331054688e-05
fr, mr, 0.6666666666666666, 1.2874603271484375e-05
fr, tr, 0.55, 2.0742416381835938e-05
fr, lv, 0.6792452830188679, 1.2159347534179688e-05
fr, el, 0.7256637168141593, 1.2636184692382812e-05
fr, es, 0.7951807228915663, 1.52587890625e-05
fr, pl, 0.5384615384615384, 1.33514404296875e-05
fr, vi, 0.7586206896551725, 1.33514404296875e-05
fr, de, 0.5308641975308642, 1.2874603271484375e-05
fr, ml, 0.6666666666666666, 1.1444091796875e-05
fr, sh, 0.6915887850467289, 1.1682510375976562e-05
fr, nl, 0.5263157894736842, 1.239776611328125e-05
fr, pt, 0.5602836879432624, 4.506111145019531e-05
fr, ro, 0.5256410256410257, 1.5497207641601562e-05
fr, ja, 0.7017543859649122, 1.33514404296875e-05
fr, simple, 0.6666666666666666, 1.1682510375976562e-05
fr, it, 0.7642276422764227, 1.3113021850585938e-05
fr, he, 0.7027027027027026, 1.1682510375976562e-05
fr, da, 0.6666666666666666, 1.1682510375976562e-05
fr, en, 0.528169014084507, 0.0009586811065673828
fr, sr, 0.6788990825688073, 1.5735626220703125e-05
fr, sv, 0.5263157894736842, 1.430511474609375e-05
fr, ru, 0.7551020408163265, 1.5974044799804688e-05
fr, hi, 0.7067669172932332, 1.33514404296875e-05
fr, arz, 0.6666666666666666, 1.1444091796875e-05
fr, bs, 0.6792452830188679, 1.1682510375976562e-05
